PG,PG,SG,SG,SF,SF,PF,PF,C
30079-15542,30079-49675,30079-58460,30079-20640,30079-14513,30079-9787,30079-15755,30079-12365,30079-14503
30079-9575,30079-15542,30079-58460,30079-16261,30079-12366,30079-9787,30079-15755,30079-12365,30079-14503
30079-9575,30079-49675,30079-58460,30079-16261,30079-12366,30079-9787,30079-15755,30079-12365,30079-14503
30079-9575,30079-49675,30079-16261,30079-15846,30079-59318,30079-9787,30079-15755,30079-12365,30079-14503
30079-15542,30079-49675,30079-15595,30079-58460,30079-59318,30079-9787,30079-15755,30079-12365,30079-14503
30079-15542,30079-49675,30079-15595,30079-58460,30079-59318,30079-9787,30079-15755,30079-12365,30079-14503
30079-15542,30079-58081,30079-58460,30079-16261,30079-16233,30079-59318,30079-15755,30079-12365,30079-14503
30079-9535,30079-9575,30079-58460,30079-16261,30079-14513,30079-9787,30079-42148,30079-12365,30079-14503
30079-15542,30079-49675,30079-58460,30079-16261,30079-12366,30079-9787,30079-15755,30079-42148,30079-14503
30079-9575,30079-49675,30079-58460,30079-16261,30079-16233,30079-9787,30079-15755,30079-12365,30079-9473
