entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions,,,,,,,,,,,,,,
,,,,,,,,,,,,,30079-9939:Patty Mills,30079-9939,PG,Patty,Patty Mills,Mills,18.07499949,12,3900,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-19456:Isaiah Canaan,30079-19456,PG,Isaiah,Isaiah Canaan,Canaan,17.94999949,12,3800,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-23676:Damyean Dotson,30079-23676,SG,Damyean,Damyean Dotson,Dotson,21.07499949,12,3800,NY@OKC,NY,OKC,,,
,,,,,,,,,,,,,30079-17542:Alan Williams,30079-17542,PF,Alan,Alan Williams,Williams,13.88000031,5,3800,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-63123:Mario Hezonja,30079-63123,SF,Mario,Mario Hezonja,Hezonja,16.67142814,14,3800,NY@OKC,NY,OKC,,,
,,,,,,,,,,,,,30079-81621:Maxi Kleber,30079-81621,PF,Maxi,Maxi Kleber,Kleber,17.0615387,13,3800,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-58081:Tyus Jones,30079-58081,PG,Tyus,Tyus Jones,Jones,14.51538438,13,3800,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-15669:Meyers Leonard,30079-15669,PF,Meyers,Meyers Leonard,Leonard,11.15,10,3800,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-17230:Langston Galloway,30079-17230,SG,Langston,Langston Galloway,Galloway,15.71818126,11,3800,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-40830:Delon Wright,30079-40830,PG,Delon,Delon Wright,Wright,11.62222205,9,3800,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-16376:Dorian Finney-Smith,30079-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,17.70769207,13,3800,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-66114:Antonio Blakeney,30079-66114,SG,Antonio,Antonio Blakeney,Blakeney,15.65714264,14,3700,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-70826:Furkan Korkmaz,30079-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,7.824999809,8,3700,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-14510:Alec Burks,30079-14510,SG,Alec,Alec Burks,Burks,14.29999966,9,3700,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-84707:Chandler Hutchison,30079-84707,SF,Chandler,Chandler Hutchison,Hutchison,12.60769184,13,3700,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-9956:Wayne Ellington,30079-9956,SG,Wayne,Wayne Ellington,Ellington,14.91666667,6,3700,MIA@BKN,MIA,BKN,,,
,,,,,,,,,,,,,30079-15592:Austin Rivers,30079-15592,SG,Austin,Austin Rivers,Rivers,13.73846201,13,3700,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-23788:Bryn Forbes,30079-23788,PG,Bryn,Bryn Forbes,Forbes,20.125,12,3700,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-23800:Glenn Robinson III,30079-23800,SF,Glenn,Glenn Robinson III,Robinson III,10.08181832,11,3700,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-40206:Alex Abrines,30079-40206,SG,Alex,Alex Abrines,Abrines,13.29999953,13,3700,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-23825:Nerlens Noel,30079-23825,C,Nerlens,Nerlens Noel,Noel,19.29230793,13,3700,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-82744:Shaquille Harrison,30079-82744,PG,Shaquille,Shaquille Harrison,Harrison,16.3,5,3700,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-16196:Dwight Powell,30079-16196,PF,Dwight,Dwight Powell,Powell,17.68461492,13,3700,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-60233:Dillon Brooks,30079-60233,SG,Dillon,Dillon Brooks,Brooks,13.1454551,11,3700,MEM@MIL,MEM,MIL,O,Knee,
,,,,,,,,,,,,,30079-80817:Bam Adebayo,30079-80817,C,Bam,Bam Adebayo,Adebayo,17.11538462,13,3700,MIA@BKN,MIA,BKN,,,
,,,,,,,,,,,,,30079-9677:Jared Dudley,30079-9677,SF,Jared,Jared Dudley,Dudley,14.45000022,14,3700,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-18393:T.J. McConnell,30079-18393,PG,T.J.,T.J. McConnell,McConnell,11.76666641,12,3700,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-17894:Mike Muscala,30079-17894,C,Mike,Mike Muscala,Muscala,15.23333401,9,3700,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-66091:Cheick Diallo,30079-66091,PF,Cheick,Cheick Diallo,Diallo,13.13000031,10,3600,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-42158:Jabari Bird,30079-42158,SG,Jabari,Jabari Bird,Bird,5.984615619,13,3600,CHI@BOS,BOS,CHI,O,Not injury related,
,,,,,,,,,,,,,30079-14543:Davis Bertans,30079-14543,SF,Davis,Davis Bertans,Bertans,12.74166616,12,3600,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-9940:Dante Cunningham,30079-9940,SF,Dante,Dante Cunningham,Cunningham,13.72499975,12,3600,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-84703:De'Anthony Melton,30079-84703,PG,De'Anthony,De'Anthony Melton,Melton,10.44999981,2,3600,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-84702:Lonnie Walker IV,30079-84702,SG,Lonnie,Lonnie Walker IV,Walker IV,null,null,3600,SA@PHO,SA,PHO,O,Knee,
,,,,,,,,,,,,,30079-23780:Jake Layman,30079-23780,SF,Jake,Jake Layman,Layman,11.20000047,13,3600,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-84723:Khyri Thomas,30079-84723,SG,Khyri,Khyri Thomas,Thomas,2,1,3600,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-15636:Kentavious Caldwell-Pope,30079-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,10.4307697,13,3600,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-48940:Wes Iwundu,30079-48940,SF,Wes,Wes Iwundu,Iwundu,10.24000015,10,3600,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-16178:Maurice Harkless,30079-16178,SF,Maurice,Maurice Harkless,Harkless,15.46000061,5,3600,POR@LAL,POR,LAL,O,Knee,
,,,,,,,,,,,,,30079-9587:Michael Beasley,30079-9587,SF,Michael,Michael Beasley,Beasley,1.533333302,3,3600,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-18821:Jonathon Simmons,30079-18821,SF,Jonathon,Jonathon Simmons,Simmons,15.65833282,12,3600,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-9615:Courtney Lee,30079-9615,SG,Courtney,Courtney Lee,Lee,21.82631643,76,3600,NY@OKC,NY,OKC,O,Neck,
,,,,,,,,,,,,,30079-66455:Henry Ellenson,30079-66455,PF,Henry,Henry Ellenson,Ellenson,10.60000038,1,3600,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-23447:Richaun Holmes,30079-23447,PF,Richaun,Richaun Holmes,Holmes,9.400000254,12,3600,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-15843:Trey Burke,30079-15843,PG,Trey,Trey Burke,Burke,17.31666692,12,3600,NY@OKC,NY,OKC,,,
,,,,,,,,,,,,,30079-66046:Luke Kennard,30079-66046,SG,Luke,Luke Kennard,Kennard,10.83333333,3,3600,DET@TOR,DET,TOR,O,Shoulder,
,,,,,,,,,,,,,30079-58378:Jakob Poeltl,30079-58378,C,Jakob,Jakob Poeltl,Poeltl,7.762499809,8,3500,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-85521:Theo Pinson,30079-85521,SF,Theo,Theo Pinson,Pinson,3.849999905,2,3500,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-64017:Salah Mejri,30079-64017,C,Salah,Salah Mejri,Mejri,1.299999952,2,3500,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-85523:Jordan Loyd,30079-85523,PG,Jordan,Jordan Loyd,Loyd,1.200000048,1,3500,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-97299:Zach Lofton,30079-97299,SG,Zach,Zach Lofton,Lofton,2,1,3500,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-48668:Troy Caupain,30079-48668,PG,Troy,Troy Caupain,Caupain,null,null,3500,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-23581:Amile Jefferson,30079-23581,PF,Amile,Amile Jefferson,Jefferson,null,null,3500,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-37931:Aron Baynes,30079-37931,C,Aron,Aron Baynes,Baynes,11.28000031,10,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-9772:Ryan Anderson,30079-9772,PF,Ryan,Ryan Anderson,Anderson,11.25454573,11,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-12337:Greg Monroe,30079-12337,C,Greg,Greg Monroe,Monroe,3.78333346,6,3500,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-12339:Ekpe Udoh,30079-12339,C,Ekpe,Ekpe Udoh,Udoh,4.677777608,9,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-12340:Patrick Patterson,30079-12340,PF,Patrick,Patrick Patterson,Patterson,11.87692261,13,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-15417:Solomon Hill,30079-15417,SF,Solomon,Solomon Hill,Hill,10.67500019,8,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-23097:Tomas Satoransky,30079-23097,PG,Tomas,Tomas Satoransky,Satoransky,8.769230769,13,3500,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-66104:Isaiah Briscoe,30079-66104,PG,Isaiah,Isaiah Briscoe,Briscoe,4.020000076,5,3500,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-12348:Wesley Johnson,30079-12348,SF,Wesley,Wesley Johnson,Johnson,12.14285714,7,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-12357:Quincy Pondexter,30079-12357,SG,Quincy,Quincy Pondexter,Pondexter,6.155555725,9,3500,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-15952:John Henson,30079-15952,PF,John,John Henson,Henson,17.08461585,13,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-12369:Lance Stephenson,30079-12369,SF,Lance,Lance Stephenson,Stephenson,17.25384639,13,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-23121:Tyler Cavanaugh,30079-23121,PF,Tyler,Tyler Cavanaugh,Cavanaugh,10.27948702,39,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-9810:Jerryd Bayless,30079-9810,PG,Jerryd,Jerryd Bayless,Bayless,13.46153846,39,3500,NO@MIN,MIN,NO,O,Knee,
,,,,,,,,,,,,,30079-85587:Tyler Davis,30079-85587,C,Tyler,Tyler Davis,Davis,null,null,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-58457:Devin Robinson,30079-58457,SF,Devin,Devin Robinson,Robinson,11,1,3500,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-15964:Lorenzo Brown,30079-15964,PG,Lorenzo,Lorenzo Brown,Brown,5.590000153,10,3500,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-58463:Tyler Ulis,30079-58463,PG,Tyler,Tyler Ulis,Ulis,0,1,3500,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-20064:Matthew Dellavedova,30079-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,5.700000127,6,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-15975:C.J. Williams,30079-15975,SG,C.J.,C.J. Williams,Williams,2.816666603,6,3500,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-68203:Chris Boucher,30079-68203,PF,Chris,Chris Boucher,Boucher,11.39999962,1,3500,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-17517:Tony Snell,30079-17517,SG,Tony,Tony Snell,Snell,11.50769278,13,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-85105:Billy Preston,30079-85105,PF,Billy,Billy Preston,Preston,null,null,3500,CLE@WAS,CLE,WAS,,,
,,,,,,,,,,,,,30079-23155:Naz Mitrou-Long,30079-23155,SG,Naz,Naz Mitrou-Long,Mitrou-Long,0,1,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-85106:Deonte Burton,30079-85106,SG,Deonte,Deonte Burton,Burton,2.299999952,4,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-23156:Georges Niang,30079-23156,PF,Georges,Georges Niang,Niang,6.669230534,13,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-81529:Daniel Theis,30079-81529,PF,Daniel,Daniel Theis,Theis,9.46666654,6,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-58490:Wade Baldwin IV,30079-58490,PG,Wade,Wade Baldwin IV,Baldwin IV,1.199999968,3,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-41083:Luke Kornet,30079-41083,PF,Luke,Luke Kornet,Kornet,0.5,4,3500,NY@OKC,NY,OKC,,,
,,,,,,,,,,,,,30079-17541:James Nunnally,30079-17541,SF,James,James Nunnally,Nunnally,5.220000076,5,3500,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-9862:Amir Johnson,30079-9862,PF,Amir,Amir Johnson,Johnson,10.79333293,15,3500,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-12424:Timofey Mozgov,30079-12424,C,Timofey,Timofey Mozgov,Mozgov,9.229032455,31,3500,PHI@ORL,ORL,PHI,GTD,Knee,
,,,,,,,,,,,,,30079-66185:Caleb Swanigan,30079-66185,PF,Caleb,Caleb Swanigan,Swanigan,9.5,7,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-9870:Kyle Korver,30079-9870,SG,Kyle,Kyle Korver,Korver,8.809091048,11,3500,CLE@WAS,CLE,WAS,O,Foot,
,,,,,,,,,,,,,30079-85137:Duncan Robinson,30079-85137,SG,Duncan,Duncan Robinson,Robinson,6,2,3500,MIA@BKN,MIA,BKN,,,
,,,,,,,,,,,,,30079-9873:Robin Lopez,30079-9873,C,Robin,Robin Lopez,Lopez,9.899999619,8,3500,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-9874:Kevin Love,30079-9874,PF,Kevin,Kevin Love,Love,39.45000076,4,3500,CLE@WAS,CLE,WAS,O,Toe,
,,,,,,,,,,,,,30079-66196:PJ Dozier,30079-66196,SG,PJ,PJ Dozier,Dozier,1.100000024,2,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-85140:Keenan Evans,30079-85140,PG,Keenan,Keenan Evans,Evans,null,null,3500,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-66203:Malachi Richardson,30079-66203,SG,Malachi,Malachi Richardson,Richardson,1.350000024,8,3500,DET@TOR,TOR,DET,,,
,,,,,,,,,,,,,30079-85150:Trevon Bluiett,30079-85150,SG,Trevon,Trevon Bluiett,Bluiett,null,null,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-70819:Dragan Bender,30079-70819,PF,Dragan,Dragan Bender,Bender,2,4,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-70820:Thon Maker,30079-70820,C,Thon,Thon Maker,Maker,12.68000031,5,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-70823:Guerschon Yabusele,30079-70823,PF,Guerschon,Guerschon Yabusele,Yabusele,2.271428517,7,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-70825:Timothe Luwawu-Cabarrot,30079-70825,SG,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,0.200000008,6,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-42665:Andrew Harrison,30079-42665,PG,Andrew,Andrew Harrison,Harrison,3,3,3500,CLE@WAS,CLE,WAS,,,
,,,,,,,,,,,,,30079-70824:Ante Zizic,30079-70824,PF,Ante,Ante Zizic,Zizic,6.92727245,11,3500,CLE@WAS,CLE,WAS,,,
,,,,,,,,,,,,,30079-70827:Ivica Zubac,30079-70827,C,Ivica,Ivica Zubac,Zubac,8.559999847,5,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-14521:Kenneth Faried,30079-14521,PF,Kenneth,Kenneth Faried,Faried,6.320000076,5,3500,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-15548:Andre Roberson,30079-15548,SG,Andre,Andre Roberson,Roberson,17.82051282,39,3500,NY@OKC,OKC,NY,O,Kneecap,
,,,,,,,,,,,,,30079-84668:Troy Brown Jr.,30079-84668,SF,Troy,Troy Brown Jr.,Brown Jr.,6.359999847,5,3500,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-9920:Anthony Tolliver,30079-9920,PF,Anthony,Anthony Tolliver,Tolliver,12.37857165,14,3500,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-84672:Zhaire Smith,30079-84672,SG,Zhaire,Zhaire Smith,Smith,null,null,3500,PHI@ORL,PHI,ORL,O,Foot,
,,,,,,,,,,,,,30079-16071:Tim Frazier,30079-16071,PG,Tim,Tim Frazier,Frazier,7.8,10,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-22727:Ron Baker,30079-22727,SG,Ron,Ron Baker,Baker,4.525000095,8,3500,NY@OKC,NY,OKC,,,
,,,,,,,,,,,,,30079-15560:Shabazz Napier,30079-15560,PG,Shabazz,Shabazz Napier,Napier,13.36999969,10,3500,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-84681:Donte DiVincenzo,30079-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,13.62307739,13,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-14537:Chandler Parsons,30079-14537,SF,Chandler,Chandler Parsons,Parsons,9.599999746,3,3500,MEM@MIL,MEM,MIL,O,Knee,
,,,,,,,,,,,,,30079-14539:Jon Leuer,30079-14539,PF,Jon,Jon Leuer,Leuer,6.25,4,3500,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-84687:George King,30079-84687,SF,George,George King,King,null,null,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-84686:Elie Okobo,30079-84686,PG,Elie,Elie Okobo,Okobo,11.24545427,11,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-16081:Khem Birch,30079-16081,PF,Khem,Khem Birch,Birch,6.940000153,5,3500,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-84688:Keita Bates-Diop,30079-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,5.300000191,2,3500,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-84691:Shake Milton,30079-84691,SG,Shake,Shake Milton,Milton,null,null,3500,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-84690:Jalen Brunson,30079-84690,PG,Jalen,Jalen Brunson,Brunson,8.22307704,13,3500,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-84695:Gary Trent Jr.,30079-84695,SG,Gary,Gary Trent Jr.,Trent Jr.,3.400000095,1,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-84694:Bruce Brown,30079-84694,SG,Bruce,Bruce Brown,Brown,7.175000191,8,3500,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-84696:Jevon Carter,30079-84696,PG,Jevon,Jevon Carter,Carter,null,null,3500,MEM@MIL,MEM,MIL,,,
,,,,,,,,,,,,,30079-42202:Christian Wood,30079-42202,PF,Christian,Christian Wood,Wood,2.866666794,3,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-84699:Hamidou Diallo,30079-84699,SG,Hamidou,Hamidou Diallo,Diallo,11.65000025,12,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-84698:Dzanan Musa,30079-84698,SF,Dzanan,Dzanan Musa,Musa,4.474999905,4,3500,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-84701:Chimezie Metu,30079-84701,PF,Chimezie,Chimezie Metu,Metu,3.871428626,7,3500,SA@PHO,SA,PHO,,,
,,,,,,,,,,,,,30079-84700:Rodions Kurucs,30079-84700,PF,Rodions,Rodions Kurucs,Kurucs,10.14000015,5,3500,MIA@BKN,BKN,MIA,,,
,,,,,,,,,,,,,30079-15583:Seth Curry,30079-15583,PG,Seth,Seth Curry,Curry,8.27692296,13,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-9953:Ian Mahinmi,30079-9953,C,Ian,Ian Mahinmi,Mahinmi,10.72222222,9,3500,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-58083:Jahlil Okafor,30079-58083,C,Jahlil,Jahlil Okafor,Okafor,6.728571211,7,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-84708:Robert Williams III,30079-84708,C,Robert,Robert Williams III,Williams III,4.059999847,5,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-84711:Grayson Allen,30079-84711,SG,Grayson,Grayson Allen,Allen,5.612500191,8,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-9448:Jamal Crawford,30079-9448,SG,Jamal,Jamal Crawford,Crawford,6.463636225,11,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-9960:Omri Casspi,30079-9960,SF,Omri,Omri Casspi,Casspi,12.05714308,7,3500,MEM@MIL,MEM,MIL,O,Knee,
,,,,,,,,,,,,,30079-84713:Svi Mykhailiuk,30079-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,5.21666654,6,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-84714:Moritz Wagner,30079-84714,C,Moritz,Moritz Wagner,Wagner,null,null,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-84717:Anfernee Simons,30079-84717,SG,Anfernee,Anfernee Simons,Simons,1,2,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-42733:David Nwaba,30079-42733,SG,David,David Nwaba,Nwaba,9.722222222,9,3500,CLE@WAS,CLE,WAS,,,
,,,,,,,,,,,,,30079-9454:Zaza Pachulia,30079-9454,C,Zaza,Zaza Pachulia,Pachulia,13.55833308,12,3500,DET@TOR,DET,TOR,,,
,,,,,,,,,,,,,30079-9968:Jodie Meeks,30079-9968,SG,Jodie,Jodie Meeks,Meeks,10.45714302,77,3500,MEM@MIL,MIL,MEM,O,Suspension,
,,,,,,,,,,,,,30079-67312:Thomas Bryant,30079-67312,C,Thomas,Thomas Bryant,Bryant,5.224999905,4,3500,CLE@WAS,WAS,CLE,,,
,,,,,,,,,,,,,30079-84720:Melvin Frazier Jr.,30079-84720,SF,Melvin,Melvin Frazier Jr.,Frazier Jr.,-0.5,2,3500,PHI@ORL,ORL,PHI,,,
,,,,,,,,,,,,,30079-84722:Isaac Bonga,30079-84722,SF,Isaac,Isaac Bonga,Bonga,null,null,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-84725:Kostas Antetokounmpo,30079-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,null,null,3500,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-84724:Landry Shamet,30079-84724,PG,Landry,Landry Shamet,Shamet,12.31333313,15,3500,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-84726:Ray Spalding,30079-84726,PF,Ray,Ray Spalding,Spalding,0,1,3500,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-85238:Yuta Watanabe,30079-85238,SF,Yuta,Yuta Watanabe,Watanabe,3.400000095,1,3500,MEM@MIL,MEM,MIL,,,
,,,,,,,,,,,,,30079-85241:Johnathan Williams,30079-85241,PF,Johnathan,Johnathan Williams,Williams,10.69999949,6,3500,POR@LAL,LAL,POR,,,
,,,,,,,,,,,,,30079-9465:Raymond Felton,30079-9465,PG,Raymond,Raymond Felton,Felton,13.09999956,7,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-23801:Nik Stauskas,30079-23801,SG,Nik,Nik Stauskas,Stauskas,14.28461515,13,3500,POR@LAL,POR,LAL,,,
,,,,,,,,,,,,,30079-85242:Rawle Alkins,30079-85242,SG,Rawle,Rawle Alkins,Alkins,null,null,3500,CHI@BOS,CHI,BOS,,,
,,,,,,,,,,,,,30079-9479:Luol Deng,30079-9479,SF,Luol,Luol Deng,Deng,9.5,2,3500,NO@MIN,MIN,NO,,,
,,,,,,,,,,,,,30079-19726:Abdel Nader,30079-19726,SF,Abdel,Abdel Nader,Nader,1.2,5,3500,NY@OKC,OKC,NY,,,
,,,,,,,,,,,,,30079-55055:Dante Exum,30079-55055,PG,Dante,Dante Exum,Exum,13.28461515,13,3500,UTA@DAL,UTA,DAL,,,
,,,,,,,,,,,,,30079-40208:Raul Neto,30079-40208,PG,Raul,Raul Neto,Neto,9.007316775,41,3500,UTA@DAL,UTA,DAL,O,Hamstring,
,,,,,,,,,,,,,30079-41269:Demetrius Jackson,30079-41269,PG,Demetrius,Demetrius Jackson,Jackson,3.393333435,15,3500,PHI@ORL,PHI,ORL,,,
,,,,,,,,,,,,,30079-82743:Walter Lemon Jr.,30079-82743,SG,Walter,Walter Lemon Jr.,Lemon Jr.,5.179999924,5,3500,CHI@BOS,BOS,CHI,,,
,,,,,,,,,,,,,30079-85305:Kenrich Williams,30079-85305,PF,Kenrich,Kenrich Williams,Williams,2,5,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-85309:Daryl Macon,30079-85309,PG,Daryl,Daryl Macon,Macon,0,1,3500,UTA@DAL,DAL,UTA,,,
,,,,,,,,,,,,,30079-85308:Trevon Duval,30079-85308,PG,Trevon,Trevon Duval,Duval,null,null,3500,MEM@MIL,MIL,MEM,GTD,Eye,
,,,,,,,,,,,,,30079-20805:Troy Daniels,30079-20805,SG,Troy,Troy Daniels,Daniels,8.449999809,4,3500,SA@PHO,PHO,SA,,,
,,,,,,,,,,,,,30079-20806:Treveon Graham,30079-20806,SG,Treveon,Treveon Graham,Graham,3.650000095,2,3500,MIA@BKN,BKN,MIA,O,Hamstring,
,,,,,,,,,,,,,30079-40262:Sterling Brown,30079-40262,SG,Sterling,Sterling Brown,Brown,4.142857143,7,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-82761:Jaylen Morris,30079-82761,SG,Jaylen,Jaylen Morris,Morris,10.11666679,6,3500,MEM@MIL,MIL,MEM,,,
,,,,,,,,,,,,,30079-17747:Ian Clark,30079-17747,SG,Ian,Ian Clark,Clark,9.291666667,12,3500,NO@MIN,NO,MIN,,,
,,,,,,,,,,,,,30079-84830:Jared Terrell,30079-84830,SG,Jared,Jared Terrell,Terrell,13.69999981,1,3500,NO@MIN,MIN,NO,,,
