Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-29,Frank Jackson,3600,NOP,PG,@ HOU,,29.0,47.9,9,234.0,800,110.25,-2.0,29.18,16.51,20.84,5.79,W,23,4,11,0.364,0,4,0.0,2,2,1.0,2,5,7,1,1,0,2,0,10,-4,20.9,1.0,1.0
2019-01-29,Elie Okobo,4200,PHO,PG,@ SAS,,30.0,42.44,22,226.0,800,106.25,4.5,30.63,17.7,21.88,5.21,L,19,2,4,0.5,1,3,0.333,0,0,,0,3,3,2,0,0,2,1,5,-10,9.6,1.0,1.0
2019-01-29,Hamidou Diallo,3500,OKC,SG,@ ORL,,24.0,38.53,26,222.5,-160,113.0,-0.5,29.79,16.85,21.28,6.08,W,17,3,5,0.6,0,0,,1,1,1.0,1,0,1,0,0,1,0,1,7,7,11.2,2.0,1.0
2019-01-29,James Harden,13900,HOU,SG,NOP,,38.0,50.13,16,234.0,-1200,123.75,1.5,88.44,45.1,63.17,4.54,L,39,11,32,0.344,6,18,0.333,9,10,0.9,2,9,11,6,4,1,5,1,37,-5,69.2,2.0,1.0
2019-01-29,Giannis Antetokounmpo,11400,MIL,SF,@ DET,,35.0,44.31,4,215.5,-275,111.25,-1.5,78.57,32.21,56.12,4.92,W,35,8,16,0.5,1,4,0.25,4,5,0.8,1,7,8,11,3,2,2,5,21,10,60.1,3.0,1.0
2019-01-29,Mikal Bridges,4600,PHO,SF,@ SAS,,33.0,37.42,18,226.0,800,106.25,4.5,30.94,17.88,22.1,4.8,L,35,7,9,0.778,3,5,0.6,0,1,0.0,1,5,6,3,4,0,1,1,17,1,39.7,3.0,1.0
2019-01-29,LaMarcus Aldridge,8800,SAS,PF,PHO,,34.0,58.5,25,226.0,-1200,119.75,4.0,65.84,23.09,45.28,5.15,W,36,10,15,0.667,0,0,,9,10,0.9,8,6,14,4,0,1,2,1,29,-1,52.8,4.0,1.0
2019-01-29,Rodions Kurucs,4100,BKN,PF,CHI,,23.0,47.78,16,220.0,-275,113.25,1.0,24.58,10.2,17.56,4.28,W,25,2,11,0.182,0,5,0.0,2,2,1.0,3,3,6,0,1,0,0,4,6,-7,16.2,4.0,1.0
2019-01-29,Ivica Zubac,5800,LAL,C,PHI,,24.0,52.84,15,230.0,260,111.25,111.25,44.58,11.33,24.31,4.19,L,17,2,5,0.4,0,0,,3,4,0.75,2,0,2,3,0,0,2,3,7,-12,11.9,5.0,1.0
