Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-03,Derrick White,6100,SAS,PG,TOR,,26.0,40.17,15,217.5,-160,110.5,1.5,33.75,17.42,20.91,3.43,W,33,8,11,0.727,2,3,0.667,1,2,0.5,0,0,0,4,1,0,0,2,19,21,28.0,1.0,1.0
2019-01-03,Stephen Curry,10400,GSW,PG,HOU,,35.0,46.99,6,225.5,-333,116.75,-0.25,63.26,23.58,45.25,4.35,L,40,14,27,0.519,5,15,0.333,2,3,0.667,0,3,3,6,0,0,5,4,35,3,42.6,1.0,1.0
2019-01-03,Bogdan Bogdanovic,6700,SAC,SG,DEN,,31.0,42.86,8,227.0,138,111.75,-0.5,44.31,23.51,27.92,4.17,L,29,5,9,0.556,2,3,0.667,2,2,1.0,0,5,5,2,1,0,1,1,14,-4,25.0,2.0,1.0
2019-01-03,Austin Rivers,3800,HOU,SG,@ GSW,,38.0,37.09,6,225.5,275,108.75,0.25,39.77,21.47,26.15,6.88,W,44,7,18,0.389,4,9,0.444,0,0,,0,4,4,4,1,0,0,2,18,0,31.8,2.0,1.0
2019-01-03,Gary Harris,4800,DEN,SF,@ SAC,,22.0,45.34,13,227.0,-160,115.25, ,32.45,18.14,20.02,4.17,W,31,4,10,0.4,2,5,0.4,4,5,0.8,0,3,3,0,0,0,2,1,14,-8,15.6,3.0,1.0
2019-01-03,Rudy Gay,5700,SAS,SF,TOR,,28.0,45.05,5,217.5,-160,110.5,1.5,34.56,21.19,24.25,4.25,W,23,6,10,0.6,1,2,0.5,0,0,,1,6,7,3,1,0,1,5,13,16,27.9,3.0,1.0
2019-01-03,LaMarcus Aldridge,9000,SAS,PF,TOR,,35.0,55.52,18,217.5,-160,110.5,1.5,58.14,25.55,40.18,4.46,W,30,10,14,0.7140000000000001,0,0,,3,3,1.0,0,2,2,5,0,0,3,0,23,24,29.9,4.0,1.0
2019-01-03,P.J. Tucker,4400,HOU,PF,@ GSW,,38.0,36.56,15,225.5,275,108.75,0.25,42.62,18.63,22.15,5.03,W,36,1,4,0.25,1,4,0.25,0,0,,0,3,3,0,1,1,1,4,3,-1,11.6,4.0,1.0
2019-01-03,Clint Capela,8600,HOU,C,@ GSW,,36.0,54.26,21,225.5,275,108.75,0.25,61.15,26.19,41.77,4.86,W,46,12,19,0.632,0,0,,5,5,1.0,9,12,21,1,2,1,1,1,29,2,63.7,5.0,1.0
