PG,PG,SG,SG,SF,SF,PF,PF,C
29685-20848,29685-18600,29685-15684,29685-9585,29685-58084,29685-9849,29685-9688,29685-12342
29685-18600,29685-66113,29685-66114,29685-58084,29685-9849,29685-9688,29685-80808
