Player Name,Salary,Position,Ceiling,Floor,Projection
Damian Lillard,9700,PG,74.20416,24.54148,48.31
Tyler Johnson,4200,PG,52.47375,21.81375,26.25
Victor Oladipo,8900,SG,72.6816,27.74336,42.88
Dwyane Wade,4700,SG,44.015159999999995,17.93592,25.77
Gerald Green,3800,SF,41.38456,18.155379999999997,22.06
Justise Winslow,4700,SF,49.73124,20.52828,26.94
LaMarcus Aldridge,8100,PF,62.7287,20.5734,40.34
Al-Farouq Aminu,5000,PF,45.091409999999996,18.08313,25.87
Joel Embiid,10900,C,89.21631,21.71315,54.97
