Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Kent Bazemore,4700,ATL,SG,@ CHI,,32.00,23.20,4,229.5,150,112.75,112.75,59.61,12.13,33.06,7.03
Alex Len,3500,ATL,C,@ CHI,,23.00,36.68,30,229.5,150,112.75,112.75,46.12,10.11,24.3,6.94
Noah Vonleh,3900,NYK,PF,@ LAC,,23.00,35.99,29,226,450,108,-2,40.40,10.17,23.71,6.08
Kris Dunn,5900,CHI,PG,ATL,,33.00,44.16,30,229.5,-175,116.75,116.75,60.96,20.13,35.38,6
Dennis Schroder,5100,OKC,SG,MEM,,32.00,39.62,21,218,-550,114,114,48.79,8.15,29.75,5.83
Shai Gilgeous-Alexander,3900,LAC,PG,NYK,,26.00,18.75,4,226,-550,118,-2,31.14,17.61,22.24,5.7
Delon Wright,5000,MEM,SG,@ OKC,,32.00,18.96,5,218,450,104,104,43.44,12.34,28.3,5.66
Tomas Satoransky ,5500,WAS,PG,MIN,,32.00,37.49,13,240,-110,120.5,0.25,59.29,10.09,30.58,5.56
Montrezl Harrell,6800,LAC,PF,NYK,,28.00,35.37,27,226,-550,118,-2,62.95,4.36,36.94,5.43
Vince Carter,3700,ATL,SF,@ CHI,,25.00,21.36,18,229.5,150,112.75,112.75,40.00,6.96,20.01,5.41
Miles Bridges,4000,CHA,SF,POR,,24.00,37.54,29,225.5,115,111.75,-1.25,30.16,12.51,21.54,5.39
Jeff Green,4800,WAS,SF,MIN,,29.00,31.89,20,240,-110,120.5,0.25,49.94,9.55,25.81,5.38
Danny Green,4200,TOR,SG,@ DET,,31.00,23.60,9,217,-125,109.5,-2.5,35.32,7.77,22.47,5.35
Gordon Hayward,4600,BOS,SF,HOU,,25.00,31.35,17,226.5,-138,114.5, ,48.82,7.91,24.42,5.31
Bobby Portis,6400,WAS,PF,MIN,,28.00,33.75,23,240,-110,120.5,0.25,57.99,10.85,33.91,5.3
Jayson Tatum,6400,BOS,PF,HOU,,32.00,31.35,17,226.5,-138,114.5, ,50.24,15.52,33.88,5.29
Rodney Hood,3500,POR,SF,@ CHA,,20.00,27.34,23,225.5,-133,113.75,-1.75,30.70,5.07,18.37,5.25
Dewayne Dedmon,5900,ATL,C,@ CHI,,30.00,36.68,30,229.5,150,112.75,112.75,49.45,13.26,30.83,5.23
Dario Saric,4400,MIN,PF,@ WAS,,24.00,28.15,5,240,-105,119.5,1.25,34.82,10.15,22.97,5.22
Lou Williams,7200,LAC,SG,NYK,,29.00,25.72,15,226,-550,118,-2,75.16,8.35,37.6,5.22
Kevin Huerter,4200,ATL,SG,@ CHI,,30.00,21.36,18,229.5,150,112.75,112.75,30.46,17.60,21.76,5.18
