Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Dion Waiters,4400,MIA,SG,MEM,,20.00,40.82,2,196,-150,99.75,-1,29.62,12.62,15.9,3.61
Jose Calderon,3500,DET,PG,@ LAC,,18.00, , ,221.5,260,107.25,0.5,25.13,12.57,12.57,3.59
Devonte' Graham,3800,CHA,PG,@ SAC,,17.00, , ,233.5,180,114,-0.5,19.03,2.75,13.59,3.58
Georges Niang,3500,UTA,PF,CHI,,12.00,47.82,14,207,-667,109.5,1.25,24.23,10.44,12.28,3.51
Naz Mitrou-Long,3500,UTA,SG,CHI,,14.00,42.90,5,207,-667,109.5,1.25,17.00,1.92,12.14,3.47
Ryan Arcidiacono,3600,CHI,PG,@ UTA,,16.00, , ,207,500,97.5,0.25,22.81,10.62,12.46,3.46
Omri Casspi,3700,MEM,SF,@ MIA,,16.00,37.45,13,196,130,96.25,0.5,25.53,12.27,12.77,3.45
Patrick Patterson,3500,OKC,PF,SAS,,16.00, , ,226.5,-250,116.25,116.25,21.86,10.56,11.92,3.41
Shaquille Harrison,3800,CHI,PG,@ UTA,,16.00, , ,207,500,97.5,0.25,23.28,10.23,12.65,3.33
Juan Hernangomez,3900,DEN,SF,@ PHO,,16.00,47.85,15,218.5,-400,113.5,113.5,24.89,10.90,12.95,3.32
Stanley Johnson,4000,DET,SF,@ LAC,,15.00,35.27,7,221.5,260,107.25,0.5,24.21,10.79,13.11,3.28
Darius Miller,4300,NOP,SF,@ MIN,,22.00,38.85,19,236,-125,118.75,2,26.75,13.89,13.89,3.23
Hamidou Diallo,3500,OKC,SG,SAS,,14.00,31.68,2,226.5,-250,116.25,116.25,15.33,1.73,10.95,3.13
Malik Monk,4200,CHA,SG,@ SAC,,18.00,53.21,22,233.5,180,114,-0.5,23.18,10.28,12.92,3.08
Will Barton,6700,DEN,SF,@ PHO,,20.00, , ,218.5,-400,113.5,113.5,31.21,10.84,20.6,3.07
Tyrone Wallace,3500,LAC,SG,DET,,14.00,43.37,7,221.5,-300,114.25,0.5,18.99,8.07,10.53,3.01
Rodney McGruder,3900,MIA,SG,MEM,,16.00,36.43,17,196,-150,99.75,-1,20.33,7.13,11.65,2.99
Jon Leuer,3500,DET,PF,@ LAC,,13.00,56.87,18,221.5,260,107.25,0.5,17.70,7.31,10.27,2.93
Shelvin Mack,3600,MEM,PG,@ MIA,,13.00,39.97,12,196,130,96.25,0.5,17.33,8.61,9.99,2.78
Tim Frazier,3600,NOP,PG,@ MIN,,11.00,34.60,1,236,-125,118.75,2,18.80,7.81,9.75,2.71
Jabari Parker,4400,CHI,SF,@ UTA,,12.00,49.57,20,207,500,97.5,0.25,21.41,9.97,11.76,2.67
Daniel Theis,4800,BOS,PF,@ ORL,,12.00,53.98,16,213.5,-275,110.25,0.25,21.58,10.96,12.11,2.52
Isaiah Briscoe,3500,ORL,PG,BOS,,10.00,39.97,11,213.5,240,103.25,-0.25,12.11,2.24,8.65,2.47
Tyler Johnson,4700,MIA,PG,MEM,,14.00,46.14,3,196,-150,99.75,-1,22.20,8.99,11.38,2.42
Jerryd Bayless,3500,MIN,PG,NOP,,13.00,49.53,21,236,110,117.25,-1,16.48,8.42,8.42,2.41
Wayne Selden,3500,CHI,SG,@ UTA,,10.00,47.38,6,207,500,97.5,0.25,15.54,6.70,8.39,2.4
Abdel Nader,3500,OKC,SF,SAS,,14.00,37.95,16,226.5,-250,116.25,116.25,16.53,8.27,8.27,2.36
Mike Scott,3500,LAC,PF,DET,,10.00, , ,221.5,-300,114.25,0.5,16.39,8.20,8.2,2.34
Dante Cunningham,3500,SAS,SF,@ OKC,,10.00,45.97,7,226.5,210,110.25,110.25,14.13,6.17,7.07,2.02
Khem Birch,3500,ORL,PF,BOS,,9.00,51.02,9,213.5,240,103.25,-0.25,11.08,4.92,6.86,1.96
Boban Marjanovic,3500,LAC,C,DET,,5.00,52.61,12,221.5,-300,114.25,0.5,11.11,5.80,5.8,1.66
Robert Williams,4300,BOS,C,@ ORL,,6.00,53.98,16,213.5,-275,110.25,0.25,7.28,1.05,5.2,1.21
Jahlil Okafor,3500,NOP,C,@ MIN,,4.00,50.56,4,236,-125,118.75,2,7.24,3.23,3.62,1.03
Semi Ojeleye,3500,BOS,SF,@ ORL,,5.00,33.86,3,213.5,-275,110.25,0.25,6.76,3.38,3.38,0.97
Yogi Ferrell,3700,SAC,PG,CHA,,4.00,50.55,17,233.5,-214,119.5,-0.5,5.85,2.53,3.1,0.84
Joakim Noah,3900,MEM,C,@ MIA,,4.00,50.10,3,196,130,96.25,0.5,5.51,2.59,2.86,0.73
Grayson Allen,3500,UTA,SG,CHI,,4.00,33.60,9,207,-667,109.5,1.25,3.00,2.25,2.5,0.71
