Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Troy Brown Jr.,3500,WAS,SF,MIA,,32.00,26.74,24,220.5,-118,110.75,-0.75,39.93,22.59,28.52,8.15
Quinn Cook,3500,GSW,PG,DAL,,29.00,42.38,29,219,-1200,116.25,-4.25,48.88,11.26,27.34,7.81
Antonio Blakeney,3500,CHI,SG,UTA,,24.00,19.21,2,214,475,101.5,101.5,47.50,4.56,23.76,6.79
Dario Saric,4100,MIN,PF,@ MEM,,29.00,29.10,11,217.5,-110,109,109,40.64,11.85,26.81,6.54
Tyler Dorsey,3700,MEM,SG,MIN,,30.00,26.14,29,217.5,-105,108.5,108.5,39.42,7.71,23.16,6.26
Thomas Bryant ,5000,WAS,C,MIA,,31.00,29.09,11,220.5,-118,110.75,-0.75,60.93,3.78,30.48,6.1
Bobby Portis,5700,WAS,PF,MIA,,32.00,29.09,11,220.5,-118,110.75,-0.75,58.21,10.89,34.04,5.97
Derrick Jones Jr.,3700,MIA,SF,@ WAS,,27.00,27.34,30,220.5,105,109.75,-0.25,39.14,8.08,21.89,5.92
Shaquille Harrison,4500,CHI,PG,UTA,,33.00,19.05,6,214,475,101.5,101.5,43.94,11.70,26.58,5.91
Justin Holiday,3900,MEM,SG,MIN,,35.00,26.14,29,217.5,-105,108.5,108.5,40.40,13.08,22.9,5.87
Robert Williams III,3500,BOS,C,@ CHA,,24.00,30.15,6,222.5,-175,113.25,0.75,28.78,16.28,20.56,5.87
Dwayne Bacon,3800,CHA,SF,BOS,,28.00,19.69,3,222.5,150,109.25,-0.25,43.18,7.43,21.6,5.68
Tyus Jones,5400,MIN,PG,@ MEM,,33.00,19.11,7,217.5,-110,109,109,49.83,11.65,30.59,5.66
Marcus Morris,5300,BOS,PF,@ CHA,,33.00,25.27,14,222.5,-175,113.25,0.75,50.34,10.90,29.61,5.59
Nemanja Bjelica,5200,SAC,SF,PHO,,28.00,35.63,30,230.5,-650,120.5, ,48.86,12.58,28.86,5.55
Jaylen Brown,4800,BOS,SG,@ CHA,,30.00,25.27,14,222.5,-175,113.25,0.75,52.65,5.98,26.34,5.49
Jonas Valanciunas,7800,MEM,C,MIN,,32.00,29.57,5,217.5,-105,108.5,108.5,73.62,18.46,42.43,5.44
Gorgui Dieng,3500,MIN,C,@ MEM,,16.00,30.23,7,217.5,-110,109,109,35.02,4.84,18.92,5.41
Daniel Theis,3500,BOS,PF,@ CHA,,18.00,30.15,6,222.5,-175,113.25,0.75,32.49,8.77,18.77,5.36
Kris Dunn,6300,CHI,PG,UTA,,33.00,35.37,4,214,475,101.5,101.5,58.00,19.15,33.66,5.34
Mikal Bridges,5100,PHO,SF,@ SAC,,38.00,26.13,20,230.5,500,110,-0.5,37.66,18.70,26.9,5.27
Bogdan Bogdanovic,4500,SAC,SG,PHO,,24.00,22.66,3,230.5,-650,120.5, ,46.42,8.15,23.61,5.25
Dion Waiters,4100,MIA,SG,@ WAS,,28.00,24.06,7,220.5,105,109.75,-0.25,33.76,9.32,21.23,5.18
Buddy Hield,7400,SAC,SG,PHO,,35.00,22.31,18,230.5,-650,120.5, ,66.76,15.89,38.28,5.17
Dwyane Wade,5400,MIA,SG,@ WAS,,25.00,24.06,7,220.5,105,109.75,-0.25,43.28,8.38,27.76,5.14
Marvin Bagley III,7000,SAC,PF,PHO,,30.00,35.63,30,230.5,-650,120.5, ,50.26,30.12,35.9,5.13
De'Anthony Melton,3600,PHO,PG,@ SAC,,23.00,39.11,16,230.5,500,110,-0.5,25.66,14.52,18.33,5.09
Kevin Durant,9600,GSW,SF,DAL,,34.00,28.58,7,219,-1200,116.25,-4.25,71.67,24.93,48.79,5.08
Trae Young,7700,ATL,PG,PHI,,33.00,39.12,18,236,250,114.25,0.5,54.50,30.83,38.93,5.06
