Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Rodions Kurucs,4000,BKN,PF,CHA,,31.00,50.09,22,220,-111,110.75, ,29.70,10.95,26.9,6.73
Maxi Kleber,3500,DAL,PF,NOP,,24.00,48.88,17,228.5,-133,115.5, ,36.66,18.42,22.27,6.36
Boban Marjanovic,3500,LAC,C,SAC,,16.00,55.58,22,238,-214,121.5, ,41.38,21.54,21.54,6.15
DeMarre Carroll,3900,BKN,SF,CHA,,23.00,38.84,25,220,-111,110.75, ,38.78,17.55,22.76,5.84
Mikal Bridges,4600,PHO,SF,@ ORL,,33.00,34.88,8,210,175,102.5, ,27.23,5.45,26.33,5.72
Darren Collison,4500,IND,PG,@ ATL,,28.00,40.46,14,217.5,-250,112,0.25,35.19,15.57,25.65,5.7
Josh Okogie,3600,MIN,SG,@ CHI,,26.00,41.95,4,210.5,-175,107.25,107.25,20.52,3.76,20.3,5.64
Buddy Hield,6700,SAC,SG,@ LAC,,34.00,32.57,5,238,180,116.5, ,56.90,25.17,37.56,5.61
Willie Cauley-Stein,7000,SAC,C,@ LAC,,33.00,60.17,28,238,180,116.5, ,56.17,24.77,39.25,5.61
Nemanja Bjelica,5300,SAC,SF,@ LAC,,30.00,53.96,30,238,180,116.5, ,48.99,19.47,29.55,5.58
Victor Oladipo,8500,IND,SG,@ ATL,,36.00,54.61,29,217.5,-250,112,0.25,65.10,28.60,47.04,5.53
James Johnson,4400,MIA,PF,TOR,,24.00,45.44,7,207.5,125,102.25,-0.25,31.49,12.37,23.93,5.44
Taj Gibson,4000,MIN,PF,@ CHI,,23.00,57.51,26,210.5,-175,107.25,107.25,29.81,11.09,21.54,5.39
Miles Bridges,3700,CHA,SF,@ BKN,,24.00,47.77,12,220,-105,109.25, ,20.08,3.67,19.86,5.37
Nikola Vucevic,8900,ORL,C,PHO,,32.00,56.19,21,210,-200,107.5, ,59.82,22.22,47.78,5.37
Andrew Wiggins,6400,MIN,SG,@ CHI,,34.00,41.95,4,210.5,-175,107.25,107.25,45.00,19.47,34.27,5.35
Jeff Green,5100,WAS,SF,@ DET,,32.00,44.51,4,220.5,150,108,0.25,40.07,20.25,27.11,5.32
Karl-Anthony Towns,9100,MIN,C,@ CHI,,35.00,64.49,30,210.5,-175,107.25,107.25,64.55,26.42,48.21,5.3
Wendell Carter,5200,CHI,PF,MIN,,25.00,52.32,9,210.5,150,103.25,103.25,31.48,8.55,27.57,5.3
Montrezl Harrell,6600,LAC,PF,SAC,,28.00,57.18,23,238,-214,121.5, ,52.88,27.37,35,5.3
Dario Saric,5000,MIN,PF,@ CHI,,28.00,48.12,14,210.5,-175,107.25,107.25,43.48,21.98,26.1,5.22
Fred VanVleet,5600,TOR,PG,@ MIA,,32.00,40.35,13,207.5,-143,105.25,-0.75,45.90,23.96,29.18,5.21
Alec Burks,4700,CLE,SG,@ MEM,,28.00,40.53,2,196.5,360,93.5,0.25,35.09,17.97,24.45,5.2
Markieff Morris,4900,WAS,PF,@ DET,,26.00,55.58,19,220.5,150,108,0.25,34.81,18.08,25.39,5.18
John Wall,9700,WAS,PG,@ DET,,36.00,53.49,26,220.5,150,108,0.25,56.31,19.74,50.23,5.18
Jordan Clarkson,5400,CLE,SG,@ MEM,,32.00,40.53,2,196.5,360,93.5,0.25,46.64,26.98,27.96,5.18
D'Angelo Russell,6900,BKN,SG,CHA,,30.00,50.11,17,220,-111,110.75, ,47.73,17.61,35.57,5.16
Danny Green,4300,TOR,SG,@ MIA,,28.00,36.62,17,207.5,-143,105.25,-0.75,31.38,14.08,22.07,5.13
Cedi Osman,4700,CLE,SF,@ MEM,,35.00,36.33,16,196.5,360,93.5,0.25,30.16,11.19,24.11,5.13
Josh Jackson,5100,PHO,PF,@ ORL,,23.00,46.07,17,210,175,102.5, ,36.97,16.62,26.09,5.12
Trevor Ariza,6000,WAS,SF,@ DET,,36.00,34.88,9,220.5,150,108,0.25,40.34,15.04,30.63,5.11
Blake Griffin,9100,DET,PF,WAS,,36.00,61.37,29,220.5,-175,112.5,-0.25,60.24,21.48,46.3,5.09
Dewayne Dedmon,6200,ATL,C,IND,,30.00,48.53,2,217.5,210,105.5,1.25,44.44,18.78,31.56,5.09
Reggie Bullock,5000,DET,SG,WAS,,35.00,35.80,13,220.5,-175,112.5,-0.25,41.00,17.37,25.28,5.06
Darius Miller,3900,NOP,SF,@ DAL,,34.00,38.04,22,228.5,115,113, ,31.14,15.35,19.66,5.04
Julius Randle,8500,NOP,C,@ DAL,,34.00,52.32,8,228.5,115,113, ,59.39,25.47,42.88,5.04
Mason Plumlee,6300,DEN,C,@ SAS,,30.00,53.09,16,216.5,138,106.25,0.25,45.17,22.09,31.7,5.03
Evan Fournier,5700,ORL,SG,PHO,,32.00,33.73,9,210,-200,107.5, ,36.38,14.81,28.53,5.01
Larry Nance,7300,CLE,PF,@ MEM,,35.00,51.89,7,196.5,360,93.5,0.25,54.45,22.28,36.59,5.01
De'Aaron Fox,8200,SAC,PG,@ LAC,,34.00,53.26,25,238,180,116.5, ,51.15,20.81,41.05,5.01
Delon Wright,3800,TOR,SG,@ MIA,,24.00,40.35,13,207.5,-143,105.25,-0.75,31.46,15.68,19,5
Reggie Jackson,5500,DET,PG,WAS,,28.00,53.63,27,220.5,-175,112.5,-0.25,39.00,14.83,27.37,4.98
Kawhi Leonard,10400,TOR,SF,@ MIA,,36.00,43.89,9,207.5,-143,105.25,-0.75,69.54,25.18,51.82,4.98
Joe Harris,4500,BKN,SF,CHA,,32.00,37.68,24,220,-111,110.75, ,32.78,14.95,22.42,4.98
Andre Drummond,9700,DET,C,WAS,,35.00,55.89,23,220.5,-175,112.5,-0.25,59.17,22.14,48.34,4.98
Thaddeus Young,5900,IND,PF,@ ATL,,31.00,52.71,27,217.5,-250,112,0.25,42.03,15.43,29.23,4.95
Serge Ibaka,6900,TOR,PF,@ MIA,,30.00,49.65,21,207.5,-143,105.25,-0.75,48.54,20.35,34.09,4.94
Garrett Temple,4300,MEM,SG,CLE,,33.00,36.41,19,196.5,-450,103,-0.25,33.91,15.23,21.09,4.9
Nicolas Batum,4700,CHA,SF,@ BKN,,30.00,32.28,2,220,-105,109.25, ,31.89,16.46,22.96,4.89
Rudy Gay,6200,SAS,SF,DEN,,31.00,48.58,15,216.5,-160,110.25,0.25,38.47,15.21,30.29,4.89
Jakob Poeltl,3800,SAS,C,DEN,,19.00,51.27,11,216.5,-160,110.25,0.25,37.02,16.43,18.52,4.87
Iman Shumpert,3800,SAC,SG,@ LAC,,25.00,32.57,5,238,180,116.5, ,26.89,13.24,18.52,4.87
Ed Davis,4200,BKN,PF,CHA,,20.00,53.36,19,220,-111,110.75, ,37.34,15.27,20.44,4.87
Lou Williams,5400,LAC,SG,SAC,,25.00,44.87,11,238,-214,121.5, ,39.27,16.25,26.25,4.86
Anthony Davis,12500,NOP,PF,@ DAL,,38.00,52.32,8,228.5,115,113, ,89.58,30.99,60.53,4.84
Bojan Bogdanovic,5000,IND,SF,@ ATL,,33.00,41.08,30,217.5,-250,112,0.25,37.84,19.22,24.18,4.84
Domantas Sabonis,6600,IND,PF,@ ATL,,25.00,59.28,27,217.5,-250,112,0.25,47.66,24.15,31.86,4.83
Cody Zeller,5300,CHA,C,@ BKN,,25.00,63.96,30,220,-105,109.25, ,36.49,14.88,25.48,4.81
Dwyane Wade,5100,MIA,SG,TOR,,24.00,47.60,24,207.5,125,102.25,-0.25,34.40,16.21,24.52,4.81
Jarrett Allen,6300,BKN,C,CHA,,28.00,53.36,19,220,-111,110.75, ,41.44,18.24,30.05,4.77
