Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Lance Stephenson,3700,LAL,SF,@ MIN,,28.00,46.36,18,224.5,260,108.5,108.5,45.90,21.49,26.89,7.27
Bismack Biyombo,3600,CHA,C,@ PHO,,24.00,61.10,29,225.5,105,112,-1,37.29,17.72,25.61,7.11
Otto Porter,4900,WAS,SF,@ OKC,,28.00,38.92,26,227,400,108.5,0.75,46.32,25.07,30.02,6.13
Kentavious Caldwell-Pope,4500,LAL,SG,@ MIN,,34.00,37.72,22,224.5,260,108.5,108.5,50.38,23.37,26.8,5.96
Kelly Oubre,3800,PHO,SF,CHA,,25.00,38.00,19,225.5,-118,113.5,2.5,38.52,18.32,22.37,5.89
Danny Green,4100,TOR,SG,IND,,29.00,34.77,9,213.5,-118,107.5,107.5,34.32,16.59,23.98,5.85
Josh Okogie,3800,MIN,SG,LAL,,29.00,49.17,28,224.5,-300,116,116,24.46,9.02,22.16,5.83
Wendell Carter,5900,CHI,PF,BKN,,32.00,58.38,25,207.5,110,102.75,-0.5,38.91,10.50,34.31,5.82
Kyle O'Quinn,3500,IND,C,@ TOR,,16.00,53.84,14,213.5,105,106,106,33.78,17.11,20.25,5.79
Josh Jackson,4100,PHO,PF,CHA,,22.00,49.08,26,225.5,-118,113.5,2.5,32.39,14.44,23.07,5.63
Chandler Hutchison,3500,CHI,SF,BKN,,28.00,32.09,2,207.5,110,102.75,-0.5,21.93,5.92,19.34,5.53
Hassan Whiteside,7200,MIA,C,@ ATL,,27.00,58.14,26,218.5,-250,112.5,-1,50.94,19.23,39.64,5.51
Domantas Sabonis,7000,IND,PF,@ TOR,,32.00,51.50,10,213.5,105,106,106,57.60,29.18,38.5,5.5
Patrick Beverley,3800,LAC,PG,ORL,,25.00,37.10,6,219.5,-275,113.25, ,37.74,20.91,20.91,5.5
Mikal Bridges,4200,PHO,SF,CHA,,32.00,38.00,19,225.5,-118,113.5,2.5,25.13,9.26,22.76,5.42
Taj Gibson,4700,MIN,PF,LAL,,26.00,59.00,27,224.5,-300,116,116,34.63,14.12,25.39,5.4
Ed Davis,4400,BKN,PF,@ CHI,,22.00,57.17,23,207.5,-125,104.75,-0.5,39.99,17.56,23.76,5.4
Shabazz Napier,3600,BKN,PG,@ CHI,,21.00,39.10,11,207.5,-125,104.75,-0.5,35.35,15.84,19.37,5.38
Delon Wright,3800,TOR,SG,IND,,24.00,35.26,4,213.5,-118,107.5,107.5,34.16,17.09,20.01,5.27
Dario Saric,3600,MIN,PF,LAL,,20.00,45.87,6,224.5,-300,116,116,31.82,15.26,18.82,5.23
Dennis Schroder,5400,OKC,SG,WAS,,26.00,53.77,27,227,-500,118.5,0.75,43.03,23.03,28.16,5.21
Jarrett Allen,6000,BKN,C,@ CHI,,27.00,57.17,23,207.5,-125,104.75,-0.5,43.00,18.68,31.14,5.19
James Johnson,5000,MIA,PF,@ ATL,,25.00,52.84,28,218.5,-250,112.5,-1,33.99,13.71,25.97,5.19
Steven Adams,7100,OKC,C,WAS,,35.00,57.19,24,227,-500,118.5,0.75,48.81,23.92,36.02,5.07
