Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-17,Jeremy Lin,3600,TOR,PG,@ DET,,26.0,39.0,16,215.0,105,106.75,106.75,45.06,6.8,23.78,6.61,L,17,1,4,0.25,1,2,0.5,0,0,,0,2,2,3,0,0,0,2,3,1,9.9,1.0,1.0
2019-03-17,Eric Bledsoe,7000,MIL,PG,PHI,,32.0,38.97,15,230.0,-225,118.0,-1,70.96,14.77,35.5,5.07,L,33,5,14,0.35700000000000004,1,4,0.25,1,3,0.333,3,2,5,6,2,0,2,3,12,-17,31.0,1.0,1.0
2019-03-17,Dion Waiters,4100,MIA,SG,CHA,,32.0,29.01,28,210.0,-143,106.5,-2.5,38.57,10.79,25.75,6.28,W,22,4,10,0.4,4,8,0.5,0,0,,0,4,4,3,0,0,1,1,12,3,20.3,2.0,1.0
2019-03-17,Buddy Hield,6700,SAC,SG,CHI,,35.0,23.93,26,230.5,-275,118.5,-1,67.07,15.96,38.46,5.74,W,25,6,12,0.5,2,3,0.667,2,2,1.0,1,2,3,4,3,1,2,2,16,25,35.6,2.0,1.0
2019-03-17,Derrick Jones Jr.,3500,MIA,SF,CHA,,30.0,23.96,27,210.0,-143,106.5,-2.5,52.51,8.09,26.27,7.51,W,24,2,6,0.333,1,2,0.5,1,4,0.25,2,3,5,1,1,3,1,3,6,11,24.5,3.0,1.0
2019-03-17,Giannis Antetokounmpo,12000,MIL,SF,PHI,,34.0,27.79,4,230.0,-225,118.0,-1,82.14,34.03,58.67,4.89,L,36,15,26,0.5770000000000001,3,8,0.375,19,21,0.905,1,15,16,7,2,1,1,1,52,12,89.7,3.0,1.0
2019-03-17,Kelly Olynyk,5100,MIA,PF,CHA,,32.0,34.98,28,210.0,-143,106.5,-2.5,49.34,10.48,30.74,6.03,W,31,1,7,0.14300000000000002,0,3,0.0,2,3,0.667,3,6,9,6,0,0,3,2,4,4,20.8,4.0,1.0
2019-03-17,Lauri Markkanen,7700,CHI,PF,@ SAC,,35.0,32.57,24,230.5,230,112.0,-1,66.14,16.59,38.68,5.02,L,23,4,8,0.5,1,4,0.25,2,2,1.0,0,3,3,2,0,1,3,1,11,-17,17.6,4.0,1.0
2019-03-17,Nikola Vucevic,10000,ORL,C,ATL,,34.0,27.1,5,225.0,-350,116.75,-0.25,81.16,21.18,51.17,5.12,W,34,10,20,0.5,0,3,0.0,7,7,1.0,4,16,20,3,3,0,2,2,27,6,62.5,5.0,1.0
