Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-09,Eric Bledsoe,7300,MIL,PG,CHA,,31.0,36.86,6,228.0,-900,120.0,-0.25,70.32,14.63,35.18,4.82,W,27,3,10,0.3,3,5,0.6,2,4,0.5,2,1,3,5,2,0,0,0,11,22,28.1,1.0,1.0
2019-03-09,Derrick Rose,5300,MIN,PG,WAS,,29.0,39.99,22,242.5,-275,124.75,-0.25,66.79,8.35,33.41,6.3,W,30,13,23,0.565,0,2,0.0,3,4,0.75,1,2,3,3,1,0,2,1,29,10,38.1,1.0,1.0
2019-03-09,Jeremy Lamb,6600,CHA,SG,@ MIL,,32.0,26.15,18,228.0,650,108.0,0.25,59.95,8.73,31.06,4.71,L,27,6,12,0.5,0,4,0.0,2,2,1.0,0,4,4,3,0,1,3,2,14,-4,23.3,2.0,1.0
2019-03-09,Josh Hart,4300,LAL,SG,BOS,,33.0,18.77,3,221.0,275,106.75,106.75,47.44,5.23,25.38,5.9,L,28,3,10,0.3,2,6,0.333,0,0,,1,1,2,1,1,0,0,2,8,-13,14.9,2.0,1.0
2019-03-09,Taurean Prince,5000,ATL,SF,BKN,,30.0,25.29,14,239.0,163,117.25,1.25,46.1,9.85,25.26,5.05,L,29,5,11,0.455,3,6,0.5,0,0,,1,2,3,4,1,0,1,5,13,10,24.6,3.0,1.0
2019-03-09,Nicolas Batum,6100,CHA,SF,@ MIL,,36.0,30.05,29,228.0,650,108.0,0.25,52.59,11.07,28.99,4.75,L,37,6,11,0.545,2,7,0.28600000000000003,0,0,,2,6,8,4,0,0,2,1,14,-18,27.6,3.0,1.0
2019-03-09,Marvin Williams,5200,CHA,PF,@ MIL,,32.0,29.01,12,228.0,650,108.0,0.25,52.69,6.27,26.36,5.07,L,31,2,9,0.222,1,4,0.25,0,0,,0,8,8,2,1,0,1,3,5,-19,19.6,4.0,1.0
2019-03-09,John Collins,7900,ATL,PF,BKN,,30.0,38.22,30,239.0,163,117.25,1.25,64.54,14.03,35.44,4.49,L,30,13,20,0.65,0,1,0.0,7,9,0.778,6,13,19,2,1,1,2,5,33,3,62.8,4.0,1.0
2019-03-09,Karl-Anthony Towns,11600,MIN,C,WAS,,35.0,33.34,22,242.5,-275,124.75,-0.25,93.85,31.56,59.78,5.15,W,37,15,24,0.625,4,7,0.5710000000000001,6,6,1.0,4,11,15,2,2,1,1,2,40,1,69.0,5.0,1.0
