Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-10-29,Eric Bledsoe,7700,MIL,PG,TOR,,34.0,29.00,2,222.5,120,110.0,110.0,66.12,23.46,39.43,5.12,W,26,7,12,0.583,2,5,0.4,1,1,1.0,0,2,2,8,0,1,3,2,17,-1,31.4,1.0,1.0
2018-10-29,Stephen Curry,9800,GSW,PG,@ CHI,,34.0,42.65,9,227.0,-800,119.0,119.0,78.0,29.85,46.43,4.74,W,25,7,9,0.778,2,4,0.5,7,7,1.0,0,8,8,5,2,0,1,3,23,27,45.1,1.0,1.0
2018-10-29,Khris Middleton,7500,MIL,SG,TOR,,36.0,46.82,20,222.5,120,110.0,110.0,62.32,26.76,37.16,4.95,W,31,4,11,0.364,4,9,0.444,2,3,0.667,0,4,4,8,2,0,3,4,14,18,33.8,2.0,1.0
2018-10-29,J.J. Redick,5400,PHI,SG,ATL,,30.0,49.57,30,230.5,-850,120.75,120.75,47.07,21.95,24.89,4.61,W,25,4,15,0.267,4,11,0.364,2,2,1.0,0,8,8,3,2,1,3,3,14,18,34.1,2.0,1.0
2018-10-29,Nikola Mirotic,7300,NOP,SF,@ DEN,,34.0,47.75,11,229.5,350,110.25,110.25,65.76,27.83,36.47,5.0,L,38,7,17,0.412,3,11,0.273,0,2,0.0,0,10,10,2,3,1,2,1,17,-4,42.0,3.0,1.0
2018-10-29,Jabari Parker,7000,CHI,SF,GSW,,30.0,43.82,8,227.0,575,108.0,108.0,61.07,23.79,34.58,4.94,L,26,7,15,0.467,0,3,0.0,1,5,0.2,2,7,9,5,1,1,1,0,15,-1,38.3,3.0,1.0
2018-10-29,Serge Ibaka,5200,TOR,PF,@ MIL,,28.0,36.71,1,222.5,-140,112.5,112.5,53.41,22.27,26.96,5.18,L,29,12,21,0.5710000000000001,2,5,0.4,4,4,1.0,2,7,9,1,0,1,0,3,30,7,45.3,4.0,1.0
2018-10-29,Pascal Siakam,4400,TOR,PF,@ MIL,,29.0,53.97,13,222.5,-140,112.5,112.5,41.04,24.62,27.36,6.22,L,33,10,16,0.625,0,4,0.0,2,3,0.667,2,6,8,2,4,1,2,2,22,-11,47.6,4.0,1.0
2018-10-29,Myles Turner,5600,IND,C,POR,,27.63,59.84,21,215.5,-170,109.75,109.75,47.99,20.04,28.43,5.08,L,32,5,12,0.417,0,1,0.0,0,4,0.0,4,5,9,1,1,3,0,2,10,2,34.3,5.0,1.0
