"Bryn Forbes",3700,SAS,PG,LAC,29.61672,10.50804,17.34
"Derrick White",5900,SAS,PG,LAC,47.00008,20.88336,25.04
"DeMar DeRozan",8900,SAS,SG,LAC,67.77144,19.96533,42.57
"Dante Cunningham",3900,SAS,SF,LAC,25.73304,10.024,14.32
"Rudy Gay",5600,SAS,SF,LAC,49.18572,20.06736,25.86
"LaMarcus Aldridge",8400,SAS,PF,LAC,68.11136,26.22448,40.16
"Tyler Dorsey",3500,ATL,SG,DEN,9.01255,3.64651,4.61
"Mason Plumlee",3700,DEN,C,ATL,30.7008,12.1056,15.6
"Paul Millsap",6200,DEN,PF,ATL,49.84256,19.13088,30.08
"Juan Hernangomez",4100,DEN,SF,ATL,40.2388,13.73457,20.53
"Nikola Jokic",9700,DEN,C,ATL,69.38736,19.03752,46.32
"Trey Lyles",4600,DEN,PF,ATL,37.85679,16.93647,20.43
"Malik Beasley",3500,DEN,SG,ATL,19.89005,9.95,9.95
"Monte Morris",5200,DEN,SG,ATL,40.59948,17.90268,23.16
"Davis Bertans",3600,SAS,SF,LAC,20.819,8.7309,10.9
"Patty Mills",3900,SAS,PG,LAC,28.98428,12.55932,16.04
"Shai Gilgeous-Alexander",6000,LAC,PG,SAS,31.18623,5.03916,25.71
"Lou Williams",6800,LAC,SG,SAS,46.816,16.4654,26.6
"Montrezl Harrell",7500,LAC,PF,SAS,58.72985,25.8451,33.05
"Luc Mbah a Moute",3600,LAC,PF,SAS,15.85207,6.47881,7.93
"Boban Marjanovic",4800,LAC,C,SAS,5.07746,2.54,2.54
"Mike Scott",3600,LAC,PF,SAS,9.13543,5.40631,4.57
"Marcin Gortat",3700,LAC,C,SAS,27.53238,9.73268,16.33
"Danilo Gallinari",6500,LAC,SF,SAS,51.51764,17.57142,31.49
"Jakob Poeltl",3500,SAS,C,LAC,16.25187,7.20318,8.13
"Marco Belinelli",3500,SAS,SG,LAC,26.80696,11.43284,15.64
"Patrick Beverley",4800,LAC,PG,SAS,36.8828,13.7218,21.85
"Avery Bradley",3600,LAC,SG,SAS,21.44064,7.71264,12.48
"Tobias Harris",8300,LAC,PF,SAS,58.83132,20.1374,37.64
"Gary Harris",7000,DEN,SF,ATL,54.28452,19.30992,32.84
"Jamal Murray",7500,DEN,PG,ATL,60.7581,21.0249,35.1
"Shaun Livingston",3500,GSW,PG,HOU,25.29632,9.81456,12.88
"Jordan Bell",3800,GSW,C,HOU,6.9948,3.0456,3.6
"Chris Paul",9000,HOU,PG,GSW,63.93025,20.05735,40.85
"James Harden",11700,HOU,SG,GSW,71.22519,19.12965,52.41
"P.J. Tucker",4800,HOU,PF,GSW,47.83607,20.19692,23.93
"James Ennis",3800,HOU,SF,GSW,28.77017,12.28513,15.73
"Jonas Jerebko",3900,GSW,PF,HOU,19.83008,7.65824,9.92
"Kevon Looney",3900,GSW,C,HOU,33.24951,14.17863,17.79
"Kevin Durant",11800,GSW,SF,HOU,79.9824,27.41502,52.62
"Klay Thompson",7500,GSW,SG,HOU,53.68821,19.6214,33.83
"Draymond Green",8000,GSW,PF,HOU,57.90512,17.57834,39.77
"Damian Jones",3600,GSW,C,HOU,23.56821,8.28837,11.79
"Alfonzo McKinnie",3500,GSW,SF,HOU,14.21289,7.11,7.11
"Andre Iguodala",3900,GSW,SG,HOU,33.52077,10.89564,18.53
"Clint Capela",8100,HOU,C,GSW,68.9238,22.85778,38.94
"Eric Gordon",5000,HOU,SG,GSW,42.38191,17.61357,23.77
"DeAndre Bembry",4800,ATL,SF,DEN,34.25652,16.50042,19.62
"Kevin Huerter",3500,ATL,SG,DEN,17.71082,3.70098,14.18
"Jeremy Lin",4200,ATL,PG,DEN,40.01788,16.97596,21.82
"Vince Carter",3700,ATL,SF,DEN,27.64476,12.31308,14.04
"Alex Poythress",3500,ATL,PF,DEN,25.66716,11.45328,12.84
"Miles Plumlee",3500,ATL,C,DEN,20.53975,10.67,10.67
"Alex Len",4700,ATL,C,DEN,49.19656,17.89778,29.78
"Omari Spellman",4500,ATL,PF,DEN,22.5441,2.27472,20.31
"Gary Clark",4500,HOU,SF,GSW,15.38084,2.48528,12.68
"Gerald Green",3500,HOU,SF,GSW,17.87106,7.25034,8.94
"Isaiah Hartenstein",3500,HOU,PF,GSW,10.96552,1.77184,9.04
"Trae Young",7400,ATL,PG,DEN,36.2637,3.65904,32.67
"Kent Bazemore",6300,ATL,SG,DEN,49.14779,13.87634,29.03
"Quinn Cook",5800,GSW,PG,HOU,42.5958,15.0876,25.4
