entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29501-15755,PF,Anthony,29501-23798,29501-9646,29501-9561,Elbow,,,
29501-9488,SF,LeBron,29501-15542,29501-23798,29501-9646,,,,
29501-40199,SF,Giannis,29501-80814,29501-23798,29501-9646,Concussion,,,
29501-49111,C,Joel,29501-9646,,,,
29501-9646,SF,Kevin,29501-23798,29501-9646,,,,
29501-66115,PG,Ben,,,,
29501-55062,C,Nikola,29501-9646,,,,
29501-20848,PG,Damian,29501-23798,29501-9646,,,,
29501-14513,SF,Kawhi,29501-23798,29501-9646,Rest,,,
29501-9524,PG,Stephen,29501-23798,29501-9646,,,,
