entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
30702-9644,SG,James,30702-9623,30702-9475,30702-15595,30702-20640,30702-12366,30702-9692,30702-9560,30702-42148,30702-14503,,,,
30702-9646,SF,Kevin,30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503,,,,
30702-14513,SF,Kawhi,30702-9524,30702-42677,30702-15595,30702-20640,30702-9692,30702-9560,30702-42148,30702-14503,,,,
30702-15557,C,Andre,30702-9475,30702-42677,30702-40783,30702-15595,30702-9692,30702-9560,30702-42148,30702-14503,,,,
30702-58462,C,Karl-Anthony,30702-9475,30702-42677,30702-40783,30702-20640,30702-9646,30702-9692,30702-9560,30702-14503,,,,
30702-9524,PG,Stephen,30702-9623,30702-9475,30702-15595,30702-20640,30702-12366,30702-9560,30702-14503,,,,
30702-12332,PG,John,30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503,,,,
30702-15684,SG,Victor,30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503,Knee,,,
30702-9560,PF,Blake,30702-9475,30702-42677,30702-40783,30702-15595,30702-9646,30702-9692,30702-42148,30702-55056,30702-14503,,,,
30702-14498,PG,Kyrie,30702-9475,30702-42677,30702-15595,30702-20640,30702-12366,30702-9692,30702-9560,30702-42148,30702-58462,,,,
