PG,PG,SG,SG,SF,SF,PF,PF,C
30771-20848,30771-14529,30771-40783,30771-55060,30771-9692,30771-12368,30771-59358,30771-80809,30771-23823
30771-20848,30771-80810,30771-55060,30771-23665,30771-16233,30771-9692,30771-59358,30771-80809,30771-9731
30771-80810,30771-14529,30771-40783,30771-55060,30771-16233,30771-12368,30771-59358,30771-80809,30771-23823
30771-20848,30771-14529,30771-19067,30771-23665,30771-16233,30771-12368,30771-59358,30771-80809,30771-23823
30771-20848,30771-14529,30771-55060,30771-23665,30771-16233,30771-9692,30771-9688,30771-80809,30771-84673
30771-20848,30771-14529,30771-55060,30771-23665,30771-16233,30771-9692,30771-9688,30771-80809,30771-84673
30771-20848,30771-14529,30771-55060,30771-23665,30771-16233,30771-12368,30771-9688,30771-80809,30771-23823
30771-20848,30771-14529,30771-55060,30771-23665,30771-9692,30771-12368,30771-9688,30771-59358,30771-23823
30771-20848,30771-14529,30771-55060,30771-23665,30771-16233,30771-9692,30771-9688,30771-80809,30771-84673
30771-20848,30771-14529,30771-55060,30771-23665,30771-16233,30771-9692,30771-9688,30771-80809,30771-84673
