Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-10-30,Kyrie Irving,7500,BOS,PG,DET,,32.0,45.68,15,212.0,-440,110.25,110.25,71.69,22.68,39.72,5.3,W,33,10,16,0.625,4,7,0.5710000000000001,7,8,0.875,1,4,5,5,1,0,2,0,31,1,45.5,1.0,1.0
2018-10-30,Chris Paul,9600,HOU,PG,POR,,33.0,38.31,1,222.5,-190,113.5,113.5,79.12,23.75,49.48,5.15,L,37,6,19,0.316,2,8,0.25,3,4,0.75,1,4,5,9,2,0,2,4,17,-18,40.5,1.0,1.0
2018-10-30,Dennis Schroder,5200,OKC,SG,LAC,,28.0,49.2,23,228.0,-150,115.5,115.5,51.3,20.24,26.32,5.06,W,25,6,13,0.462,1,3,0.333,2,2,1.0,0,2,2,3,0,0,3,3,15,-14,18.9,2.0,1.0
2018-10-30,Lou Williams,5200,LAC,SG,@ OKC,,26.0,43.92,10,228.0,130,112.5,112.5,54.64,22.69,27.57,5.3,L,25,4,11,0.364,1,2,0.5,8,8,1.0,0,5,5,3,1,0,5,1,17,-14,25.5,2.0,1.0
2018-10-30,Nicolas Batum,6300,CHA,SF,MIA,,33.0,38.07,4,221.5,-155,112.25,112.25,62.51,20.46,33.81,5.37,W,32,7,10,0.7,3,5,0.6,3,4,0.75,1,6,7,1,1,1,4,1,20,6,31.9,3.0,1.0
2018-10-30,Taurean Prince,7300,ATL,SF,@ CLE,,33.0,37.23,21,227.0,170,111.25,111.25,68.51,25.29,38.49,5.27,L,26,3,12,0.25,1,5,0.2,2,2,1.0,0,4,4,2,1,0,4,6,9,-20,15.8,3.0,1.0
2018-10-30,Pascal Siakam,4400,TOR,PF,PHI,,30.0,46.98,3,227.5,-260,116.75,2.5,49.76,18.18,29.85,6.78,W,33,6,8,0.75,0,1,0.0,3,4,0.75,1,14,15,2,3,0,3,3,15,24,42.0,4.0,1.0
2018-10-30,Aaron Gordon,7700,ORL,PF,SAC,,32.0,54.7,27,220.5,-185,112.75,112.75,69.09,25.43,40.88,5.31,L,34,7,15,0.467,2,7,0.28600000000000003,2,4,0.5,2,8,10,3,2,2,2,3,18,-6,44.5,4.0,1.0
2018-10-30,Al Horford,6800,BOS,C,DET,,30.56,53.31,13,212.0,-440,110.25,110.25,63.15,23.14,35.16,5.17,W,33,5,9,0.556,0,3,0.0,1,2,0.5,2,3,5,4,1,1,3,4,11,2,26.0,5.0,1.0
