"Georges Niang",3500,UTA,PF,MEM,8.15592,3.468,4.08
"John Wall",9800,WAS,PG,POR,57.94551,16.43166,43.47
"Bradley Beal",8000,WAS,SG,POR,58.7028,18.60768,36.92
"Otto Porter",6300,WAS,SF,POR,54.17016,20.94961,31.79
"Royce O'Neale",3500,UTA,SF,MEM,15.77211,6.58815,7.89
"Alec Burks",3800,UTA,SG,MEM,31.90404,15.96,15.96
"Derrick Favors",6100,UTA,PF,MEM,45.063,15.417,27
"Rudy Gobert",8700,UTA,C,MEM,63.32592,19.5426,39.48
"Jae Crowder",5200,UTA,SF,MEM,47.30635,19.4324,24.05
"Dante Exum",4100,UTA,PG,MEM,32.16444,12.25784,16.52
"Markieff Morris",5000,WAS,PF,POR,38.02935,12.93315,22.65
"Ian Mahinmi",3600,WAS,C,POR,30.2604,11.5564,16.7
"Damian Lillard",10000,POR,PG,WAS,69.6578,22.5492,43.7
"C.J. McCollum",7000,POR,SG,WAS,48.35666,15.17544,30.11
"Jake Layman",3600,POR,SF,WAS,15.1976,6.72745,7.85
"Al-Farouq Aminu",5300,POR,PF,WAS,38.05932,17.21616,24.18
"Tomas Satoransky ",3600,WAS,PG,POR,16.18964,7.57272,9.08
"Jason Smith",3500,WAS,PF,POR,31.48425,15.5925,15.75
"Jeff Green",3700,WAS,SF,POR,31.55068,13.00844,16.04
"Austin Rivers",3800,WAS,SG,POR,36.22188,17.43144,18.12
"Kelly Oubre",3900,WAS,SF,POR,34.0062,13.44725,18.05
"Joe Ingles",7100,UTA,SF,MEM,46.52832,18.84511,28.51
"Donovan Mitchell",8500,UTA,SG,MEM,68.59908,24.61904,40.76
"Jalen Brunson",3500,DAL,PG,CHI,16.7544,2.26256,14.32
"Ryan Broekhoff",3500,DAL,PF,CHI,0.9553,0.12956,0.82
"Mike Conley",7700,MEM,PG,UTA,55.73361,18.87897,30.11
"Garrett Temple",4100,MEM,SG,UTA,37.11346,16.30362,19.34
"Dwight Powell",4600,DAL,PF,CHI,35.07805,14.76871,18.91
"Maxi Kleber",3500,DAL,PF,CHI,30.19422,12.85158,15.54
"Luka Doncic",7500,DAL,SG,CHI,56.93391,17.02881,39.51
"DeAndre Jordan",8300,DAL,C,CHI,53.3664,14.23104,37.06
"J.J. Barea",4900,DAL,PG,CHI,36.66795,15.32322,23.43
"Dorian Finney-Smith",4300,DAL,SF,CHI,40.05811,15.45802,21.41
"Chandler Parsons",3900,MEM,SF,UTA,31.81147,11.81891,18.79
"Jaren Jackson",6800,MEM,PF,UTA,32.94423,5.34609,27.99
"Wayne Selden",3500,MEM,SG,UTA,6.47068,2.64936,3.32
"Omri Casspi",3800,MEM,SF,UTA,36.36181,17.48059,18.19
"Ivan Rabb",3500,MEM,PF,UTA,10.4103,4.27172,5.38
"Ricky Rubio",6300,UTA,PG,MEM,50.17144,18.46284,31.24
"Dillon Brooks",3600,MEM,SG,UTA,20.5897,10.3,10.3
"MarShon Brooks",4100,MEM,SG,UTA,12.78128,2.26568,10.16
"Marc Gasol",7800,MEM,C,UTA,56.331,17.44554,34.14
"Shelvin Mack",3800,MEM,PG,UTA,38.06028,18.42897,20.73
"Kyle Anderson",4900,MEM,SF,UTA,32.35666,12.31356,19.18
"Jusuf Nurkic",7400,POR,C,WAS,49.84732,17.48423,31.39
"Nik Stauskas",3600,POR,SG,WAS,25.08296,10.01476,13.16
"Josh Jackson",5300,PHO,PF,GSW,50.03497,19.64855,25.03
"TJ Warren",5400,PHO,SF,GSW,39.74012,16.06304,19.88
"Jamal Crawford",3600,PHO,SG,GSW,27.56512,11.90312,15.28
"Tyson Chandler",3600,PHO,C,GSW,15.71214,7.86,7.86
"Deandre Ayton",7600,PHO,C,GSW,45.98539,7.46237,39.07
"Ryan Anderson",3600,PHO,PF,GSW,29.69421,13.01517,15.33
"Sviatoslav Mykhailiuk",3500,LAL,SG,SAS,10.4384,1.41568,8.96
