Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-08,Fred VanVleet,5400,TOR,PG,ATL,,32.0,42.62,22,228.5,-1100,121.0,-0.5,47.66,23.27,29.31,5.43,W,34,1,6,0.16699999999999998,1,4,0.25,6,6,1.0,0,5,5,4,2,0,4,3,9,2,23.0,1.0,1.0
2019-01-08,Kyle Lowry,8100,TOR,PG,ATL,,33.0,55.12,30,228.5,-1100,121.0,-0.5,57.95,22.53,41.04,5.07,W,32,5,12,0.417,3,9,0.333,3,4,0.75,0,2,2,6,4,1,3,2,16,-4,39.4,1.0,1.0
2019-01-08,Bradley Beal,9800,WAS,SG,@ PHI,,38.0,47.46,21,227.5,275,109.75,109.75,69.76,30.02,44.21,4.51,L,31,11,18,0.611,4,9,0.444,2,2,1.0,0,3,3,2,3,0,5,1,28,-18,38.6,2.0,1.0
2019-01-08,Alec Burks,4500,CLE,SG,IND,,32.0,45.94,16,208.0,360,99.25,0.5,42.21,25.49,25.49,5.66,L,30,7,9,0.778,3,3,1.0,2,2,1.0,1,6,7,0,1,1,1,2,19,-6,32.4,2.0,1.0
2019-01-08,Paul George,10000,OKC,SF,MIN,,36.0,51.94,27,228.5,-333,118.25,0.75,67.43,29.75,48.3,4.83,L,38,9,24,0.375,5,13,0.385,4,7,0.5710000000000001,3,6,9,1,0,0,2,5,27,4,37.3,3.0,1.0
2019-01-08,Kelly Oubre,3800,PHO,SF,SAC,,25.0,36.4,14,227.5,150,111.75,111.75,35.94,17.09,20.87,5.49,W,30,9,15,0.6,3,6,0.5,5,6,0.833,1,4,5,4,3,1,2,1,26,6,48.0,3.0,1.0
2019-01-08,Montrezl Harrell,7600,LAC,PF,CHA,,26.0,59.08,26,231.0,-250,118.75,0.5,49.52,25.63,32.77,4.31,W,30,9,13,0.6920000000000001,0,1,0.0,5,7,0.7140000000000001,3,8,11,5,2,0,1,4,23,22,48.7,4.0,1.0
2019-01-08,Domantas Sabonis,7100,IND,PF,@ CLE,,30.0,50.13,4,208.0,-450,108.75,-0.5,53.77,27.24,35.94,5.06,W,34,7,13,0.5379999999999999,0,1,0.0,1,2,0.5,2,7,9,4,3,0,0,1,15,11,40.8,4.0,1.0
2019-01-08,Kyle O'Quinn,3500,IND,C,@ CLE,,17.0,49.84,5,208.0,-450,108.75,-0.5,39.01,19.76,23.39,6.68,W,14,1,5,0.2,0,2,0.0,0,0,,1,1,2,2,0,0,2,4,2,-3,5.4,5.0,1.0
