"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1602218047","30202-222517635","$250 NBA Small Swat","30202-9673","30202-49675","30202-9714","30202-15846","30202-16233","30202-9577","30202-9688","30202-42661","30202-14516","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1602218049","30202-222517635","$250 NBA Small Swat","30202-20848","30202-49675","30202-15595","30202-15846","30202-9577","30202-58084","30202-9688","30202-42661","30202-14516","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"1602218051","30202-222517635","$250 NBA Small Swat","30202-9673","30202-15843","30202-9714","30202-15846","30202-16233","30202-9577","30202-9688","30202-66048","30202-14516","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"1602218054","30202-222517635","$250 NBA Small Swat","30202-20848","30202-49675","30202-15595","30202-15846","30202-9577","30202-58084","30202-9688","30202-42661","30202-14516","","4) You can not use this form to create new entries"
"1602218058","30202-222517635","$250 NBA Small Swat","30202-20848","30202-15843","30202-9714","30202-15595","30202-9577","30202-58084","30202-9688","30202-42661","30202-14516",""
"1602218061","30202-222517635","$250 NBA Small Swat","30202-20848","30202-49675","30202-15595","30202-15846","30202-9577","30202-58084","30202-9688","30202-42661","30202-14516","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"1602218064","30202-222517635","$250 NBA Small Swat","30202-49675","30202-15843","30202-15595","30202-15846","30202-9646","30202-58084","30202-9688","30202-42661","30202-14516","","30202-9488:LeBron James","30202-9488","SF","LeBron","LeBron James","James","50.8","15","12100","LAL@MIA","LAL","MIA","","","","",""
"1602218065","30202-222517635","$250 NBA Small Swat","30202-20848","30202-49675","30202-15595","30202-15846","30202-16233","30202-9577","30202-66048","30202-42661","30202-14516","","30202-9646:Kevin Durant","30202-9646","SF","Kevin","Kevin Durant","Durant","47.017646340762866","17","11500","GS@SA","GS","SA","","","","",""
"","","","","","","","","","","","","","30202-12332:John Wall","30202-12332","PG","John","John Wall","Wall","42.9","15","9800","POR@WAS","WAS","POR","","","","",""
"","","","","","","","","","","","","","30202-9524:Stephen Curry","30202-9524","PG","Stephen","Stephen Curry","Curry","45.625","12","9700","GS@SA","GS","SA","O","Groin","","",""
"","","","","","","","","","","","","","30202-20848:Damian Lillard","30202-20848","PG","Damian","Damian Lillard","Lillard","41.85333251953125","15","9400","POR@WAS","POR","WAS","","","","",""
"","","","","","","","","","","","","","30202-9714:DeMar DeRozan","30202-9714","SG","DeMar","DeMar DeRozan","DeRozan","44.32856968470982","14","9200","GS@SA","SA","GS","","","","",""
"","","","","","","","","","","","","","30202-12363:Hassan Whiteside","30202-12363","C","Hassan","Hassan Whiteside","Whiteside","41.307141985212056","14","8900","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-14514:Nikola Vucevic","30202-14514","C","Nikola","Nikola Vucevic","Vucevic","42.42499923706055","16","8700","NY@ORL","ORL","NY","","","","",""
"","","","","","","","","","","","","","30202-15595:Bradley Beal","30202-15595","SG","Bradley","Bradley Beal","Beal","37.233333333333334","15","8400","POR@WAS","WAS","POR","","","","",""
"","","","","","","","","","","","","","30202-41594:Aaron Gordon","30202-41594","PF","Aaron","Aaron Gordon","Gordon","33.78666585286458","15","8200","NY@ORL","ORL","NY","","","","",""
"","","","","","","","","","","","","","30202-9688:LaMarcus Aldridge","30202-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","36.949999128069194","14","8100","GS@SA","SA","GS","","","","",""
"","","","","","","","","","","","","","30202-55057:Jusuf Nurkic","30202-55057","C","Jusuf","Jusuf Nurkic","Nurkic","34.413334147135416","15","7600","POR@WAS","POR","WAS","","","","",""
"","","","","","","","","","","","","","30202-16233:Josh Richardson","30202-16233","SF","Josh","Josh Richardson","Richardson","33.140000406901045","15","7500","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-14509:Klay Thompson","30202-14509","SG","Klay","Klay Thompson","Thompson","31.511765423943014","17","7500","GS@SA","GS","SA","","","","",""
"","","","","","","","","","","","","","30202-9660:Dwight Howard","30202-9660","C","Dwight","Dwight Howard","Howard","29.375","8","7400","POR@WAS","WAS","POR","","","","",""
"","","","","","","","","","","","","","30202-15846:Tim Hardaway Jr.","30202-15846","SG","Tim","Tim Hardaway Jr.","Hardaway Jr.","33.413334147135416","15","7400","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-15860:Draymond Green","30202-15860","PF","Draymond","Draymond Green","Green","31.353846623347355","13","7100","GS@SA","GS","SA","O","Toe","","",""
"","","","","","","","","","","","","","30202-19067:CJ McCollum","30202-19067","SG","CJ","CJ McCollum","McCollum","30.133333333333333","15","6600","POR@WAS","POR","WAS","","","","",""
"","","","","","","","","","","","","","30202-9739:JaVale McGee","30202-9739","C","JaVale","JaVale McGee","McGee","32.91999918619792","15","6500","LAL@MIA","LAL","MIA","","","","",""
"","","","","","","","","","","","","","30202-23096:Evan Fournier","30202-23096","SG","Evan","Evan Fournier","Fournier","27.887500762939453","16","6400","NY@ORL","ORL","NY","","","","",""
"","","","","","","","","","","","","","30202-58377:Kyle Kuzma","30202-58377","PF","Kyle","Kyle Kuzma","Kuzma","27.1","15","6300","LAL@MIA","LAL","MIA","","","","",""
"","","","","","","","","","","","","","30202-9673:Goran Dragic","30202-9673","PG","Goran","Goran Dragic","Dragic","27.583333333333332","12","6200","LAL@MIA","MIA","LAL","O","Knee","","",""
"","","","","","","","","","","","","","30202-66048:Brandon Ingram","30202-66048","PF","Brandon","Brandon Ingram","Ingram","26.3545448996804","11","6100","LAL@MIA","LAL","MIA","","","","",""
"","","","","","","","","","","","","","30202-14516:Enes Kanter","30202-14516","C","Enes","Enes Kanter","Kanter","31.71875","16","5900","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-15582:Quinn Cook","30202-15582","PG","Quinn","Quinn Cook","Cook","15.314285278320312","14","5900","GS@SA","GS","SA","","","","",""
"","","","","","","","","","","","","","30202-80806:Lonzo Ball","30202-80806","PG","Lonzo","Lonzo Ball","Ball","23.54000040690104","15","5800","LAL@MIA","LAL","MIA","","","","",""
"","","","","","","","","","","","","","30202-9577:Rudy Gay","30202-9577","SF","Rudy","Rudy Gay","Gay","28.360000610351562","10","5700","GS@SA","SA","GS","","","","",""
"","","","","","","","","","","","","","30202-15628:Otto Porter Jr.","30202-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","23.778570992606028","14","5600","POR@WAS","WAS","POR","GTD","Lower leg","","",""
"","","","","","","","","","","","","","30202-9966:James Johnson","30202-9966","PF","James","James Johnson","Johnson","25.446575008026542","73","5600","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-49675:Derrick White","30202-49675","PG","Derrick","Derrick White","White","17.039999389648436","5","5500","GS@SA","SA","GS","","","","",""
"","","","","","","","","","","","","","30202-12342:Al-Farouq Aminu","30202-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","23.413334147135416","15","5400","POR@WAS","POR","WAS","","","","",""
"","","","","","","","","","","","","","30202-58084:Justise Winslow","30202-58084","SF","Justise","Justise Winslow","Winslow","24.009091463955965","11","5300","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-9585:Dwyane Wade","30202-9585","SG","Dwyane","Dwyane Wade","Wade","23.466666327582466","9","5200","LAL@MIA","MIA","LAL","O","Personal","","",""
"","","","","","","","","","","","","","30202-16405:Terrence Ross","30202-16405","SG","Terrence","Terrence Ross","Ross","23.225000381469727","16","5100","NY@ORL","ORL","NY","","","","",""
"","","","","","","","","","","","","","30202-16220:Dion Waiters","30202-16220","SG","Dion","Dion Waiters","Waiters","23.89666748046875","30","4900","LAL@MIA","MIA","LAL","O","Ankle","","",""
"","","","","","","","","","","","","","30202-84674:Kevin Knox","30202-84674","PF","Kevin","Kevin Knox","Knox","14.38888888888889","9","4900","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-9455:Rajon Rondo","30202-9455","PG","Rajon","Rajon Rondo","Rondo","24.863636363636363","11","4900","LAL@MIA","LAL","MIA","O","Hand","","",""
"","","","","","","","","","","","","","30202-15744:Rodney McGruder","30202-15744","SG","Rodney","Rodney McGruder","McGruder","25.706667073567708","15","4800","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-80811:Jonathan Isaac","30202-80811","SF","Jonathan","Jonathan Isaac","Isaac","19.65","10","4800","NY@ORL","ORL","NY","","","","",""
"","","","","","","","","","","","","","30202-9570:Pau Gasol","30202-9570","C","Pau","Pau Gasol","Gasol","21.666666666666668","9","4700","GS@SA","SA","GS","O","Foot","","",""
"","","","","","","","","","","","","","30202-18600:Tyler Johnson","30202-18600","PG","Tyler","Tyler Johnson","Johnson","21.713334147135416","15","4700","LAL@MIA","MIA","LAL","","","","",""
"","","","","","","","","","","","","","30202-14511:Markieff Morris","30202-14511","PF","Markieff","Markieff Morris","Morris","20.67142813546317","14","4700","POR@WAS","WAS","POR","","","","",""
"","","","","","","","","","","","","","30202-84827:Allonzo Trier","30202-84827","SG","Allonzo","Allonzo Trier","Trier","18.950000762939453","16","4600","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-63124:Emmanuel Mudiay","30202-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","19.344445122612846","9","4500","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-84709:Mitchell Robinson","30202-84709","C","Mitchell","Mitchell Robinson","Robinson","18.642857142857142","14","4500","NY@ORL","NY","ORL","","","","",""
"","","","","","","","","","","","","","30202-58153:Kelly Oubre Jr.","30202-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","21.573333740234375","15","4400","POR@WAS","WAS","POR","","","","",""
"","","","","","","","","","","","","","30202-40562:Josh Hart","30202-40562","SG","Josh","Josh Hart","Hart","22.780000813802083","15","4400","LAL@MIA","LAL","MIA","","","","",""
