,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15
0,34166-9644,SG,James,James Harden,Harden,58.51466796875,75,12400,HOU@LAC,HOU,LAC,,,,,
1,34166-49111,C,Joel,Joel Embiid,Embiid,52.97619047619048,63,11600,PHI@ATL,PHI,ATL,O,Rest,,,
2,34166-58460,SG,Devin,Devin Booker,Booker,41.285714285714285,63,11000,UTA@PHO,PHO,UTA,,,,,
3,34166-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,48.48666666666666,75,10800,MIN@DAL,MIN,DAL,,,,,
4,34166-15557,C,Andre,Andre Drummond,Drummond,45.98918852934966,74,10800,IND@DET,DET,IND,,,,,
5,34166-40203,C,Rudy,Rudy Gobert,Gobert,41.849349381087656,77,10500,UTA@PHO,UTA,PHO,,,,,
6,34166-55062,C,Nikola,Nikola Jokic,Jokic,46.76233702820617,77,10500,SA@DEN,DEN,SA,,,,,
7,34166-20848,PG,Damian,Damian Lillard,Lillard,43.74935001521916,77,10200,MEM@POR,POR,MEM,,,,,
8,34166-66115,PG,Ben,Ben Simmons,Simmons,42.415584415584405,77,9800,PHI@ATL,PHI,ATL,,,,,
9,34166-15595,SG,Bradley,Bradley Beal,Beal,43.988608831091774,79,9600,CHI@WAS,WAS,CHI,,,,,
10,34166-66113,SG,Donovan,Donovan Mitchell,Mitchell,37.233784443623314,74,9600,UTA@PHO,UTA,PHO,,,,,
11,34166-14514,C,Nikola,Nikola Vucevic,Vucevic,44.856410882411865,78,9500,NY@ORL,ORL,NY,,,,,
12,34166-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,39.18846091245994,78,9500,SA@DEN,SA,DEN,,,,,
13,34166-14498,PG,Kyrie,Kyrie Irving,Irving,44.13846153846154,65,9400,BOS@MIA,BOS,MIA,,,,,
14,34166-84669,SG,Luka,Luka Doncic,Doncic,39.852112676056336,71,9400,MIN@DAL,DAL,MIN,,,,,
15,34166-58312,SG,D'Angelo,D'Angelo Russell,Russell,37.016667292668274,78,9300,TOR@BKN,BKN,TOR,,,,,
16,34166-84709,C,Mitchell,Mitchell Robinson,Robinson,24.491803278688533,61,9200,NY@ORL,NY,ORL,,,,,
