"Frank Mason",3500,SAC,SG,UTA,17.02706,8.37148,9.47
"Willie Cauley-Stein",7300,SAC,C,UTA,54.13289,18.98468,33.19
"Bogdan Bogdanovic",4800,SAC,SG,UTA,48.56689,21.80713,25.93
"Marvin Bagley III",5600,SAC,PF,UTA,26.04114,3.94761,21.81
"Jeremy Lamb",6200,CHA,SG,ATL,48.87066,18.30327,30.97
"Kemba Walker",9400,CHA,PG,ATL,74.30824,23.13592,47.12
"Richaun Holmes",3500,PHO,PF,DET,34.86256,13.20208,17.44
"Josh Jackson",3700,PHO,PF,DET,28.76055,10.95885,17.15
"Jamal Crawford",3500,PHO,SG,DET,32.54372,16.28,16.28
"Isaiah Canaan",3600,PHO,PG,DET,32.72128,13.78666,17.63
"Deandre Ayton",6800,PHO,C,DET,44.95905,12.0152,32.65
"Mikal Bridges",4300,PHO,SF,DET,27.01674,7.22016,19.62
"Trevor Ariza",4800,PHO,SF,DET,54.3699,17.2341,35.1
"TJ Warren",7000,PHO,SF,DET,53.31192,20.2362,34.89
"Reggie Jackson",5300,DET,PG,PHO,53.42922,17.26812,31.86
"Reggie Bullock",4700,DET,SG,PHO,36.38556,13.10109,19.07
"Stanley Johnson",4300,DET,SF,PHO,36.40812,14.12964,18.69
"Jose Calderon",3500,DET,PG,PHO,5.27736,2.22288,2.64
"Zaza Pachulia",3500,DET,C,PHO,10.5629,4.6428,5.3
"Langston Galloway",4100,DET,SG,PHO,32.66366,14.23214,16.34
"Ish Smith",4000,DET,PG,PHO,36.54669,13.74219,19.83
"Glenn Robinson",3500,DET,SF,PHO,29.40264,10.96284,16.84
"Blake Griffin",9200,DET,PF,PHO,72.0018,21.83584,47.06
"Andre Drummond",10000,DET,C,PHO,73.2528,23.29846,50.87
"Devin Booker",7900,PHO,SG,DET,85.7231,27.7762,47.89
"Lance Stephenson",3900,LAL,SF,ORL,34.09168,13.61276,17.08
"Jonathan Isaac",5000,ORL,SF,LAL,29.29446,13.61295,15.21
"Jonathon Simmons",3700,ORL,SF,LAL,19.76576,9.02254,11.03
"Jerian Grant",3500,ORL,PG,LAL,25.51788,11.55006,13.14
"Terrence Ross",4000,ORL,SG,LAL,33.30609,15.60137,18.29
"Nikola Vucevic",9000,ORL,C,LAL,74.41182,23.93022,48.54
"Evan Fournier",6500,ORL,SG,LAL,53.34315,18.87256,35.21
"Wesley Iwundu",3500,ORL,SF,LAL,31.2984,10.96272,16.56
"Aaron Gordon",7600,ORL,PF,LAL,62.29419,22.59651,41.01
"Mohamed Bamba",3600,ORL,C,LAL,13.4568,2.6352,10.8
"Isaiah Briscoe",3500,ORL,PG,LAL,2.41724,0.47336,1.94
"Josh Hart",4400,LAL,SG,ORL,23.78439,9.50418,11.97
"Kentavious Caldwell-Pope",3900,LAL,SG,ORL,34.96251,17.49,17.49
"Tyson Chandler",4200,LAL,C,ORL,31.80409,15.91,15.91
"JaVale McGee",6400,LAL,C,ORL,47.58558,17.69355,28.77
"Kyle Kuzma",5500,LAL,PF,ORL,43.04216,15.89336,28.28
"Lonzo Ball",5600,LAL,PG,ORL,48.46836,15.64995,30.99
"Brandon Ingram",6500,LAL,PF,ORL,60.27252,20.93784,33.88
"LeBron James",11300,LAL,SF,ORL,78.2488,23.079,54.95
"Jon Leuer",3500,DET,PF,PHO,17.04944,7.7292,9.04
"Josh Richardson",7700,MIA,SF,TOR,59.2365,20.74136,34.34
"Landry Shamet",3600,PHI,PG,BKN,16.69356,2.5974,14.04
"T.J. McConnell",3500,PHI,PG,BKN,22.3491,9.98955,11.85
"Amir Johnson",3500,PHI,PF,BKN,25.55287,10.59072,13.79
"Mike Muscala",3900,PHI,C,BKN,39.94002,19.98,19.98
"Joel Embiid",11700,PHI,C,BKN,74.66448,22.10736,52.14
"J.J. Redick",5400,PHI,SG,BKN,41.0484,16.18554,25.98
"Jimmy Butler",8500,PHI,SG,BKN,70.05874,24.65854,44.51
"Wilson Chandler",3900,PHI,SF,BKN,42.0288,16.97868,23.88
"D'Angelo Russell",7400,BKN,SG,PHI,49.02912,15.2064,30.72
"Allen Crabbe",4800,BKN,SG,PHI,44.78343,15.70887,23.91
"Ed Davis",4300,BKN,PF,PHI,38.36081,14.33493,19.19
"DeMarre Carroll",3600,BKN,SF,PHI,39.90004,15.40912,19.96
"Shabazz Napier",3500,BKN,PG,PHI,21.90904,8.91048,10.96
"Rondae Hollis-Jefferson",5600,BKN,PF,PHI,52.71363,20.46312,26.37
"Spencer Dinwiddie",6600,BKN,PG,PHI,56.89764,21.50706,30.99
"Joe Harris",4600,BKN,SF,PHI,38.43315,14.96988,22.41
"Jared Dudley",3500,BKN,SF,PHI,28.4401,11.2057,16.7
"Jarrett Allen",6800,BKN,C,PHI,46.19456,17.28736,28.48
"Ben Simmons",9900,PHI,PG,BKN,67.04074,18.24472,43.03
"C.J. Miles",3500,TOR,SF,MIA,24.78735,10.33767,12.81
"Justise Winslow",5000,MIA,SF,TOR,42.59836,17.97922,23.38
"Derrick Jones",3500,MIA,SF,TOR,12.75362,6.38,6.38
"Bam Adebayo",3900,MIA,C,TOR,24.31824,12.30528,13.92
"Dwyane Wade",5100,MIA,SG,TOR,44.38798,17.52296,26.39
"Hassan Whiteside",8800,MIA,C,TOR,65.18232,20.90835,43.11
"Wayne Ellington",4200,MIA,SG,TOR,38.18735,15.01082,22.01
"Rodney McGruder",4900,MIA,SG,TOR,41.67494,15.16268,22.43
"James Johnson",4700,MIA,PF,TOR,42.15321,14.46192,27.39
"Kelly Olynyk",3500,MIA,PF,TOR,20.9083,8.9964,11.9
"Kyle Lowry",8600,TOR,PG,MIA,69.33047,22.84612,41.69
"Fred VanVleet",4500,TOR,PG,MIA,41.85389,17.90204,22.49
"Delon Wright",4100,TOR,PG,MIA,28.34582,12.16644,14.18
"OG Anunoby",4100,TOR,SF,MIA,25.72713,12.87,12.87
"Serge Ibaka",7100,TOR,PF,MIA,55.04664,24.38848,28.76
"Jonas Valanciunas",5700,TOR,C,MIA,39.19746,15.45633,25.89
"Danny Green",4600,TOR,SG,MIA,39.1932,15.86064,22.92
"Kawhi Leonard",9700,TOR,SF,MIA,80.29341,22.62411,49.29
"Pascal Siakam",7500,TOR,PF,MIA,43.4499,14.6016,25.35
"D.J. Augustin",4500,ORL,PG,LAL,49.98844,14.01033,26.09
