Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-12,Tyus Jones,3800,MIN,PG,@ DEN,,36.0,19.7,10,229.0,400,109.75,109.75,54.96,7.67,31.55,8.3,L,27,7,10,0.7,2,3,0.667,0,0,,1,1,2,3,2,0,1,1,16,-16,27.9,1.0,1.0
2019-03-12,Ryan Arcidiacono,3500,CHI,PG,LAL,,31.0,17.59,1,225.5,110,111.75,-1,48.26,8.21,24.14,6.9,L,32,5,8,0.625,2,3,0.667,2,2,1.0,0,4,4,6,2,0,1,2,14,-3,32.8,1.0,1.0
2019-03-12,Khris Middleton,7100,MIL,SG,@ NOP,,32.0,30.05,29,236.5,-600,123.5, ,53.16,10.09,35.02,4.93,W,30,9,18,0.5,2,6,0.333,3,3,1.0,0,5,5,7,0,0,2,1,23,20,37.5,2.0,1.0
2019-03-12,Jordan Clarkson,5200,CLE,SG,@ PHI,,31.0,24.9,9,223.5,900,104.25,104.25,58.55,10.19,29.29,5.63,L,30,5,20,0.25,0,8,0.0,3,4,0.75,1,4,5,2,0,0,0,1,13,1,22.0,2.0,1.0
2019-03-12,Cedi Osman,5800,CLE,SF,@ PHI,,35.0,25.23,14,223.5,900,104.25,104.25,50.6,15.74,32.92,5.68,L,36,7,19,0.368,4,9,0.444,0,0,,1,7,8,4,2,0,2,1,18,-10,37.6,3.0,1.0
2019-03-12,Giannis Antetokounmpo,12000,MIL,SF,@ NOP,,34.0,34.78,27,236.5,-600,123.5, ,81.31,33.34,58.08,4.84,W,26,7,13,0.5379999999999999,0,4,0.0,10,10,1.0,2,7,9,5,0,0,6,4,24,17,36.3,3.0,1.0
2019-03-12,Lauri Markkanen,8300,CHI,PF,LAL,,35.0,28.07,5,225.5,110,111.75,-1,74.81,21.07,42.48,5.12,L,35,4,17,0.235,0,8,0.0,3,3,1.0,3,2,5,0,0,0,2,4,11,1,15.0,4.0,1.0
2019-03-12,JaMychal Green,3700,LAC,PF,POR,,25.0,28.76,11,232.0,120,114.75,0.25,46.24,4.65,23.47,6.34,L,32,4,8,0.5,1,2,0.5,0,0,,3,8,11,0,1,0,1,4,9,-21,24.2,4.0,1.0
2019-03-12,Joel Embiid,10300,PHI,C,CLE,,31.0,25.76,3,223.5,-1400,119.25,119.25,77.55,33.07,48.56,4.71,W,34,6,16,0.375,1,3,0.333,4,4,1.0,3,16,19,5,1,4,6,2,17,9,56.3,5.0,1.0
