"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1563170088","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1563170076","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","29270-9556:Eric Gordon","29270-9556","SG","Eric","Eric Gordon","Gordon","21.399999618530273","2","5700","HOU@LAC","HOU","LAC","","","","",""
"","","","","","","","","","","","","","29270-9703:George Hill","29270-9703","PG","George","George Hill","Hill","18.549999237060547","2","5600","ATL@CLE","CLE","ATL","","","","",""
"","","","","","","","","","","","","","29270-15814:Alex Len","29270-15814","C","Alex","Alex Len","Len","14.800000190734863","2","5400","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-16301:Dewayne Dedmon","29270-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.60967820690524","62","5300","ATL@CLE","ATL","CLE","O","Ankle","","",""
"","","","","","","","","","","","","","29270-12368:Nemanja Bjelica","29270-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","20.149999618530273","2","5200","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-14559:Isaiah Thomas","29270-14559","PG","Isaiah","Isaiah Thomas","Thomas","23.590625762939453","32","5200","GS@DEN","DEN","GS","O","Hip","","",""
"","","","","","","","","","","","","","29270-12474:Patrick Beverley","29270-12474","PG","Patrick","Patrick Beverley","Beverley","17.049999237060547","2","5100","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-15904:Rodney Hood","29270-15904","SG","Rodney","Rodney Hood","Hood","17.549999237060547","2","4900","ATL@CLE","CLE","ATL","","","","",""
"","","","","","","","","","","","","","29270-23407:PJ Tucker","29270-23407","PF","PJ","PJ Tucker","Tucker","24.600000381469727","2","4900","HOU@LAC","HOU","LAC","","","","",""
"","","","","","","","","","","","","","29270-23831:Jerami Grant","29270-23831","PF","Jerami","Jerami Grant","Grant","20.5","2","4800","SAC@OKC","OKC","SAC","","","","",""
"","","","","","","","","","","","","","29270-9508:Carmelo Anthony","29270-9508","SF","Carmelo","Carmelo Anthony","Anthony","18.149999618530273","2","4800","HOU@LAC","HOU","LAC","","","","",""
"","","","","","","","","","","","","","29270-9579:Zach Randolph","29270-9579","PF","Zach","Zach Randolph","Randolph","26.506780074814618","59","4800","SAC@OKC","SAC","OKC","GTD","Coach's decision","","",""
