entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
1563170088,29270-221281711,NBA Beginner Mini Swat (Top 60 Win),29270-9524,29270-12474,29270-24544,29270-9556,29270-23572,29270-9637,29270-9874,29270-23831,29270-55059,,1) Edit your lineup by inserting any player from this list into their appropriate position columns
1563170076,29270-221281711,NBA Beginner Mini Swat (Top 60 Win),29270-84671,29270-66108,29270-14509,29270-9556,29270-12341,29270-23572,29270-9874,29270-23831,29270-55059,,2) You can paste either the Player ID + Name OR ID from their respective columns
