entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
1609356966,30436-222834775,$250 NBA Small Swat,30436-9475,30436-42677,30436-16261,30436-9556,30436-9646,30436-14522,30436-9688,30436-58461,30436-42669,,1) Edit your lineup by inserting any player from this list into their appropriate position columns
1609356970,30436-222834775,$250 NBA Small Swat,30436-66108,30436-42677,30436-16261,30436-23670,30436-9646,30436-14522,30436-9688,30436-23407,30436-42669,,2) You can paste either the Player ID + Name OR ID from their respective columns
1609356973,30436-222834775,$250 NBA Small Swat,30436-9475,30436-9495,30436-16261,30436-66114,30436-9646,30436-14522,30436-9688,30436-23407,30436-42669,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited
1609356977,30436-222834775,$250 NBA Small Swat,30436-9475,30436-42677,30436-15595,30436-66114,30436-9646,30436-14522,30436-9688,30436-23407,30436-42669,,4) You can not use this form to create new entries
1609356980,30436-222834775,$250 NBA Small Swat,30436-9475,30436-42677,30436-15595,30436-66114,30436-9646,30436-14522,30436-9688,30436-23407,30436-42669,
1609356984,30436-222834775,$250 NBA Small Swat,30436-9475,30436-9495,30436-15595,30436-16261,30436-14522,30436-15904,30436-9688,30436-23831,30436-42669,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
1609356988,30436-222834775,$250 NBA Small Swat,30436-9475,30436-42677,30436-15595,30436-9556,30436-9646,30436-15904,30436-9688,30436-23831,30436-42669,,30436-15755:Anthony Davis,30436-15755,PF,Anthony,Anthony Davis,Davis,59.775001525878906,16,12600,NO@WAS,NO,WAS,O,Hip,,,
1609356991,30436-222834775,$250 NBA Small Swat,30436-9475,30436-9495,30436-15595,30436-16261,30436-9646,30436-14522,30436-23407,30436-58461,30436-42669,,30436-40199:Giannis Antetokounmpo,30436-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,53.864706600413605,17,12300,SA@MIL,MIL,SA,,,,,
1609358253,30436-222813980,Satellite to NBA CLUTCH Shot on 12/20 (100 Tickets),30436-9475,30436-42677,30436-15595,30436-66114,30436-9646,30436-14522,30436-9688,30436-23407,30436-42669,,30436-9644:James Harden,30436-9644,SG,James,James Harden,Harden,50.278573172433035,14,11700,HOU@CLE,HOU,CLE,,,,,
1609358254,30436-222813980,Satellite to NBA CLUTCH Shot on 12/20 (100 Tickets),30436-9475,30436-42677,30436-9556,30436-66114,30436-9646,30436-14522,30436-9688,30436-23407,30436-58462,,30436-9642:Russell Westbrook,30436-9642,PG,Russell,Russell Westbrook,Westbrook,51.779998779296875,10,11300,DEN@OKC,OKC,DEN,,,,,
