Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-02-06,Kemba Walker,9300,CHA,PG,@ DAL,,35.0, , ,215.5,200,105.0,-1,76.92,19.01,42.15,4.53,L,37,10,22,0.455,4,11,0.364,6,6,1.0,2,9,11,6,2,0,4,2,30,0,54.2,1.0,1.0
2019-02-06,Eric Bledsoe,7500,MIL,PG,WAS,,31.0, , ,229.5,-700,120.5,-0.25,66.95,14.4,33.49,4.47,W,27,8,16,0.5,4,5,0.8,2,2,1.0,3,3,6,11,2,0,1,3,22,10,50.7,1.0,1.0
2019-02-06,Jrue Holiday,9400,NOP,SG,@ CHI,,37.0, , ,227.0,-111,114.0,3,73.65,21.97,45.86,4.88,W,33,6,19,0.316,3,13,0.231,3,4,0.75,1,5,6,11,0,1,1,2,18,3,43.7,2.0,1.0
2019-02-06,Bogdan Bogdanovic,5400,SAC,SG,HOU,,34.0, , ,235.5,150,115.75,0.5,67.63,11.87,34.4,6.37,L,32,6,15,0.4,1,6,0.16699999999999998,0,0,,1,3,4,3,3,1,0,4,13,-22,34.3,2.0,1.0
2019-02-06,Davis Bertans,4300,SAS,SF,@ GSW,,32.0, , ,232.0,900,108.75,1.25,50.91,8.3,25.47,5.92,L,23,3,7,0.429,2,5,0.4,4,4,1.0,0,2,2,2,0,2,1,1,12,-16,22.4,3.0,1.0
2019-02-06,Kelly Oubre,6800,PHO,SF,@ UTA,,32.0, , ,216.5,900,100.75,100.75,56.39,8.99,30.48,4.48,L,32,5,10,0.5,0,3,0.0,6,7,0.857,0,4,4,3,1,1,3,3,16,-31,28.3,3.0,1.0
2019-02-06,Lauri Markkanen,7800,CHI,PF,NOP,,34.0, , ,227.0,-105,113.0,0.5,64.19,18.08,36.45,4.67,L,41,10,19,0.526,5,10,0.5,5,5,1.0,2,8,10,2,0,0,2,3,30,6,43.0,4.0,1.0
2019-02-06,Marvin Williams,5500,CHA,PF,@ DAL,,32.0, , ,215.5,200,105.0,-1,53.99,6.43,27.01,4.91,L,26,2,7,0.28600000000000003,1,5,0.2,0,0,,0,5,5,1,1,0,0,4,5,6,15.5,4.0,1.0
2019-02-06,Jakob Poeltl,3500,SAS,C,@ GSW,,24.0, , ,232.0,900,108.75,1.25,51.31,5.34,25.67,7.33,L,20,3,4,0.75,0,0,,1,1,1.0,2,1,3,6,2,0,1,4,7,-2,24.6,5.0,1.0
