Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-02-26,Emmanuel Mudiay,5500,NYK,PG,ORL,,23.0,18.96,7,215.5,250,104.0,-0.5,45.42,6.5,22.72,4.13,W,32,8,18,0.444,0,3,0.0,3,5,0.6,1,7,8,3,0,0,2,3,19,23,31.1,1.0,1.0
2019-02-26,Kyle Lowry,8000,TOR,PG,BOS,,35.0,35.63,7,226.0,-160,115.0, ,60.57,17.04,34.91,4.36,W,35,2,6,0.333,1,4,0.25,2,4,0.5,2,4,6,11,1,0,3,3,7,18,30.700000000000006,1.0,1.0
2019-02-26,Jaylen Brown,4900,BOS,SG,@ TOR,,24.0,24.52,10,226.0,138,111.0, ,39.36,4.47,19.69,4.02,L,22,3,8,0.375,0,2,0.0,4,5,0.8,0,8,8,4,4,0,3,5,10,-13,34.6,2.0,1.0
2019-02-26,Terrence Ross,5800,ORL,SG,@ NYK,,28.0,20.31,13,215.5,-300,111.5,0.5,55.49,5.75,27.76,4.79,L,20,1,10,0.1,1,6,0.16699999999999998,0,0,,0,2,2,0,0,0,2,3,3,-11,3.4000000000000004,2.0,1.0
2019-02-26,Paul George,11600,OKC,SF,@ DEN,,38.0,31.67,19,238.0,138,117.25,0.5,82.4,25.17,52.22,4.5,L,40,7,24,0.292,3,14,0.214,8,8,1.0,1,7,8,7,6,0,3,3,25,-4,60.1,3.0,1.0
2019-02-26,Gary Harris,4800,DEN,SF,OKC,,23.0,27.83,24,238.0,-160,120.75,0.5,42.9,5.11,21.46,4.47,W,23,0,2,0.0,0,1,0.0,5,6,0.833,0,2,2,0,2,0,2,3,5,4,11.4,3.0,1.0
2019-02-26,Aaron Gordon,7000,ORL,PF,@ NYK,,32.0,32.11,23,215.5,-300,111.5,0.5,57.64,13.89,33.71,4.82,L,32,8,16,0.5,1,3,0.333,9,12,0.75,3,4,7,2,1,1,3,4,26,-8,40.4,4.0,1.0
2019-02-26,Jerami Grant,5800,OKC,PF,@ DEN,,34.0,31.67,19,238.0,138,117.25,0.5,51.13,3.38,25.58,4.41,L,34,9,12,0.75,2,3,0.667,1,1,1.0,1,4,5,3,0,2,0,4,21,-24,37.5,4.0,1.0
2019-02-26,Steven Adams,6600,OKC,C,@ DEN,,34.0,31.83,13,238.0,138,117.25,0.5,56.0,14.88,32.71,4.96,L,30,7,12,0.583,0,0,,1,2,0.5,4,1,5,2,1,1,3,5,15,-23,27.0,5.0,1.0
