Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Garrett Temple,3700,MEM,SG,@ NOP,,30.00,35.94,16,214.5,175,104.75,0.25,35.02,15.67,21.82,5.9
Shabazz Napier,3900,BKN,PG,@ BOS,,27.00,40.13,15,220,400,104.75,-0.25,41.77,18.77,23,5.9
Rodions Kurucs,4300,BKN,PF,@ BOS,,31.00,41.80,2,220,400,104.75,-0.25,29.33,9.22,25.05,5.83
Davis Bertans,3900,SAS,SF,@ DET,,30.00,52.98,10,214,-133,108.25,-0.5,35.26,17.36,21.67,5.56
Al Horford,6200,BOS,C,BKN,,30.00,58.15,24,220,-500,115.25,0.75,45.84,17.97,34.03,5.49
Marco Belinelli,3700,SAS,SG,@ DET,,24.00,37.27,20,214,-133,108.25,-0.5,29.32,14.17,20.18,5.45
Jakob Poeltl,3900,SAS,C,@ DET,,21.00,52.51,13,214,-133,108.25,-0.5,42.09,18.75,21.14,5.42
Evan Fournier,5500,ORL,SG,@ SAC,,31.00,40.78,30,221.5,163,108.5,-0.5,37.75,15.71,29.31,5.33
Ed Davis,4200,BKN,PF,@ BOS,,22.00,49.85,3,220,400,104.75,-0.25,37.42,16.47,22.26,5.3
Spencer Dinwiddie,5900,BKN,PG,@ BOS,,33.00,48.17,9,220,400,104.75,-0.25,47.40,21.67,30.92,5.24
Austin Rivers,4500,HOU,SG,DEN,,34.00,39.29,11,215.5,-111,108.25,-0.5,40.52,15.34,23.53,5.23
DeAndre Jordan,6800,DAL,C,LAL,,32.00,58.67,27,222.5,-300,115,115,44.16,21.23,35.5,5.22
Bryn Forbes,4500,SAS,PG,@ DET,,32.00,52.88,24,214,-133,108.25,-0.5,34.05,14.75,23.37,5.19
Gerald Green,3800,HOU,SF,DEN,,23.00,42.82,6,215.5,-111,108.25,-0.5,33.81,16.01,19.69,5.18
Damyean Dotson,3500,NYK,SG,@ POR,,22.00,38.23,20,222,500,105.5,0.5,31.22,15.26,18.12,5.18
JaMychal Green,4300,MEM,PF,@ NOP,,22.00,54.73,18,214.5,175,104.75,0.25,37.09,19.42,22.22,5.17
Dennis Smith Jr.,5100,DAL,PG,LAL,,29.00,51.81,22,222.5,-300,115,115,35.20,14.67,26.11,5.12
Reggie Jackson,5400,DET,PG,SAS,,28.00,50.75,19,214,115,105.75,0.5,39.37,14.98,27.63,5.12
P.J. Tucker,4300,HOU,PF,DEN,,35.00,34.76,8,215.5,-111,108.25,-0.5,42.68,18.43,21.92,5.1
Aaron Gordon,7200,ORL,PF,@ SAC,,35.00,51.14,26,221.5,163,108.5,-0.5,46.85,20.00,36.29,5.04
D.J. Augustin,5000,ORL,PG,@ SAC,,29.00,44.93,27,221.5,163,108.5,-0.5,40.99,13.51,25.16,5.03
Harrison Barnes,5600,DAL,SF,LAL,,33.00,44.61,4,222.5,-300,115,115,35.67,16.26,28.09,5.02
Jonathan Isaac,4300,ORL,SF,@ SAC,,26.00,57.63,23,221.5,163,108.5,-0.5,34.04,16.54,21.53,5.01
Jayson Tatum,6000,BOS,PF,BKN,,31.00,47.31,11,220,-500,115.25,0.75,37.91,15.67,29.97,5
LaMarcus Aldridge,8600,SAS,PF,@ DET,,36.00,52.98,10,214,-133,108.25,-0.5,61.92,27.28,42.82,4.98
Patty Mills,3800,SAS,PG,@ DET,,21.00,42.92,23,214,-133,108.25,-0.5,29.05,14.73,18.84,4.96
DeMar DeRozan,8300,SAS,SG,@ DET,,36.00,42.30,3,214,-133,108.25,-0.5,55.55,19.91,41.06,4.95
Marc Gasol,7600,MEM,C,@ NOP,,34.00,54.73,18,214.5,175,104.75,0.25,50.42,21.50,37.4,4.92
Damian Lillard,9200,POR,PG,NYK,,34.00,50.43,18,222,-667,116.5, ,57.78,21.92,45.28,4.92
Danuel House,4800,HOU,SF,DEN,,30.00,48.39,10,215.5,-111,108.25,-0.5,38.35,14.26,23.5,4.9
Marcus Smart,4900,BOS,SG,BKN,,28.00,48.70,13,220,-500,115.25,0.75,34.19,13.37,23.84,4.87
Gordon Hayward,5700,BOS,SF,BKN,,28.00,47.31,11,220,-500,115.25,0.75,40.66,19.17,27.66,4.85
Terrence Ross,4600,ORL,SG,@ SAC,,24.00,40.78,30,221.5,163,108.5,-0.5,34.54,19.03,22.31,4.85
Al-Farouq Aminu,5800,POR,PF,NYK,,32.00,39.68,27,222,-667,116.5, ,43.16,20.95,28.08,4.84
Reggie Bullock,4700,DET,SG,SAS,,32.00,38.32,22,214,115,105.75,0.5,36.82,15.59,22.7,4.83
Trey Burke,4000,NYK,PG,@ POR,,20.00,48.04,8,222,500,105.5,0.5,33.16,16.75,19.27,4.82
Tim Hardaway Jr.,6300,NYK,SG,@ POR,,34.00,44.78,12,222,500,105.5,0.5,47.23,20.62,30.37,4.82
Nikola Vucevic,9700,ORL,C,@ SAC,,34.00,57.63,23,221.5,163,108.5,-0.5,60.94,23.06,46.77,4.82
Joe Ingles,5800,UTA,SF,@ MIL,,32.00,34.62,12,222,200,108.25,-0.25,42.74,18.60,27.88,4.81
Mike Conley,8100,MEM,PG,@ NOP,,34.00,49.24,30,214.5,175,104.75,0.25,57.82,23.36,38.99,4.81
Marcus Morris,5000,BOS,PF,BKN,,27.00,32.04,2,220,-500,115.25,0.75,32.20,12.66,24.03,4.81
Lonzo Ball,6900,LAL,PG,@ DAL,,35.00,41.27,17,222.5,260,107.5,107.5,44.45,17.17,33.15,4.8
Jaren Jackson,6900,MEM,PF,@ NOP,,32.00,54.73,18,214.5,175,104.75,0.25,34.15,6.84,33.03,4.79
Clint Capela,9000,HOU,C,DEN,,35.00,52.85,16,215.5,-111,108.25,-0.5,64.55,27.13,43.06,4.78
Jarrett Allen,6200,BKN,C,@ BOS,,28.00,49.85,3,220,400,104.75,-0.25,40.89,17.77,29.61,4.78
Wesley Matthews,5000,DAL,SG,LAL,,31.00,34.78,14,222.5,-300,115,115,35.19,14.66,23.92,4.78
Khris Middleton,7300,MIL,SG,UTA,,33.00,39.01,1,222,-225,113.75,0.25,56.39,24.94,34.79,4.77
Jared Dudley,3500,BKN,SF,@ BOS,,29.00,32.87,3,220,400,104.75,-0.25,24.39,11.59,16.68,4.77
Elfrid Payton,6000,NOP,PG,MEM,,28.00,38.99,10,214.5,-200,109.75,-0.25,39.43,14.87,28.43,4.74
James Harden,12900,HOU,SG,DEN,,39.00,48.39,10,215.5,-111,108.25,-0.5,71.87,22.01,60.96,4.73
Kyle Anderson,6600,MEM,SF,@ NOP,,34.00,41.65,29,214.5,175,104.75,0.25,43.02,15.87,31.24,4.73
Emmanuel Mudiay,6100,NYK,PG,@ POR,,32.00,40.84,16,222,500,105.5,0.5,38.85,17.93,28.78,4.72
Kyle Kuzma,7100,LAL,PF,@ DAL,,35.00,46.48,10,222.5,260,107.5,107.5,43.51,18.64,33.52,4.72
Kyrie Irving,9000,BOS,PG,BKN,,34.00,48.70,13,220,-500,115.25,0.75,58.00,22.63,42.37,4.71
Buddy Hield,7400,SAC,SG,ORL,,34.00,38.69,26,221.5,-188,113,-1.5,52.03,22.91,34.71,4.69
Eric Bledsoe,7000,MIL,PG,UTA,,31.00,47.44,6,222,-225,113.75,0.25,47.90,20.06,32.83,4.69
George Hill,3800,MIL,PG,UTA,,23.00,43.28,24,222,-225,113.75,0.25,30.70,16.00,17.84,4.69
Ricky Rubio,6400,UTA,PG,@ MIL,,32.00,41.67,19,222,200,108.25,-0.25,41.08,17.27,30.03,4.69
Dorian Finney-Smith,3600,DAL,SF,LAL,,22.00,38.27,21,222.5,-300,115,115,26.17,13.83,16.84,4.68
Bogdan Bogdanovic,6600,SAC,SG,ORL,,34.00,45.64,14,221.5,-188,113,-1.5,44.47,18.79,30.9,4.68
J.J. Barea,4500,DAL,PG,LAL,,19.00,51.81,22,222.5,-300,115,115,31.26,15.32,21.05,4.68
De'Aaron Fox,8100,SAC,PG,ORL,,34.00,48.70,12,221.5,-188,113,-1.5,46.76,19.36,37.89,4.68
Jrue Holiday,8700,NOP,SG,MEM,,36.00,46.21,3,214.5,-200,109.75,-0.25,54.59,18.93,40.53,4.66
Royce O'Neale,3500,UTA,SF,@ MIL,,20.00,38.56,24,222,200,108.25,-0.25,24.27,12.07,16.29,4.65
Anthony Davis,12500,NOP,PF,MEM,,37.00,51.21,6,214.5,-200,109.75,-0.25,84.22,30.32,58.08,4.65
Kyle Korver,3600,UTA,SG,@ MIL,,22.00,34.62,12,222,200,108.25,-0.25,29.50,13.27,16.74,4.65
Maurice Harkless,5100,POR,SF,NYK,,27.00,39.68,27,222,-667,116.5, ,37.23,15.88,23.73,4.65
Donovan Mitchell,7700,UTA,SG,@ MIL,,34.00,45.88,2,222,200,108.25,-0.25,47.08,19.79,35.72,4.64
Andre Drummond,9300,DET,C,SAS,,33.00,51.75,11,214,115,105.75,0.5,52.64,19.70,43.01,4.62
Brandon Ingram,6900,LAL,SF,@ DAL,,36.00,47.40,20,222.5,260,107.5,107.5,49.08,20.08,31.87,4.62
Jusuf Nurkic,9500,POR,C,NYK,,31.00,57.92,26,222,-667,116.5, ,56.98,23.74,43.8,4.61
Paul Millsap,6500,DEN,PF,@ HOU,,29.00,44.58,3,215.5,-105,107.25, ,49.96,25.43,29.88,4.6
Jae Crowder,4400,UTA,SF,@ MIL,,25.00,38.56,24,222,200,108.25,-0.25,34.07,15.55,20.22,4.6
Jonathon Simmons,3500,ORL,SF,@ SAC,,20.00,44.71,11,221.5,163,108.5,-0.5,24.41,13.11,16.03,4.58
C.J. McCollum,6800,POR,SG,NYK,,33.00,47.91,23,222,-667,116.5, ,41.31,17.93,31.08,4.57
Gary Harris,6200,DEN,SF,@ HOU,,32.00,45.73,15,215.5,-105,107.25, ,45.78,25.59,28.24,4.55
Willie Cauley-Stein,7500,SAC,C,ORL,,31.00,53.88,19,221.5,-188,113,-1.5,47.33,19.53,34.15,4.55
Jaylen Brown,4500,BOS,SG,BKN,,23.00,32.04,2,220,-500,115.25,0.75,38.68,16.97,20.42,4.54
Julius Randle,8500,NOP,C,MEM,,35.00,51.21,6,214.5,-200,109.75,-0.25,52.80,22.14,38.57,4.54
Luka Doncic,7700,DAL,SG,LAL,,32.00,48.69,26,222.5,-300,115,115,38.58,14.22,34.95,4.54
Luke Kennard,3600,DET,SG,SAS,,21.00,32.69,5,214,115,105.75,0.5,24.79,11.26,16.29,4.53
Blake Griffin,9600,DET,PF,SAS,,36.00,48.62,2,214,115,105.75,0.5,56.48,20.14,43.41,4.52
Brook Lopez,5500,MIL,C,UTA,,28.00,53.65,12,222,-225,113.75,0.25,37.24,16.39,24.68,4.49
Lance Stephenson,4200,LAL,SF,@ DAL,,20.00,47.40,20,222.5,260,107.5,107.5,32.34,14.99,18.79,4.47
Nikola Jokic,10400,DEN,C,@ HOU,,34.00,53.41,11,215.5,-105,107.25, ,61.06,18.50,46.26,4.45
Noah Vonleh,6100,NYK,PF,@ POR,,30.00,51.13,25,222,500,105.5,0.5,37.44,17.72,27.09,4.44
Meyers Leonard,3500,POR,PF,NYK,,14.00,60.66,29,222,-667,116.5, ,26.54,12.54,15.42,4.41
JaVale McGee,6500,LAL,C,@ DAL,,24.00,50.68,8,222.5,260,107.5,107.5,41.04,17.74,28.52,4.39
Jamal Murray,7700,DEN,PG,@ HOU,,35.00,47.51,7,215.5,-105,107.25, ,52.66,21.70,33.8,4.39
Giannis Antetokounmpo,12100,MIL,SF,UTA,,35.00,49.03,21,222,-225,113.75,0.25,63.00,23.24,52.94,4.38
