Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Kelly Olynyk,4600,MIA,PF,PHO,,31.00,34.69,27,216,-333,111.75,-0.25,46.53,9.87,29.21,6.35
Ryan Arcidiacono,4000,CHI,PG,MIL,,32.00,21.73,16,223.5,275,108,-2,50.71,7.61,25.37,6.34
Tyus Jones,4500,MIN,PG,SAC,,30.00,25.38,30,237.5,-167,120.5,120.5,48.45,7.43,27.81,6.18
Dirk Nowitzki,3500,DAL,PF,@ LAC,,20.00,35.91,29,230,130,113.25,4.25,35.38,3.68,21.51,6.15
Ersan Ilyasova,3800,MIL,PF,@ CHI,,26.00,32.25,24,223.5,-333,115.5,-2.5,38.57,7.82,22.81,6
Eric Bledsoe,6900,MIL,PG,@ CHI,,31.00,43.62,28,223.5,-333,115.5,-2.5,79.60,16.96,39.82,5.77
Miles Bridges,3700,CHA,SF,GSW,,28.00,30.46,15,233.5,290,112.5,-0.75,29.64,16.77,21.17,5.72
Bam Adebayo,4400,MIA,PF,PHO,,24.00,33.44,22,216,-333,111.75,-0.25,42.44,7.00,24.82,5.64
Dion Waiters,5500,MIA,SG,PHO,,36.00,23.84,5,216,-333,111.75,-0.25,46.22,12.47,30.27,5.5
Ivan Rabb,4600,MEM,PF,LAL,,24.00,34.36,26,222,190,108.25,-0.25,40.05,13.27,25.14,5.47
Kent Bazemore,5600,ATL,SG,@ HOU,,30.00,23.12,2,233.5,650,110.5,110.5,53.28,11.46,30.24,5.4
Shaquille Harrison,3600,CHI,PG,MIL,,23.00,21.73,16,223.5,275,108,-2,38.80,5.55,19.41,5.39
Josh Richardson,6400,MIA,SF,PHO,,37.00,23.84,5,216,-333,111.75,-0.25,55.29,13.86,34.49,5.39
Hassan Whiteside,7200,MIA,C,PHO,,27.00,33.44,22,216,-333,111.75,-0.25,54.35,17.00,38.82,5.39
Justin Holiday,3700,MEM,SG,LAL,,28.00,20.71,15,222,190,108.25,-0.25,35.07,11.07,19.88,5.37
Jonas Valanciunas,7600,MEM,C,LAL,,30.00,34.36,26,222,190,108.25,-0.25,68.59,17.21,40.68,5.35
Dwyane Wade,6000,MIA,SG,PHO,,28.00,23.84,5,216,-333,111.75,-0.25,50.42,9.43,31.85,5.31
Khris Middleton,7000,MIL,SG,@ CHI,,33.00,23.65,4,223.5,-333,115.5,-2.5,56.26,10.67,37.06,5.29
LaMarcus Aldridge,8000,SAS,PF,@ BKN,,33.00,36.41,30,233,105,115.75,1.25,62.14,22.34,42.16,5.27
Caris LeVert,5700,BKN,SG,SAS,,27.00,38.55,16,233,-118,117.25,0.75,47.52,12.97,29.96,5.26
Luka Doncic,9500,DAL,SG,@ LAC,,34.00,25.03,12,230,130,113.25,4.25,69.58,34.54,49.7,5.23
Timothe Luwawu-Cabarrot,3500,CHI,SG,MIL,,24.00,30.39,29,223.5,275,108,-2,36.50,4.93,18.26,5.22
Malcolm Brogdon,6200,MIL,SG,@ CHI,,31.00,43.62,28,223.5,-333,115.5,-2.5,61.33,11.35,32.33,5.21
Lauri Markkanen,8900,CHI,PF,MIL,,37.00,27.93,5,223.5,275,108,-2,81.53,22.96,46.3,5.2
Wayne Ellington,4200,DET,SG,IND,,32.00,25.63,16,212.5,-138,107.5, ,37.98,6.67,21.8,5.19
Marco Belinelli,3900,SAS,SG,@ BKN,,26.00,16.68,1,233,105,115.75,1.25,33.61,5.90,20.22,5.18
Derrick Rose,5500,MIN,PG,SAC,,28.00,37.01,11,237.5,-167,120.5,120.5,56.67,7.09,28.35,5.15
Zach LaVine,8000,CHI,SG,MIL,,35.00,35.51,7,223.5,275,108,-2,62.90,20.02,40.95,5.12
Wayne Selden,3600,CHI,SG,MIL,,28.00,35.51,7,223.5,275,108,-2,34.90,4.19,18.37,5.1
Darren Collison,6300,IND,PG,@ DET,,32.00,18.92,7,212.5,120,105, ,51.87,14.41,31.8,5.05
Goran Dragic,4200,MIA,PG,PHO,,22.00,23.87,25,216,-333,111.75,-0.25,35.23,8.89,21.12,5.03
Chris Paul,8400,HOU,PG,ATL,,32.00,42.53,26,233.5,-900,123,123,61.76,19.25,42.13,5.02
Dwight Powell,5400,DAL,C,@ LAC,,28.00,35.91,29,230,130,113.25,4.25,54.23,8.60,27.13,5.02
Kevin Love,7100,CLE,PF,POR,,27.00,28.35,9,224.5,360,107.5,0.75,54.07,15.12,35.5,5
Nicolas Batum,5300,CHA,SF,GSW,,33.00,24.60,12,233.5,290,112.5,-0.75,45.49,11.31,26.19,4.94
Brook Lopez,5700,MIL,C,@ CHI,,29.00,28.85,10,223.5,-333,115.5,-2.5,50.94,11.39,28.13,4.94
Bryn Forbes,3900,SAS,PG,@ BKN,,30.00,39.77,20,233,105,115.75,1.25,31.50,5.29,19.22,4.93
Avery Bradley,4300,MEM,SG,LAL,,32.00,20.71,15,222,190,108.25,-0.25,41.00,6.61,21.18,4.93
JaVale McGee,5500,LAL,C,@ MEM,,23.00,30.07,9,222,-225,113.75,0.75,46.62,13.36,27.09,4.93
Clint Capela,8000,HOU,C,ATL,,33.00,33.56,23,233.5,-900,123,123,70.49,16.74,39.29,4.91
DeAndre Bembry,3900,ATL,SF,@ HOU,,26.00,26.70,24,233.5,650,110.5,110.5,32.04,5.01,19.14,4.91
Blake Griffin,8800,DET,PF,IND,,35.00,30.96,15,212.5,-138,107.5, ,77.50,25.00,42.96,4.88
Josh Jackson,5200,PHO,PF,@ MIA,,26.00,23.23,3,216,275,104.25,0.75,47.23,11.38,25.35,4.88
Harrison Barnes,5500,SAC,SF,@ MIN,,35.00,30.96,17,237.5,145,117,117,42.61,10.48,26.8,4.87
Patty Mills,4900,SAS,PG,@ BKN,,27.00,24.15,28,233,105,115.75,1.25,47.70,6.63,23.86,4.87
Tony Snell,3500,MIL,SG,@ CHI,,25.00,29.02,27,223.5,-333,115.5,-2.5,34.06,4.74,17.04,4.87
De'Aaron Fox,7800,SAC,PG,@ MIN,,33.00,37.68,14,237.5,145,117,117,60.41,18.62,37.92,4.86
Landry Shamet,4200,LAC,PG,DAL,,31.00,18.80,3,230,-150,116.75,2.25,28.56,11.85,20.4,4.86
Reggie Jackson,5400,DET,PG,IND,,31.00,35.30,4,212.5,-138,107.5, ,39.78,14.37,26.22,4.86
Delon Wright,5300,MEM,SG,LAL,,28.00,16.77,1,222,190,108.25,-0.25,42.02,10.56,25.75,4.86
Mike Scott,3500,PHI,PF,@ NOP,,22.00,34.69,27,240.5,-125,121.25,3,33.96,3.19,16.99,4.85
Mike Conley,7600,MEM,PG,LAL,,32.00,16.77,1,222,190,108.25,-0.25,65.39,13.89,36.84,4.85
Ben Simmons,9000,PHI,PG,@ NOP,,35.00,24.73,29,240.5,-125,121.25,3,63.37,25.97,43.64,4.85
Marvin Williams,5500,CHA,PF,GSW,,31.00,30.46,15,233.5,290,112.5,-0.75,52.93,6.04,26.61,4.84
Allen Crabbe,4200,BKN,SG,SAS,,28.00,20.83,16,233,-118,117.25,0.75,40.64,5.81,20.33,4.84
Omari Spellman,3600,ATL,PF,@ HOU,,20.00,31.90,21,233.5,650,110.5,110.5,24.33,13.76,17.38,4.83
Draymond Green,6500,GSW,PF,@ CHA,,32.00,35.69,28,233.5,-350,121,0.25,46.40,13.55,31.37,4.83
