Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Mario Hezonja,3600,NYK,SF,CHI,,24.00,39.81,25,215,-140,108.75, ,51.93,21.94,26.66,7.41
Shai Gilgeous-Alexander,4100,LAC,PG,MIN,,30.00,46.36,15,228,-210,116.5,116.5,35.16,5.86,29.3,7.15
Bam Adebayo,3800,MIA,C,@ DET,,24.00,52.68,12,219.5,157,107.75,107.75,40.65,16.46,23.69,6.23
Kyle Anderson,4500,MEM,SF,@ GSW,,29.00,32.90,6,220.5,1041,103, ,45.83,14.57,27.91,6.2
Royce O'Neale,3500,UTA,SF,TOR,,28.00,41.06,24,217,110,107.5,107.5,42.42,18.40,21.22,6.06
Tristan Thompson,4900,CLE,C,@ ORL,,29.27,55.03,20,213,160,104.25, ,45.50,18.92,29.51,6.02
Kelly Olynyk,4800,MIA,PF,@ DET,,27.00,54.75,13,219.5,157,107.75,107.75,48.32,18.75,28.11,5.86
Patrick Beverley,4500,LAC,PG,MIN,,30.00,39.50,4,228,-210,116.5,116.5,44.37,17.26,26.04,5.79
Pascal Siakam,5500,TOR,PF,@ UTA,,33.00,52.30,11,217,-130,109.5,109.5,50.99,15.67,30.79,5.6
Ish Smith,4500,DET,PG,MIA,,28.00,38.64,3,219.5,-180,111.75,111.75,49.15,19.79,25.05,5.57
Allonzo Trier,3900,NYK,SG,CHI,,26.00,34.67,2,215,-140,108.75, ,25.07,4.18,20.89,5.36
Justise Winslow,5500,MIA,SF,@ DET,,30.00,34.97,11,219.5,157,107.75,107.75,56.24,23.68,29.2,5.31
Reggie Jackson,5800,DET,PG,MIA,,31.00,59.40,29,219.5,-180,111.75,111.75,48.23,14.08,30.47,5.25
Jabari Parker,6600,CHI,SF,@ NYK,,32.00,54.66,25,215,120,106.25, ,54.97,19.30,34.53,5.23
Ryan Arcidiacono,3700,CHI,PG,@ NYK,,24.00,43.31,7,215,120,106.25, ,38.16,16.82,19.09,5.16
Mitchell Robinson,4900,NYK,C,CHI,,25.00,51.85,9,215,-140,108.75, ,28.68,3.53,25.03,5.11
Boban Marjanovic,5400,LAC,C,MIN,,22.00,62.05,28,228,-210,116.5,116.5,46.32,13.25,27.49,5.09
Cameron Payne,4400,CHI,PG,@ NYK,,26.19,43.31,7,215,120,106.25, ,37.46,15.15,22.38,5.09
Derrick Favors,4700,UTA,PF,TOR,,22.00,51.46,9,217,110,107.5,107.5,40.45,14.50,23.88,5.08
Tobias Harris,7700,LAC,PF,MIN,,34.00,55.38,26,228,-210,116.5,116.5,60.98,19.96,38.99,5.06
Sam Dekker,4200,CLE,SF,@ ORL,,25.00,34.32,9,213,160,104.25, ,38.58,14.26,21.22,5.05
Evan Fournier,6000,ORL,SG,CLE,,30.00,37.47,19,213,-185,108.75, ,47.70,16.50,30.17,5.03
Montrezl Harrell,5700,LAC,PF,MIN,,24.00,58.52,22,228,-210,116.5,116.5,52.52,22.47,28.59,5.02
Tyler Johnson,4300,MIA,PG,@ DET,,24.00,47.20,18,219.5,157,107.75,107.75,38.74,17.11,21.52,5
Jayson Tatum,6100,BOS,PF,@ DEN,,32.32,45.65,9,208,110,103,103,48.46,17.34,30.42,4.99
E'Twaun Moore,4600,NOP,SF,@ OKC,,32.00,42.28,29,238,155,117,117,38.09,13.82,22.92,4.98
Aaron Gordon,7300,ORL,PF,CLE,,33.00,42.80,4,213,-185,108.75, ,58.37,23.14,36.32,4.98
Carmelo Anthony,5500,HOU,SF,@ IND,,30.00,47.20,13,214.5,-105,106.75,106.75,53.25,22.59,27.35,4.97
Mohamed Bamba,4900,ORL,C,CLE,,22.00,59.99,27,213,-185,108.75, ,29.06,4.84,24.22,4.94
Nikola Jokic,9500,DEN,C,BOS,,31.00,51.84,11,208,-130,105,105,68.36,20.10,46.63,4.91
Dillon Brooks,4000,MEM,SG,@ GSW,,26.00,46.53,17,220.5,1041,103, ,39.02,19.52,19.52,4.88
Gordon Hayward,5400,BOS,SF,@ DEN,,25.00,45.65,9,208,110,103,103,45.98,15.11,26.32,4.87
Justin Holiday,5400,CHI,SG,@ NYK,,34.00,31.50,2,215,120,106.25, ,44.65,16.41,26.17,4.85
Chris Paul,8500,HOU,PG,@ IND,,34.00,41.31,2,214.5,-105,106.75,106.75,63.31,20.31,41.19,4.85
Wayne Selden,3500,MEM,SG,@ GSW,,20.00,42.81,6,220.5,1041,103, ,32.86,14.55,16.98,4.85
Shelvin Mack,4500,MEM,PG,@ GSW,,26.51,41.13,8,220.5,1041,103, ,39.56,15.95,21.76,4.84
Myles Turner,5800,IND,C,HOU,,27.76,76.23,29,214.5,-115,107.75,107.75,52.69,20.76,27.98,4.82
Lou Williams,5800,LAC,SG,MIN,,28.00,53.47,27,228,-210,116.5,116.5,49.47,17.88,27.9,4.81
Terrence Ross,4700,ORL,SG,CLE,,26.00,37.47,19,213,-185,108.75, ,40.43,20.02,22.6,4.81
Ricky Rubio,6300,UTA,PG,TOR,,30.00,36.71,2,217,110,107.5,107.5,49.69,17.61,30.26,4.8
Trey Lyles,4600,DEN,PF,BOS,,20.00,43.25,7,208,-130,105,105,43.06,19.19,22.08,4.8
Joe Ingles,6100,UTA,SF,TOR,,32.00,33.75,9,217,110,107.5,107.5,53.17,21.40,29.31,4.8
Mason Plumlee,3800,DEN,C,BOS,,18.00,45.15,2,208,-130,105,105,30.81,12.36,18.2,4.79
Kyrie Irving,7700,BOS,PG,@ DEN,,31.13,39.66,1,208,110,103,103,62.37,21.50,36.82,4.78
Darren Collison,5300,IND,PG,HOU,,28.00,44.28,18,214.5,-115,107.75,107.75,42.33,16.20,25.35,4.78
Andre Drummond,9200,DET,C,MIA,,31.00,55.19,22,219.5,-180,111.75,111.75,63.11,20.57,43.86,4.77
Damyean Dotson,5600,NYK,SG,CHI,,30.00,44.28,28,215,-140,108.75, ,44.31,17.48,26.69,4.77
P.J. Tucker,4800,HOU,PF,@ IND,,33.00,34.53,10,214.5,-105,106.75,106.75,41.93,17.52,22.84,4.76
Noah Vonleh,5700,NYK,PF,CHI,,26.00,50.14,22,215,-140,108.75, ,44.14,15.13,27.11,4.76
Terry Rozier,4100,BOS,PG,@ DEN,,19.00,47.60,22,208,110,103,103,32.53,13.67,19.48,4.75
Victor Oladipo,9100,IND,SG,HOU,,34.00,44.28,18,214.5,-115,107.75,107.75,64.20,24.23,43.03,4.73
D.J. Augustin,4500,ORL,PG,CLE,,27.23,48.20,24,213,-185,108.75, ,36.04,13.91,21.3,4.73
Anthony Davis,11800,NOP,PF,@ OKC,,36.00,43.17,1,238,155,117,117,84.46,25.68,55.71,4.72
Cedi Osman,6100,CLE,SF,@ ORL,,31.00,34.32,9,213,160,104.25, ,46.02,15.06,28.8,4.72
George Hill,4400,CLE,PG,@ ORL,,23.00,45.33,12,213,160,104.25, ,37.40,14.01,20.73,4.71
Dennis Schroder,5500,OKC,SG,NOP,,25.00,56.82,28,238,-175,121,121,44.31,21.14,25.91,4.71
Alfonzo McKinnie,3700,GSW,SF,MEM,,23.00,33.73,8,220.5,-2000,117.5, ,34.76,17.39,17.39,4.7
Delon Wright,3800,TOR,PG,@ UTA,,19.00,47.59,22,217,-130,109.5,109.5,29.17,13.29,17.81,4.69
Larry Nance,5300,CLE,PF,@ ORL,,20.00,49.87,5,213,160,104.25, ,49.17,20.20,24.82,4.68
Al Horford,6600,BOS,C,@ DEN,,32.00,55.32,14,208,110,103,103,50.92,15.57,30.9,4.68
Jerian Grant,4200,ORL,PG,CLE,,22.00,48.20,24,213,-185,108.75, ,36.61,16.92,19.63,4.67
Tyreke Evans,4900,IND,SF,HOU,,20.10,47.26,19,214.5,-115,107.75,107.75,38.00,11.90,22.89,4.67
Steven Adams,7200,OKC,C,NOP,,34.00,50.11,6,238,-175,121,121,53.02,20.37,33.62,4.67
Glenn Robinson,3500,DET,SF,MIA,,23.00,49.26,30,219.5,-180,111.75,111.75,32.49,15.58,16.26,4.65
Derrick Rose,6000,MIN,PG,@ LAC,,31.00,52.13,24,228,177,111.5,111.5,54.86,22.36,27.85,4.64
Garrett Temple,4500,MEM,SG,@ GSW,,30.00,36.36,18,220.5,1041,103, ,38.93,15.74,20.85,4.63
Zach LaVine,8300,CHI,SG,@ NYK,,34.00,47.76,23,215,120,106.25, ,61.20,19.44,38.42,4.63
Jamal Murray,7300,DEN,PG,BOS,,35.00,42.42,4,208,-130,105,105,59.03,22.42,33.77,4.63
