Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Nerlens Noel,3700,OKC,C,@ ORL,,24.00,52.69,14,222.5,-160,113,-0.5,53.17,5.18,26.69,7.21
D.J. Wilson,3500,MIL,PF,@ DET,,26.00,44.31,4,215.5,-275,111.25,-1.5,46.84,5.86,23.43,6.69
Richaun Holmes,5000,PHO,PF,@ SAS,,30.00,52.60,13,226,800,106.25,4.5,66.75,5.98,33.39,6.68
Michael Beasley,4200,LAL,SF,PHI,,26.00,48.22,19,230,260,111.25,111.25,53.01,8.09,27.24,6.49
Hamidou Diallo,3500,OKC,SG,@ ORL,,24.00,38.53,26,222.5,-160,113,-0.5,29.79,16.85,21.28,6.08
Tim Frazier,3500,NOP,PG,@ HOU,,24.00,40.16,12,234,800,110.25,-2,40.94,5.35,20.48,5.85
Frank Jackson,3600,NOP,PG,@ HOU,,29.00,47.90,9,234,800,110.25,-2,29.18,16.51,20.84,5.79
Rondae Hollis-Jefferson,4400,BKN,PF,CHI,,24.00,47.78,16,220,-275,113.25,1,49.64,6.21,24.83,5.64
Cheick Diallo,3700,NOP,PF,@ HOU,,21.00,55.17,22,234,800,110.25,-2,41.50,6.29,20.76,5.61
Dennis Schroder,5100,OKC,SG,@ ORL,,30.00,51.43,23,222.5,-160,113,-0.5,45.86,7.01,28.03,5.5
Bryn Forbes,4400,SAS,PG,PHO,,32.00,51.57,24,226,-1200,119.75,4,38.00,6.29,24.02,5.46
Reggie Jackson,5100,DET,PG,MIL,,31.00,46.29,3,215.5,240,104.25,-2,42.13,15.22,27.77,5.45
Khris Middleton,6600,MIL,SG,@ DET,,35.00,45.22,13,215.5,-275,111.25,-1.5,54.33,10.31,35.79,5.42
Shabazz Napier,5100,BKN,PG,CHI,,28.00,39.65,11,220,-275,113.25,1,53.85,7.72,27.49,5.39
Rudy Gay,6000,SAS,SF,PHO,,30.00,47.50,14,226,-1200,119.75,4,47.87,11.91,31.85,5.31
Eric Bledsoe,7000,MIL,PG,@ DET,,34.00,50.45,18,215.5,-275,111.25,-1.5,73.98,15.77,37.01,5.29
Derrick White,5700,SAS,PG,PHO,,32.00,45.92,28,226,-1200,119.75,4,53.89,10.25,30.07,5.28
Aaron Gordon,6800,ORL,PF,OKC,,36.00,47.61,15,222.5,138,109.5,1.5,61.26,14.41,35.68,5.25
Langston Galloway,3500,DET,SG,MIL,,26.00,35.91,17,215.5,240,104.25,-2,36.66,4.58,18.34,5.24
Jahlil Okafor,7200,NOP,C,@ HOU,,34.00,55.17,22,234,800,110.25,-2,65.38,15.65,37.53,5.21
Elie Okobo,4200,PHO,PG,@ SAS,,30.00,42.44,22,226,800,106.25,4.5,30.63,17.70,21.88,5.21
Kelly Oubre,6300,PHO,SF,@ SAS,,31.00,37.42,18,226,800,106.25,4.5,60.33,9.62,32.61,5.18
Bobby Portis,5700,CHI,PF,@ BKN,,26.00,59.32,27,220,240,106.75,1.5,58.77,5.64,29.4,5.16
P.J. Tucker,4700,HOU,PF,NOP,,36.00,41.87,29,234,-1200,123.75,1.5,36.27,7.46,24.21,5.15
LaMarcus Aldridge,8800,SAS,PF,PHO,,34.00,58.50,25,226,-1200,119.75,4,65.84,23.09,45.28,5.15
George Hill,3600,MIL,PG,@ DET,,26.00,41.35,17,215.5,-275,111.25,-1.5,33.76,4.91,18.38,5.11
Eric Gordon,5500,HOU,SG,NOP,,35.00,48.92,27,234,-1200,123.75,1.5,46.64,10.23,27.96,5.08
Josh Jackson,5800,PHO,PF,@ SAS,,32.00,46.22,16,226,800,106.25,4.5,54.88,12.14,29.46,5.08
Solomon Hill,3600,NOP,SF,@ HOU,,31.00,36.89,15,234,800,110.25,-2,36.44,4.79,18.23,5.06
Wayne Selden,3800,CHI,SG,@ BKN,,33.00,50.21,17,220,240,106.75,1.5,32.78,7.20,19.06,5.02
Rajon Rondo,6900,LAL,PG,PHI,,36.00,39.35,8,230,260,111.25,111.25,53.60,10.16,34.56,5.01
D.J. Augustin,4600,ORL,PG,OKC,,28.00,39.04,5,222.5,138,109.5,1.5,41.12,9.26,22.91,4.98
Tomas Satoransky ,6700,WAS,PG,@ CLE,,37.00,54.57,28,218.5,-300,113,-0.25,65.66,11.17,33.16,4.95
Devin Booker,8100,PHO,SG,@ SAS,,35.00,52.21,26,226,800,106.25,4.5,72.25,16.91,40.07,4.95
Kenneth Faried,7400,HOU,PF,NOP,,34.00,52.51,12,234,-1200,123.75,1.5,57.83,18.52,36.46,4.93
Giannis Antetokounmpo,11400,MIL,SF,@ DET,,35.00,44.31,4,215.5,-275,111.25,-1.5,78.57,32.21,56.12,4.92
Collin Sexton,4500,CLE,PG,WAS,,30.00,52.56,27,218.5,260,105.5,-0.25,30.88,12.82,22.06,4.9
Ed Davis,4300,BKN,PF,CHI,,20.00,58.04,26,220,-275,113.25,1,41.68,5.96,20.85,4.85
D'Angelo Russell,8600,BKN,SG,CHI,,32.00,50.90,20,220,-275,113.25,1,65.01,20.04,41.41,4.82
Mikal Bridges,4600,PHO,SF,@ SAS,,33.00,37.42,18,226,800,106.25,4.5,30.94,17.88,22.1,4.8
Zach LaVine,7200,CHI,SG,@ BKN,,35.00,50.21,17,220,240,106.75,1.5,52.93,16.85,34.46,4.79
Davis Bertans,4200,SAS,SF,PHO,,26.00,58.50,25,226,-1200,119.75,4,40.16,5.28,20.09,4.78
Ben Simmons,9400,PHI,PG,@ LAL,,36.00,34.48,1,230,-300,118.75,118.75,65.19,26.72,44.9,4.78
Nikola Vucevic,10200,ORL,C,OKC,,34.00,51.31,6,222.5,138,109.5,1.5,77.32,20.18,48.75,4.78
Darius Miller,4200,NOP,SF,@ HOU,,33.00,36.89,15,234,800,110.25,-2,40.08,6.68,20.05,4.77
Lauri Markkanen,7200,CHI,PF,@ BKN,,34.00,46.34,9,220,240,106.75,1.5,58.65,14.71,34.3,4.76
Cedi Osman,5400,CLE,SF,WAS,,35.00,35.10,7,218.5,260,105.5,-0.25,42.59,12.54,25.64,4.75
Kentavious Caldwell-Pope,4500,LAL,SG,PHI,,30.00,32.42,4,230,260,111.25,111.25,33.94,9.79,21.32,4.74
Rodney Hood,4800,CLE,SF,WAS,,30.00,43.66,8,218.5,260,105.5,-0.25,36.36,9.08,22.71,4.73
Andre Drummond,9100,DET,C,MIL,,34.00,48.17,1,215.5,240,104.25,-2,60.19,22.66,42.99,4.72
Jeff Green,4800,WAS,PF,@ CLE,,28.00,48.24,21,218.5,-300,113,-0.25,42.98,8.37,22.62,4.71
Lance Stephenson,4300,LAL,SF,PHI,,22.00,46.79,18,230,260,111.25,111.25,39.75,4.05,20.25,4.71
Kris Dunn,7200,CHI,PG,@ BKN,,34.00,50.21,17,220,240,106.75,1.5,57.43,19.22,33.9,4.71
Ante Zizic,6500,CLE,C,WAS,,32.00,56.29,23,218.5,260,105.5,-0.25,50.85,12.94,30.58,4.7
Stanley Johnson,3500,DET,SF,MIL,,20.00,38.55,23,215.5,240,104.25,-2,31.75,3.64,16.41,4.69
J.J. Redick,5800,PHI,SF,@ LAL,,32.00,34.99,13,230,-300,118.75,118.75,46.43,11.54,27.15,4.68
Larry Nance,5200,CLE,PF,WAS,,22.00,59.20,26,218.5,260,105.5,-0.25,48.62,3.04,24.32,4.68
Alec Burks,5100,CLE,SG,WAS,,30.00,43.66,8,218.5,260,105.5,-0.25,40.43,9.62,23.81,4.67
Tony Snell,3500,MIL,SG,@ DET,,28.00,35.37,9,215.5,-275,111.25,-1.5,32.60,4.53,16.31,4.66
Russell Westbrook,11900,OKC,PG,@ ORL,,36.00,51.43,23,222.5,-160,113,-0.5,77.64,28.17,55.46,4.66
Trevor Ariza,6600,WAS,SF,@ CLE,,37.00,38.13,21,218.5,-300,113,-0.25,45.35,9.54,30.68,4.65
Chris Paul,7500,HOU,PG,NOP,,30.00,50.13,16,234,-1200,123.75,1.5,51.13,15.45,34.88,4.65
Jimmy Butler,8300,PHI,SG,@ LAL,,36.00,47.74,25,230,-300,118.75,118.75,55.81,19.46,38.46,4.63
Jrue Holiday,9500,NOP,SG,@ HOU,,38.00,47.90,9,234,800,110.25,-2,69.67,20.81,43.71,4.6
Patrick Patterson,3500,OKC,PF,@ ORL,,22.00,48.34,1,222.5,-160,113,-0.5,31.10,3.21,16.05,4.59
Evan Fournier,5900,ORL,SG,OKC,,34.00,40.77,30,222.5,138,109.5,1.5,41.73,11.80,27.06,4.59
DeMarre Carroll,4700,BKN,SF,CHI,,28.00,38.93,24,220,-275,113.25,1,43.16,5.57,21.59,4.59
Joel Embiid,11600,PHI,C,@ LAL,,34.00,58.11,23,230,-300,118.75,118.75,84.75,36.94,53.07,4.58
Mohamed Bamba,3600,ORL,C,OKC,,15.00,52.46,11,222.5,138,109.5,1.5,23.06,12.45,16.47,4.58
Josh Hart,3900,LAL,SG,PHI,,24.00,32.42,4,230,260,111.25,111.25,33.21,3.66,17.77,4.56
Blake Griffin,10000,DET,PF,MIL,,36.00,55.98,19,215.5,240,104.25,-2,80.84,26.11,45.49,4.55
Luke Kennard,3700,DET,SG,MIL,,22.00,35.91,17,215.5,240,104.25,-2,31.42,5.43,16.81,4.54
James Harden,13900,HOU,SG,NOP,,38.00,50.13,16,234,-1200,123.75,1.5,88.44,45.10,63.17,4.54
Joe Harris,5300,BKN,SF,CHI,,32.00,33.73,8,220,-275,113.25,1,42.24,9.17,24,4.53
Jakob Poeltl,3600,SAS,C,PHO,,15.00,60.84,28,226,-1200,119.75,4,32.62,3.39,16.32,4.53
Wilson Chandler,4100,PHI,SF,@ LAL,,29.00,40.05,27,230,-300,118.75,118.75,31.00,6.43,18.54,4.52
Brandon Ingram,6900,LAL,SF,PHI,,36.00,46.79,18,230,260,111.25,111.25,45.82,13.71,31.02,4.5
Otto Porter,7000,WAS,SF,@ CLE,,32.00,38.13,21,218.5,-300,113,-0.25,62.57,9.58,31.3,4.47
Marco Belinelli,4300,SAS,SG,PHO,,24.00,35.11,14,226,-1200,119.75,4,31.98,5.62,19.24,4.47
Jordan Clarkson,5000,CLE,SG,WAS,,25.00,43.66,8,218.5,260,105.5,-0.25,44.40,7.73,22.21,4.44
Terrence Ross,5600,ORL,SG,OKC,,28.00,40.77,30,222.5,138,109.5,1.5,49.44,6.23,24.73,4.42
Jarrett Allen,6800,BKN,C,CHI,,26.00,58.04,26,220,-275,113.25,1,59.97,12.96,30,4.41
Bradley Beal,10100,WAS,SG,@ CLE,,38.00,47.35,23,218.5,-300,113,-0.25,68.73,22.50,44.2,4.38
Paul George,11100,OKC,SF,@ ORL,,37.00,48.13,17,222.5,-160,113,-0.5,75.81,23.16,48.04,4.33
Jonathon Simmons,3600,ORL,SF,OKC,,20.00,45.35,14,222.5,138,109.5,1.5,30.66,2.39,15.51,4.31
Jabari Parker,4000,CHI,SF,@ BKN,,17.00,46.34,9,220,240,106.75,1.5,31.46,3.19,17.22,4.31
Jonathan Isaac,5100,ORL,SF,OKC,,27.00,47.61,15,222.5,138,109.5,1.5,37.45,6.28,21.95,4.3
Brook Lopez,5700,MIL,C,@ DET,,27.00,53.60,12,215.5,-275,111.25,-1.5,44.32,9.91,24.47,4.29
Rodions Kurucs,4100,BKN,PF,CHI,,23.00,47.78,16,220,-275,113.25,1,24.58,10.20,17.56,4.28
Jerami Grant,6100,OKC,PF,@ ORL,,34.00,48.13,17,222.5,-160,113,-0.5,52.13,3.44,26.08,4.28
Bruce Brown,3500,DET,SG,MIL,,24.00,35.91,17,215.5,240,104.25,-2,20.72,8.60,14.8,4.23
Thomas Bryant ,5500,WAS,C,@ CLE,,24.00,52.44,8,218.5,-300,113,-0.25,46.50,2.88,23.26,4.23
Ivica Zubac,5800,LAL,C,PHI,,24.00,52.84,15,230,260,111.25,111.25,44.58,11.33,24.31,4.19
Jerian Grant,3800,ORL,PG,OKC,,19.00,39.04,5,222.5,138,109.5,1.5,30.19,3.70,15.89,4.18
Matthew Dellavedova,3900,CLE,PG,WAS,,21.00,45.50,27,218.5,260,105.5,-0.25,32.48,3.87,16.25,4.17
JaVale McGee,3900,LAL,C,PHI,,14.00,52.84,15,230,260,111.25,111.25,31.70,4.09,15.86,4.07
Patty Mills,4200,SAS,PG,PHO,,22.00,45.92,28,226,-1200,119.75,4,32.82,4.11,16.42,3.91
Robin Lopez,4000,CHI,C,@ BKN,,20.00,62.38,30,220,240,106.75,1.5,29.99,5.46,15.2,3.8
Jamal Crawford,3800,PHO,SG,@ SAS,,20.00,46.22,16,226,800,106.25,4.5,26.83,3.46,14.41,3.79
Ian Mahinmi,3800,WAS,C,@ CLE,,14.00,52.06,9,218.5,-300,113,-0.25,28.57,2.39,14.29,3.76
Abdel Nader,3500,OKC,SF,@ ORL,,18.00,31.96,2,222.5,-160,113,-0.5,25.93,3.00,12.97,3.71
James Ennis,3900,HOU,SF,NOP,,22.00,41.87,29,234,-1200,123.75,1.5,28.69,4.48,14.35,3.68
Ian Clark,3500,NOP,SG,@ HOU,,19.00,36.55,18,234,800,110.25,-2,25.69,3.35,12.85,3.67
Austin Rivers,3800,HOU,SG,NOP,,20.00,48.50,30,234,-1200,123.75,1.5,27.33,3.16,13.67,3.6
T.J. McConnell,4400,PHI,PG,@ LAL,,20.00,34.48,1,230,-300,118.75,118.75,29.31,3.25,15.7,3.57
Nene Hilario,3500,HOU,C,NOP,,12.00,52.51,12,234,-1200,123.75,1.5,23.57,3.29,12.32,3.52
Ersan Ilyasova,3600,MIL,PF,@ DET,,14.00,44.31,4,215.5,-275,111.25,-1.5,22.77,2.15,12.56,3.49
Sam Dekker,3800,WAS,SF,@ CLE,,16.00,38.13,21,218.5,-300,113,-0.25,23.29,2.22,12.63,3.32
Antonio Blakeney,3500,CHI,SG,@ BKN,,14.00,30.08,1,220,240,106.75,1.5,23.19,2.32,11.6,3.31
Jose Calderon,3500,DET,PG,MIL,,17.00,41.67,18,215.5,240,104.25,-2,22.81,3.17,11.41,3.26
Chasson Randle,3600,WAS,SG,@ CLE,,14.00,54.57,28,218.5,-300,113,-0.25,23.33,2.80,11.67,3.24
Zaza Pachulia,4200,DET,C,MIL,,14.00,48.17,1,215.5,240,104.25,-2,23.45,4.71,13.43,3.2
Sviatoslav Mykhailiuk,3500,LAL,SG,PHI,,18.00,34.85,5,230,260,111.25,111.25,15.68,8.47,11.2,3.2
Mike Muscala,3500,PHI,C,@ LAL,,14.00,58.11,23,230,-300,118.75,118.75,21.34,2.14,11.05,3.16
Ryan Arcidiacono,3500,CHI,PG,@ BKN,,16.00,40.22,13,220,240,106.75,1.5,22.09,3.31,11.05,3.16
Pat Connaughton,3500,MIL,SG,@ DET,,15.00,36.76,19,215.5,-275,111.25,-1.5,21.85,3.04,10.93,3.12
Treveon Graham,3600,BKN,SG,CHI,,20.00,38.93,24,220,-275,113.25,1,17.45,3.44,10.97,3.05
Landry Shamet,3900,PHI,PG,@ LAL,,16.00,34.99,13,230,-300,118.75,118.75,15.78,8.78,11.27,2.89
Corey Brewer,4500,PHI,SF,@ LAL,,18.00,34.99,13,230,-300,118.75,118.75,25.97,4.95,12.99,2.89
Glenn Robinson,3500,DET,SF,MIL,,15.00,38.55,23,215.5,240,104.25,-2,20.11,2.39,10.06,2.87
Gerald Green,3600,HOU,SF,NOP,,13.00,48.92,27,234,-1200,123.75,1.5,18.47,2.93,10.23,2.84
Dragan Bender,4400,PHO,PF,@ SAS,,17.00,50.43,3,226,800,106.25,4.5,24.79,3.65,12.4,2.82
Tyson Chandler,3600,LAL,C,PHI,,10.00,52.84,15,230,260,111.25,111.25,18.83,1.62,9.42,2.62
Deng Adel,3500,CLE,SF,WAS,,12.00,35.10,7,218.5,260,105.5,-0.25,11.97,7.17,8.55,2.44
Shaquille Harrison,3500,CHI,PG,@ BKN,,11.00,40.22,13,220,240,106.75,1.5,16.97,2.43,8.49,2.43
Troy Daniels,3500,PHO,SG,@ SAS,,12.00,31.80,2,226,800,106.25,4.5,16.49,2.43,8.25,2.36
Lonnie Walker,3500,SAS,SG,PHO,,10.00,48.93,28,226,-1200,119.75,4,11.17,6.70,7.98,2.28
Timothe Luwawu-Cabarrot,3500,OKC,SG,@ ORL,,10.00,31.96,2,222.5,-160,113,-0.5,14.23,1.98,7.12,2.03
Dante Cunningham,3500,SAS,SF,PHO,,10.00,47.50,14,226,-1200,119.75,4,14.13,1.68,7.07,2.02
Pau Gasol,3500,SAS,C,PHO,,5.00,58.50,25,226,-1200,119.75,4,10.94,2.48,6.07,1.73
Theo Pinson,4100,BKN,SF,CHI,,7.00,33.73,8,220,-275,113.25,1,8.72,5.23,6.23,1.52
Wesley Johnson,3500,NOP,SF,@ HOU,,6.00,36.89,15,234,800,110.25,-2,10.03,1.09,5.02,1.43
Raymond Felton,3500,OKC,PG,@ ORL,,5.00,36.86,2,222.5,-160,113,-0.5,8.95,1.14,4.78,1.37
Kenrich Williams,3600,NOP,PF,@ HOU,,5.00,36.89,15,234,800,110.25,-2,4.96,2.80,3.54,0.98
Furkan Korkmaz,3500,PHI,SG,@ LAL,,5.00,34.99,13,230,-300,118.75,118.75,6.06,0.68,3.03,0.87
