Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Royce O'Neale,3500,UTA,SF,@ PHO,,35.00,23.03,5,219.5,-600,115,115,53.35,9.21,26.7,7.63
Ivan Rabb,4800,MEM,PF,@ POR,,32.00,32.08,17,216.5,500,103,103,56.60,18.28,34.49,7.19
Georges Niang,3500,UTA,PF,@ PHO,,24.00,35.76,30,219.5,-600,115,115,46.86,4.45,23.44,6.7
Ian Clark,3600,NOP,SG,CHA,,32.00,24.23,26,229.5,165,112.5,112.5,44.85,9.31,23.57,6.55
Tyler Dorsey,4300,MEM,SG,@ POR,,30.00,21.47,11,216.5,500,103,103,46.84,12.51,28.18,6.55
Raul Neto,3500,UTA,PG,@ PHO,,26.00,23.40,26,219.5,-600,115,115,45.22,6.88,22.62,6.46
Kent Bazemore,3800,ATL,SG,PHI,,22.00,24.37,11,238.5,175,117,117,40.56,8.68,23.58,6.21
Justin Anderson,3600,ATL,SG,PHI,,22.00,25.21,17,238.5,175,117,117,38.06,8.77,22.36,6.21
Wayne Selden,4000,CHI,SG,@ WAS,,29.00,39.32,17,226,400,108.25,-0.25,43.54,9.16,24.56,6.14
Troy Brown Jr.,4300,WAS,SF,CHI,,33.00,28.62,28,226,-500,117.75,-1.75,36.79,15.27,26.28,6.11
Thon Maker,4300,DET,C,IND,,30.00,29.41,4,204.5,-140,103.5,103.5,52.41,7.87,26.22,6.1
Walter Lemon,4800,CHI,SG,@ WAS,,30.00,39.32,17,226,400,108.25,-0.25,40.31,23.29,28.79,6
Cory Joseph,3600,IND,PG,@ DET,,32.00,18.80,4,204.5,120,101,101,35.27,9.15,21.43,5.95
Dwayne Bacon,4000,CHA,SG,@ NOP,,28.00,21.72,14,229.5,-190,117,117,45.94,8.45,23.79,5.95
Stanley Johnson,3700,NOP,SF,CHA,,24.00,25.78,21,229.5,165,112.5,112.5,41.80,4.80,21.6,5.84
Mario Hezonja,4100,NYK,SF,@ ORL,,24.00,22.90,21,212.5,750,99.75,-0.25,47.56,5.95,23.79,5.8
Thabo Sefolosha,3600,UTA,SF,@ PHO,,23.00,23.03,5,219.5,-600,115,115,41.74,5.22,20.88,5.8
