Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Delon Wright,3600,TOR,SG,@ DEN,,27.00,40.41,14,209,130,103,-5,47.13,22.49,28.29,7.86
Rodions Kurucs,3700,BKN,PF,ATL,,30.00,54.01,26,225,-275,116,-1.25,31.75,8.57,28,7.57
DeMarre Carroll,3700,BKN,SF,ATL,,25.00, , ,225,-275,116,-1.25,43.53,19.78,25.62,6.92
Tomas Satoransky ,4400,WAS,PG,LAL,,30.00,49.67,17,231,138,113.75,-0.5,41.84,16.62,29.32,6.66
Justin Jackson,3500,SAC,SF,@ DAL,,28.00,32.91,5,222.5,150,109,-0.5,31.61,16.91,20.96,5.99
Cedi Osman,4800,CLE,SF,PHI,,31.00,34.62,8,218,300,105,0.5,36.97,12.86,28.57,5.95
Wesley Matthews,5100,DAL,SG,SAC,,34.00,41.84,28,222.5,-175,113.5,-1.5,44.03,18.35,29.93,5.87
Rondae Hollis-Jefferson,5500,BKN,PF,ATL,,30.00,54.01,26,225,-275,116,-1.25,49.00,20.78,32.07,5.83
Tyson Chandler,3700,LAL,C,@ WAS,,26.00,54.60,23,231,-160,117.25,0.5,41.67,21.57,21.57,5.83
Joe Harris,4500,BKN,SF,ATL,,32.00,40.56,27,225,-275,116,-1.25,37.43,17.15,25.67,5.7
Devin Harris,3900,DAL,PG,SAC,,24.00,52.59,26,222.5,-175,113.5,-1.5,39.16,21.95,21.95,5.63
Wilson Chandler,4200,PHI,SF,@ CLE,,28.00,35.62,14,218,-350,113,0.5,35.14,16.70,23.49,5.59
Harrison Barnes,5900,DAL,SF,SAC,,35.00,50.96,20,222.5,-175,113.5,-1.5,41.81,19.06,32.92,5.58
Sam Dekker,3700,WAS,SF,LAL,,24.00,35.91,16,231,138,113.75,-0.5,34.90,17.35,20.6,5.57
Dwight Powell,3500,DAL,PF,SAC,,16.00,57.64,24,222.5,-175,113.5,-1.5,30.35,15.56,19.47,5.56
Buddy Hield,6300,SAC,SG,@ DAL,,34.00,32.91,5,222.5,150,109,-0.5,53.78,23.82,34.92,5.54
Greg Monroe,4000,TOR,C,@ DEN,,20.00,51.55,12,209,130,103,-5,30.67,13.57,22,5.5
Torrey Craig,3800,DEN,SG,TOR,,30.00,36.57,18,209,-150,106,1,29.13,12.36,20.88,5.49
Trey Burke,4000,NYK,PG,@ IND,,23.00,44.50,4,216,550,102.25,0.5,37.54,18.41,21.89,5.47
Mike Muscala,4100,PHI,C,@ CLE,,25.00,47.19,1,218,-350,113,0.5,41.76,22.39,22.39,5.46
Jordan Clarkson,5300,CLE,SG,PHI,,28.00,46.54,19,218,300,105,0.5,47.37,25.56,28.69,5.41
Jimmy Butler,8000,PHI,SG,@ CLE,,34.00,51.44,30,218,-350,113,0.5,57.83,23.94,43.22,5.4
Matthew Dellavedova,3900,CLE,PG,PHI,,20.00,37.57,5,218,300,105,0.5,37.05,21.05,21.05,5.4
Noah Vonleh,5200,NYK,PF,@ IND,,28.00,47.20,11,216,550,102.25,0.5,38.98,17.13,28.04,5.39
Josh Richardson,6200,MIA,SF,@ NOP,,34.00,49.54,27,222,210,107.75, ,48.91,20.15,33.36,5.38
Danny Green,4600,TOR,SG,@ DEN,,32.00,34.95,11,209,130,103,-5,35.10,17.16,24.72,5.37
Alec Burks,5000,CLE,SG,PHI,,28.00,46.54,19,218,300,105,0.5,37.60,19.10,26.67,5.33
Kevin Huerter,4600,ATL,SG,@ BKN,,31.00,29.28,1,225,240,109,-0.75,25.31,5.07,24.48,5.32
Domantas Sabonis,6500,IND,PF,NYK,,27.00,55.97,24,216,-700,113.75,0.5,50.91,26.74,34.33,5.28
James Johnson,3900,MIA,PF,@ NOP,,20.00,47.74,13,222,210,107.75, ,26.87,10.84,20.53,5.26
