Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Ryan Anderson,3600,PHO,PF,MEM,,28.00,43.88,8,209.5, , , ,47.02,23.52,23.52,6.53
Marco Belinelli,4000,SAS,SG,ORL,,30.00,38.50,24,208.5, , , ,42.12,18.06,24.08,6.02
Kelly Oubre,4300,WAS,SF,NYK,,29.00,35.30,13,226.5, , , ,51.39,21.89,25.85,6.01
Davis Bertans,3500,SAS,SF,ORL,,24.00,54.37,12,208.5, , , ,40.46,20.24,20.24,5.78
Isaiah Canaan,3900,PHO,PG,MEM,,28.00,43.87,7,209.5, , , ,38.16,14.62,22.25,5.71
Kyle Anderson,4500,MEM,SF,@ PHO,,27.00,34.43,9,209.5, , , ,42.10,14.21,25.56,5.68
Patty Mills,3700,SAS,PG,ORL,,25.00,45.85,13,208.5, , , ,39.83,16.95,20.49,5.54
Brook Lopez,4900,MIL,C,SAC,,27.86,57.21,18,235.5, , , ,49.57,17.73,26.94,5.5
Al-Farouq Aminu,5100,POR,PF,MIN,,30.65,39.82,23,228,-260,116.75,116.75,48.64,19.53,27.94,5.48
LaMarcus Aldridge,8100,SAS,PF,ORL,,35.00,54.37,12,208.5, , , ,68.84,22.58,44.27,5.47
Josh Okogie,5600,MIN,SG,@ POR,,31.00,41.94,7,228,215,111.25,111.25,38.04,6.83,30.65,5.47
Iman Shumpert,3600,SAC,SG,@ MIL,,27.63,32.90,7,235.5, , , ,36.14,16.56,19.48,5.41
Dwight Howard,6200,WAS,C,NYK,,28.00,55.43,20,226.5, , , ,51.67,17.79,33.51,5.4
Bryn Forbes,4000,SAS,PG,ORL,,29.00,38.50,24,208.5, , , ,37.89,13.84,21.42,5.36
Richaun Holmes,3500,PHO,PF,MEM,,15.00,43.29,1,209.5, , , ,36.05,15.11,18.72,5.35
Tyus Jones,5100,MIN,PG,@ POR,,30.00,42.78,15,228,215,111.25,111.25,43.39,15.19,27.17,5.33
Taj Gibson,4700,MIN,PF,@ POR,,28.00,56.42,23,228,215,111.25,111.25,44.18,13.35,24.86,5.29
Dante Cunningham,3600,SAS,SF,ORL,,25.00,50.91,22,208.5, , , ,33.76,12.73,19.06,5.29
Trevor Ariza,5000,PHO,SF,MEM,,35.00,39.20,22,209.5, , , ,45.47,18.36,26.45,5.29
Fred VanVleet,4900,TOR,PG,@ LAL,,24.00,26.21,1,235,110,116.5,116.5,47.03,20.00,25.8,5.27
John Henson,3900,MIL,PF,SAC,,18.00,60.73,26,235.5, , , ,40.05,17.68,20.53,5.26
Karl-Anthony Towns,9400,MIN,C,@ POR,,37.00,59.63,24,228,215,111.25,111.25,85.01,29.16,49.25,5.24
Mikal Bridges,3900,PHO,SF,MEM,,24.00,39.20,22,209.5, , , ,24.08,3.52,20.22,5.18
D.J. Augustin,4500,ORL,PG,@ SAS,,26.00,37.95,3,208.5, , , ,37.25,14.61,23.12,5.14
Dario Saric,5200,PHI,PF,@ BKN,,29.00,51.99,24,224,-180,114,114,42.38,14.39,26.64,5.12
Joel Embiid,10900,PHI,C,@ BKN,,33.00,63.75,27,224,-180,114,114,89.85,21.49,55.67,5.11
Kyle Lowry,8300,TOR,PG,@ LAL,,34.00,51.74,24,235,110,116.5,116.5,67.26,22.21,42.38,5.11
Mike Muscala,3600,PHI,C,@ BKN,,21.00,63.75,27,224,-180,114,114,36.70,18.36,18.36,5.1
Malcolm Brogdon,5500,MIL,SG,SAC,,31.00,56.73,27,235.5, , , ,47.78,18.86,27.81,5.06
Giannis Antetokounmpo,11500,MIL,SF,SAC,,35.00,53.82,25,235.5, , , ,82.27,23.06,57.94,5.04
Shelvin Mack,4500,MEM,PG,@ PHO,,26.00,49.84,27,209.5, , , ,40.92,17.09,22.46,4.99
John Wall,9400,WAS,PG,NYK,,35.00,41.63,4,226.5, , , ,64.10,19.04,46.89,4.99
Ed Davis,3700,BKN,C,PHI,,17.00,53.70,16,224,155,110,110,34.18,16.25,18.26,4.94
Derrick Rose,6000,MIN,PG,@ POR,,30.00,44.51,9,228,215,111.25,111.25,58.71,24.80,29.59,4.93
Andrew Wiggins,6600,MIN,SF,@ POR,,37.00,41.94,7,228,215,111.25,111.25,48.36,18.25,32.48,4.92
Tomas Satoransky ,3500,WAS,PG,NYK,,18.00,41.63,4,226.5, , , ,34.36,14.58,17.19,4.91
Lonzo Ball,6000,LAL,PG,TOR,,31.79,33.63,2,235,-130,118.5,118.5,45.72,16.71,29.31,4.89
Rondae Hollis-Jefferson,5400,BKN,PF,PHI,,24.00,57.95,29,224,155,110,110,52.47,21.87,26.25,4.86
Garrett Temple,4500,MEM,SG,@ PHO,,29.00,36.86,19,209.5, , , ,42.22,16.69,21.82,4.85
Damian Lillard,9700,POR,PG,MIN,,35.00,46.02,14,228,-260,116.75,116.75,71.99,23.40,47.08,4.85
Pau Gasol,4800,SAS,C,ORL,,19.00,54.37,12,208.5, , , ,42.17,15.14,23.22,4.84
Ben Simmons,9800,PHI,PG,@ BKN,,35.00,39.05,5,224,-180,114,114,63.80,18.88,47.33,4.83
C.J. McCollum,6800,POR,SG,MIN,,33.43,56.81,29,228,-260,116.75,116.75,50.34,15.98,32.75,4.82
Allonzo Trier,3900,NYK,SG,@ WAS,,23.00,48.71,22,226.5, , , ,23.29,4.19,18.77,4.81
Joe Harris,4500,BKN,SG,PHI,,28.00,32.56,6,224,155,110,110,37.70,15.36,21.63,4.81
Devin Booker,7900,PHO,SG,MEM,,35.00,43.87,7,209.5, , , ,57.85,24.90,38.01,4.81
Jared Dudley,3600,BKN,SF,PHI,,23.00,29.56,2,224,155,110,110,32.52,11.06,17.28,4.8
Allen Crabbe,3800,BKN,SG,PHI,,22.00,32.56,6,224,155,110,110,36.36,18.19,18.19,4.79
