Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Cory Joseph,3600,IND,PG,@ LAC,,30.00,17.80,1,219.5,180,107.25,0.25,43.05,7.65,24.53,6.81
D.J. Wilson,3500,MIL,PF,LAL,,26.00,26.80,2,229,-600,120,-4,47.54,5.71,23.78,6.79
Nikola Mirotic,5000,MIL,SF,LAL,,30.00,26.80,2,229,-600,120,-4,53.14,14.72,33.85,6.77
Tony Snell,3500,MIL,SG,LAL,,30.00,26.58,23,229,-600,120,-4,42.76,5.95,21.39,6.11
Eric Bledsoe,7400,MIL,PG,LAL,,32.00,41.65,25,229,-600,120,-4,87.26,18.77,43.65,5.9
Caris LeVert,5200,BKN,SG,@ SAC,,30.00,38.13,13,231.5,125,114.25,0.25,46.55,12.74,29.9,5.75
Tyus Jones,4700,MIN,PG,GSW,,29.00,19.15,5,230,230,111.75,111.75,42.52,9.62,25.8,5.49
Spencer Dinwiddie,5800,BKN,PG,@ SAC,,30.00,38.13,13,231.5,125,114.25,0.25,52.62,7.66,31.53,5.44
Brook Lopez,6200,MIL,C,LAL,,32.00,32.84,21,229,-600,120,-4,62.24,13.38,33.46,5.4
Buddy Hield,7000,SAC,SG,BKN,,34.00,17.64,1,231.5,-143,117.25,-0.75,64.74,16.28,37.51,5.36
DeMarre Carroll,4100,BKN,SF,@ SAC,,25.00,26.26,18,231.5,125,114.25,0.25,43.74,4.94,21.88,5.34
Mike Scott,3700,PHI,PF,@ CHA,,28.00,30.45,16,223,-114,112, ,38.78,3.65,19.4,5.24
Frank Kaminsky,4300,CHA,PF,PHI,,24.00,32.13,17,223,-100,111,-2,44.90,4.87,22.46,5.22
Kemba Walker,8600,CHA,PG,PHI,,36.00,38.85,15,223,-100,111,-2,83.08,21.42,44.62,5.19
Bojan Bogdanovic,6200,IND,SF,@ LAC,,35.00,19.93,7,219.5,180,107.25,0.25,52.89,10.43,32.19,5.19
Willie Cauley-Stein,5900,SAC,C,BKN,,27.00,30.99,11,231.5,-143,117.25,-0.75,44.71,16.09,30.54,5.18
Myles Turner,7700,IND,C,@ LAC,,33.00,34.30,26,219.5,180,107.25,0.25,77.94,12.21,39.91,5.18
Karl-Anthony Towns,11200,MIN,C,GSW,,35.00,26.10,2,230,230,111.75,111.75,90.15,30.32,57.42,5.13
Pat Connaughton,4400,MIL,SG,LAL,,28.00,21.29,19,229,-600,120,-4,45.14,6.28,22.58,5.13
Khris Middleton,7700,MIL,SG,LAL,,32.00,32.68,30,229,-600,120,-4,57.18,11.39,39.41,5.12
Domantas Sabonis,6500,IND,PF,@ LAC,,26.00,36.60,29,219.5,180,107.25,0.25,62.44,4.89,33.25,5.12
Dario Saric,3900,MIN,PF,GSW,,23.00,31.68,20,230,230,111.75,111.75,30.02,8.75,19.8,5.08
Wesley Matthews,4300,IND,SG,@ LAC,,33.00,19.93,7,219.5,180,107.25,0.25,38.91,9.92,21.8,5.07
Kevin Durant,9500,GSW,SF,@ MIN,,35.00,31.49,19,230,-275,118.25,118.25,72.47,25.45,47.74,5.03
Joe Harris,4300,BKN,SF,@ SAC,,30.00,20.11,9,231.5,125,114.25,0.25,38.00,8.25,21.59,5.02
Trae Young,7900,ATL,PG,HOU,,32.00,35.65,4,232.5,290,112.25,-0.25,55.09,31.17,39.35,4.98
D'Angelo Russell,8100,BKN,SG,@ SAC,,32.00,38.13,13,231.5,125,114.25,0.25,62.44,17.88,40.36,4.98
Jeremy Lamb,6500,CHA,SG,PHI,,32.00,24.93,13,223,-100,111,-2,61.62,10.09,32.33,4.97
Andre Iguodala,4300,GSW,SG,@ MIN,,26.00,24.42,8,230,-275,118.25,118.25,36.53,10.39,21.3,4.95
Marvin Williams,5400,CHA,PF,PHI,,32.00,29.24,11,223,-100,111,-2,53.11,6.06,26.7,4.94
Thaddeus Young,6300,IND,PF,@ LAC,,35.00,31.84,21,219.5,180,107.25,0.25,47.52,14.28,31.12,4.94
Andrew Wiggins,6400,MIN,SG,GSW,,35.00,28.97,27,230,230,111.75,111.75,48.80,13.71,31.38,4.9
Nicolas Batum,5800,CHA,SF,PHI,,36.00,25.11,14,223,-100,111,-2,49.38,12.28,28.43,4.9
Stephen Curry,9400,GSW,PG,@ MIN,,35.00,38.93,16,230,-275,118.25,118.25,78.34,16.99,45.92,4.89
Kentavious Caldwell-Pope,4200,LAL,SG,@ MIL,,28.00,21.35,20,229,475,109,-3,41.04,6.32,20.53,4.89
Bismack Biyombo,3500,CHA,C,PHI,,18.00,32.42,19,223,-100,111,-2,29.21,5.12,17.08,4.88
Bogdan Bogdanovic,5100,SAC,SG,BKN,,26.00,26.20,18,231.5,-143,117.25,-0.75,48.84,8.57,24.84,4.87
Jarrett Allen,6400,BKN,C,@ SAC,,28.00,31.22,15,231.5,125,114.25,0.25,61.71,13.34,30.87,4.82
De'Aaron Fox,8200,SAC,PG,BKN,,35.00,38.65,14,231.5,-143,117.25,-0.75,60.29,20.65,39.48,4.81
Kent Bazemore,4300,ATL,SG,HOU,,21.00,25.45,16,232.5,290,112.25,-0.25,35.35,7.56,20.55,4.78
Harrison Barnes,5400,SAC,SF,BKN,,35.00,28.59,9,231.5,-143,117.25,-0.75,40.23,10.92,25.82,4.78
