Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-13,Stephen Curry,9200,GSW,PG,@ HOU,,36.0,35.93,5,228.0,150,112.0,112,84.6,18.35,49.59,5.39,W,35,8,20,0.4,3,9,0.333,5,5,1.0,2,2,4,5,2,0,1,2,24,-3,41.3,1.0,1.0
2019-03-13,Russell Westbrook,11700,OKC,PG,BKN,,36.0,38.51,15,232.5,-300,120.0,120,78.99,30.86,56.42,4.82,W,36,12,23,0.522,4,8,0.5,3,5,0.6,3,9,12,11,3,0,5,3,31,18,65.9,1.0,1.0
2019-03-13,Evan Fournier,5400,ORL,SG,@ WAS,,34.0,26.88,30,226.5,110,112.25,112.25,42.24,10.94,27.36,5.07,L,32,3,9,0.333,2,5,0.4,0,0,,0,4,4,4,0,0,1,3,8,3,17.8,2.0,1.0
2019-03-13,Andre Iguodala,4300,GSW,SG,@ HOU,,28.0,25.75,16,228.0,150,112.0,112,37.95,10.8,22.13,5.15,W,25,1,4,0.25,1,4,0.25,0,0,,0,5,5,4,0,0,0,3,3,-5,15.0,2.0,1.0
2019-03-13,Jeff Green,4500,WAS,SF,ORL,,29.0,30.28,16,226.5,-125,114.25,114.25,44.23,8.46,22.86,5.08,W,28,1,5,0.2,1,3,0.333,5,6,0.833,0,1,1,0,1,0,0,1,8,-8,12.2,3.0,1.0
2019-03-13,Paul George,10000,OKC,SF,BKN,,36.0,27.92,5,232.5,-300,120.0,120,77.67,22.82,49.19,4.92,W,37,9,18,0.5,3,6,0.5,4,4,1.0,2,7,9,3,2,2,2,2,25,11,50.3,3.0,1.0
2019-03-13,Draymond Green,6600,GSW,PF,@ HOU,,33.0,31.86,16,228.0,150,112.0,112,48.56,14.18,32.83,4.97,W,37,1,5,0.2,0,2,0.0,0,0,,0,5,5,5,1,1,4,3,2,-4,17.5,4.0,1.0
2019-03-13,Ivan Rabb,3500,MEM,PF,@ ATL,,19.0,33.57,24,223.5,-118,112.5,2.5,38.3,5.3,19.63,5.61,L,25,0,5,0.0,0,2,0.0,4,4,1.0,2,3,5,3,1,0,1,4,4,-16,16.5,4.0,1.0
2019-03-13,Joakim Noah,4800,MEM,C,@ ATL,,22.0,33.57,24,223.5,-118,112.5,2.5,48.28,8.33,24.15,5.03,L,24,5,7,0.7140000000000001,0,0,,2,3,0.667,1,7,8,5,1,1,0,2,12,-4,35.1,5.0,1.0
