Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-10,Ben Simmons,9700,PHI,PG,@ MEM,,37.0,41.68,11,211.0,165,103.25,-0.75,77.25,21.02,49.58,5.11,L,38,9,15,0.6,0,0,,0,0,,2,12,14,5,0,1,6,1,18,-17,39.3,1.0,1.0
2018-11-10,Mike Conley,6900,MEM,PG,PHI,,33.0,44.42,16,211.0,-190,107.75,1.75,65.05,21.39,37.0,5.36,W,42,12,24,0.5,4,10,0.4,4,6,0.667,0,4,4,6,2,1,1,3,32,19,53.8,1.0,1.0
2018-11-10,J.J. Redick,5100,PHI,SG,@ MEM,,35.0,33.36,9,211.0,165,103.25,-0.75,55.51,24.44,27.77,5.45,L,34,8,12,0.667,3,6,0.5,1,1,1.0,0,0,0,1,0,0,2,2,20,-5,19.5,2.0,1.0
2018-11-10,Jordan Clarkson,5100,CLE,SG,@ CHI,,34.0,35.61,2,212.0,170,103.75,103.75,64.61,31.78,32.93,6.46,L,25,6,16,0.375,2,4,0.5,1,2,0.5,2,3,5,4,0,0,1,3,15,-10,26.0,2.0,1.0
2018-11-10,Kawhi Leonard,9900,TOR,SF,NYK,,35.0,46.86,19,217.5,-1600,115.75,115.75,79.3,23.68,48.92,4.94,W,23,2,7,0.28600000000000003,0,2,0.0,8,10,0.8,2,5,7,3,1,0,3,0,12,8,24.9,3.0,1.0
2018-11-10,Nemanja Bjelica,6400,SAC,SF,LAL,,30.0,45.86,14,237.5,205,116.0,-1,58.79,20.45,30.75,4.8,L,26,1,6,0.16699999999999998,0,1,0.0,0,0,,3,4,7,2,1,0,2,3,2,-6,14.4,3.0,1.0
2018-11-10,LaMarcus Aldridge,8100,SAS,PF,HOU,,35.0,66.92,29,210.5,150,103.5,103.5,73.08,27.31,42.94,5.3,W,36,10,21,0.476,0,0,,7,8,0.875,2,8,10,1,0,1,2,3,27,21,41.5,4.0,1.0
2018-11-10,Kevon Looney,4500,GSW,PF,BKN,,23.0,63.16,30,223.5,-380,115.75,-1.75,45.14,19.12,23.87,5.3,W,13,1,2,0.5,0,0,,0,0,,0,3,3,0,0,2,1,5,2,10,10.6,4.0,1.0
2018-11-10,Jordan Bell,4200,GSW,C,BKN,,24.0,63.16,30,223.5,-380,115.75,-1.75,47.35,17.35,24.0,5.71,W,27,2,4,0.5,0,0,,1,2,0.5,0,8,8,2,3,1,0,2,5,7,29.6,5.0,1.0
