entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
30803-15755,PF,Anthony,30803-66108,30803-9702,30803-15595,30803-15592,30803-15904,30803-15755,30803-9688,30803-14503,,,,
30803-40199,SF,Giannis,30803-66108,30803-9475,30803-15595,30803-15592,30803-80811,30803-15755,30803-9957,30803-14503,,,,
30803-9642,PG,Russell,30803-12355,30803-9475,30803-15595,30803-15592,30803-15904,30803-15755,30803-9957,30803-14503,,,,
