,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15
0,31067-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,54.4639990234375,25,12000,MIL@CLE,MIL,CLE,,,,,
1,31067-9642,PG,Russell,Russell Westbrook,Westbrook,51.900000678168404,18,11000,OKC@DEN,OKC,DEN,,,,,
2,31067-49111,C,Joel,Joel Embiid,Embiid,52.08571515764509,28,11000,IND@PHI,PHI,IND,,,,,
3,31067-14513,SF,Kawhi,Kawhi Leonard,Leonard,46.15454656427557,22,10100,TOR@POR,TOR,POR,GTD,Hip,,,
4,31067-55062,C,Nikola,Nikola Jokic,Jokic,43.71481662326389,27,10100,OKC@DEN,DEN,OKC,,,,,
5,31067-9646,SF,Kevin,Kevin Durant,Durant,49.76206812365302,29,10000,GS@SAC,GS,SAC,,,,,
6,31067-12341,SF,Paul,Paul George,George,46.526921198918274,26,9600,OKC@DEN,OKC,DEN,,,,,
7,31067-66115,PG,Ben,Ben Simmons,Simmons,41.69285801478794,28,9500,IND@PHI,PHI,IND,,,,,
8,31067-14507,PG,Kemba,Kemba Walker,Walker,43.681482385706026,27,9500,NY@CHA,CHA,NY,,,,,
9,31067-12332,PG,John,John Wall,Wall,42.349999060997604,26,9400,WAS@BKN,WAS,BKN,,,,,
10,31067-9524,PG,Stephen,Stephen Curry,Curry,44.677778455946175,18,9400,GS@SAC,GS,SAC,,,,,
11,31067-20848,PG,Damian,Damian Lillard,Lillard,43.54643031529018,28,8900,TOR@POR,POR,TOR,,,,,
12,31067-14498,PG,Kyrie,Kyrie Irving,Irving,41.167998046875,25,8700,ATL@BOS,BOS,ATL,,,,,
13,31067-15684,SG,Victor,Victor Oladipo,Oladipo,39.805883071001844,17,8600,IND@PHI,IND,PHI,,,,,
14,31067-15595,SG,Bradley,Bradley Beal,Beal,38.403573172433035,28,8500,WAS@BKN,WAS,BKN,,,,,
15,31067-66236,PF,John,John Collins,Collins,32.46666717529297,12,8100,ATL@BOS,ATL,BOS,,,,,
16,31067-55057,C,Jusuf,Jusuf Nurkic,Nurkic,35.44642857142857,28,8100,TOR@POR,POR,TOR,,,,,
17,31067-9575,PG,Mike,Mike Conley,Conley,37.144445348668974,27,8100,MIA@MEM,MEM,MIA,GTD,Hamstring,,,
18,31067-9581,C,Marc,Marc Gasol,Gasol,39.840738932291664,27,8100,MIA@MEM,MEM,MIA,,,,,
19,31067-14528,SG,Jimmy,Jimmy Butler,Butler,39.01304294752038,23,8000,IND@PHI,PHI,IND,GTD,Groin,,,
