PG,PG,SG,SG,SF,SF,PF,PF,C
31067-9575,31067-15542,31067-15595,31067-15846,31067-14513,31067-58084,31067-23831,31067-9451,31067-17894
31067-15542,31067-9703,31067-15595,31067-15846,31067-14513,31067-12341,31067-42148,31067-9451,31067-17894
31067-9524,31067-9575,31067-15595,31067-15846,31067-15628,31067-58084,31067-42148,31067-9451,31067-17894
31067-9575,31067-15542,31067-15595,31067-40201,31067-14513,31067-58084,31067-42148,31067-9451,31067-17894
31067-9575,31067-15542,31067-15846,31067-40201,31067-14513,31067-15628,31067-42148,31067-9451,31067-17894
31067-15542,31067-9703,31067-15595,31067-15846,31067-14513,31067-12341,31067-42148,31067-9451,31067-17894
31067-9575,31067-15542,31067-15595,31067-15846,31067-12341,31067-58084,31067-42148,31067-9451,31067-17894
31067-9575,31067-15542,31067-15595,31067-15846,31067-12341,31067-58084,31067-42148,31067-9451,31067-17894
31067-9575,31067-9703,31067-15595,31067-15846,31067-14513,31067-15628,31067-59358,31067-42148,31067-17894
31067-9575,31067-9703,31067-15595,31067-15846,31067-9646,31067-15628,31067-42148,31067-9451,31067-15590
