,Actual,Ceiling,Date,Floor,Projection,Salary_STD
0,296.2,387.85999999999996,2018-10-16,176.48000000000002,282.17,2418.345521576351
1,326.8,379.71999999999997,2018-10-16,191.04000000000002,285.38,2475.2603055531176
2,295.2,385.31,2018-10-16,186.75,286.03,2248.51116722506
3,318.90000000000003,387.57,2018-10-16,187.25,287.40999999999997,2434.474618201362
4,274.6,382.31,2018-10-16,183.91,283.10999999999996,2498.493373175616
5,307.0,385.58,2018-10-16,185.04000000000002,285.31,2140.09345590327
6,313.9,384.58,2018-10-16,182.54000000000002,283.55999999999995,1705.5465073954708
7,318.90000000000003,387.57,2018-10-16,187.25,287.40999999999997,2434.474618201362
8,281.2,382.60999999999996,2018-10-16,177.47,280.04,2418.345521576351
9,318.90000000000003,387.57,2018-10-16,187.25,287.40999999999997,2434.474618201362
10,333.9,571.12,2018-10-17,234.22,299.09,1556.4283265870192
11,338.6,566.12,2018-10-17,226.1,297.73999999999995,1207.486932168636
12,331.20000000000005,566.28,2018-10-17,234.39000000000001,302.68,1802.46744461277
13,331.20000000000005,566.28,2018-10-17,234.39000000000001,302.68,1802.46744461277
14,345.4,567.57,2018-10-17,232.09,298.7,1544.8840301675289
15,303.59999999999997,567.99,2018-10-17,224.99999999999997,295.56,1477.3182242842836
16,341.9,566.92,2018-10-17,229.74999999999997,297.42,1528.3332323599466
17,338.6,568.02,2018-10-17,231.29,298.16,1538.7184021086036
18,324.40000000000003,565.9100000000001,2018-10-17,224.28,297.85,1324.1349377360802
19,303.59999999999997,567.99,2018-10-17,224.99999999999997,295.56,1477.3182242842836
20,295.0,520.68,2018-10-18,196.54000000000002,287.60999999999996,1353.185542012296
21,276.4,520.22,2018-10-18,196.82,294.77000000000004,1628.2991201530997
22,283.59999999999997,515.02,2018-10-18,200.64999999999998,295.29,1829.389697868299
23,276.4,520.22,2018-10-18,196.82,294.77000000000004,1628.2991201530997
24,288.79999999999995,518.5300000000001,2018-10-18,195.09000000000003,295.77,1518.771433319269
25,293.4,513.01,2018-10-18,196.26,288.23,1282.3589374447565
26,278.6,513.75,2018-10-18,194.88,289.04,1510.7842783807587
27,276.4,520.22,2018-10-18,196.82,294.77000000000004,1628.2991201530997
28,307.7,519.22,2018-10-18,193.48000000000002,286.52,1367.1634146908466
29,357.09999999999997,508.73999999999995,2018-10-18,189.5,290.29,2269.170730127889
30,339.6,566.27,2018-10-19,214.86999999999998,288.10999999999996,1749.9206331208916
31,305.5,564.51,2018-10-19,232.86,288.83,1307.2447700751718
32,321.90000000000003,561.63,2018-10-19,222.21999999999997,290.01,1581.9194466857246
33,325.5,565.43,2018-10-19,218.45,289.04999999999995,1703.5909785574183
34,318.70000000000005,564.1800000000001,2018-10-19,214.82,288.15999999999997,1649.242250247064
35,325.5,565.43,2018-10-19,218.45,289.04999999999995,1703.5909785574183
36,317.0,561.48,2018-10-19,221.09999999999997,290.22999999999996,926.1629326299869
37,305.5,564.51,2018-10-19,232.86,288.83,1307.2447700751718
38,303.5,553.8,2018-10-19,208.49999999999997,289.21,1541.2837362262521
39,305.5,564.51,2018-10-19,232.86,288.83,1307.2447700751718
40,294.3,544.49,2018-10-20,215.39,296.43,1006.7672257843817
41,367.99999999999994,543.87,2018-10-20,214.57,307.6,1746.106780494506
42,310.59999999999997,544.46,2018-10-20,210.92000000000002,298.19,1701.0526878711253
43,340.9,537.04,2018-10-20,194.28,303.17,1670.7357734517323
44,310.59999999999997,544.46,2018-10-20,210.92000000000002,298.19,1701.0526878711253
45,359.7,543.1600000000001,2018-10-20,216.41,304.01000000000005,1746.106780494506
46,367.99999999999994,543.87,2018-10-20,214.57,307.6,1746.106780494506
47,318.79999999999995,535.52,2018-10-20,209.10999999999996,292.70000000000005,1058.300524425836
48,386.6,543.29,2018-10-20,210.51,301.89,1765.7929355839049
49,367.99999999999994,543.87,2018-10-20,214.57,307.6,1746.106780494506
50,316.7,522.76,2018-10-21,175.0,304.52000000000004,2471.6166549222166
51,323.0,521.61,2018-10-21,193.88,300.84000000000003,2568.613979907798
52,323.0,521.61,2018-10-21,193.88,300.84000000000003,2568.613979907798
53,332.0,512.5500000000001,2018-10-21,170.77,304.27,2157.1586249817915
54,287.9,519.71,2018-10-21,192.75,300.89,2024.2968600918637
55,308.79999999999995,522.66,2018-10-21,179.16000000000003,304.65,2159.789655967611
56,346.99999999999994,520.36,2018-10-21,180.17,301.76,2097.0879280034437
57,297.3,519.03,2018-10-21,196.07000000000002,297.23,2452.209887699936
58,308.79999999999995,522.66,2018-10-21,179.16000000000003,304.65,2159.789655967611
59,308.79999999999995,522.66,2018-10-21,179.16000000000003,304.65,2159.789655967611
60,277.7,523.73,2018-10-22,202.39000000000004,280.47,1599.3054047860207
61,262.59999999999997,523.55,2018-10-22,205.13,284.9,1430.617582258329
62,231.29999999999998,514.1100000000001,2018-10-22,205.55999999999997,282.53,1517.3075568988056
63,261.29999999999995,523.07,2018-10-22,202.82000000000005,282.47,1611.838916070097
64,268.4,522.3100000000001,2018-10-22,194.65000000000003,278.87,1599.3054047860207
65,270.3,522.27,2018-10-22,202.57,283.0,1674.500109669734
66,262.59999999999997,523.55,2018-10-22,205.13,284.9,1430.617582258329
67,294.9,520.8100000000001,2018-10-22,203.28000000000003,279.49000000000007,1574.0958604156795
68,262.59999999999997,523.55,2018-10-22,205.13,284.9,1430.617582258329
69,243.3,522.09,2018-10-22,205.85,279.02000000000004,1615.8932858054432
70,316.2,500.1,2018-10-23,180.36999999999998,299.99,1922.4470003450817
