entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
39220-15755,PF,Anthony,,,,
39220-9488,SF,LeBron,39220-9535,,,,
39220-14513,SF,Kawhi,39220-12341,,,,
39220-12341,SF,Paul,Shoulder,,,
39220-9663,SG,Jrue,,,,
39220-110310,PF,Zion,Knee,,,
