PG,PG,SG,SG,SF,SF,PF,PF,C
30831-20848,30831-15583,30831-66113,30831-15846,30831-12366,30831-12359,30831-80809,30831-23407,30831-55059
30831-20848,30831-14498,30831-15846,30831-23801,30831-12366,30831-12359,30831-42661,30831-23407,30831-55059
30831-14498,30831-15583,30831-9644,30831-15846,30831-15800,30831-12359,30831-42661,30831-23407,30831-55059
30831-20848,30831-14498,30831-15846,30831-23801,30831-12366,30831-12359,30831-42661,30831-23407,30831-55059
30831-20848,30831-15583,30831-9644,30831-9556,30831-12366,30831-12359,30831-42661,30831-23407,30831-55059
