Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-02,Chris Paul,9000,HOU,PG,@ BKN,,35.0,42.37,5,220.5,-180,112.25,2.5,78.42,27.07,48.08,5.34,W,37,13,27,0.481,5,12,0.417,1,1,1.0,3,4,7,11,2,2,2,4,32,20,66.9,1.0,1.0
2018-11-02,Stephen Curry,10700,GSW,PG,MIN,,35.0,42.46,6,243.0,-950,127.25,2.5,80.37,28.76,48.83,4.56,W,35,11,24,0.458,4,12,0.333,2,2,1.0,1,8,9,7,0,2,4,3,28,6,51.3,1.0,1.0
2018-11-02,Wesley Matthews,5700,DAL,SG,NYK,,34.0,31.44,5,216.5,-230,111.0,-0.5,50.0,16.31,28.62,5.02,L,31,2,6,0.333,1,3,0.333,4,5,0.8,0,3,3,4,1,0,1,3,9,-20,20.6,2.0,1.0
2018-11-02,Tim Hardaway Jr.,7600,NYK,SG,@ DAL,,35.0,53.35,26,216.5,195,105.5, ,66.1,23.03,36.97,4.86,W,34,7,17,0.412,4,11,0.364,0,0,,1,5,6,3,1,0,2,3,18,10,30.700000000000006,2.0,1.0
2018-11-02,Joe Ingles,6400,UTA,SF,MEM,,34.0,35.24,14,201.5,-330,104.75,-1.5,56.66,19.23,32.92,5.14,L,37,6,13,0.462,3,8,0.375,4,5,0.8,0,3,3,2,1,1,5,2,19,-3,26.6,3.0,1.0
2018-11-02,James Ennis,3600,HOU,SF,@ BKN,,28.0,33.36,10,220.5,-180,112.25,2.5,40.88,16.44,20.45,5.68,W,19,1,3,0.333,0,1,0.0,0,2,0.0,0,1,1,0,0,1,0,3,2,4,6.2,3.0,1.0
2018-11-02,Montrezl Harrell,5700,LAC,PF,@ ORL,,25.0,51.9,11,219.5,-165,111.5,111.5,56.44,24.55,28.35,4.97,W,25,4,8,0.5,0,0,,2,4,0.5,2,10,12,1,0,3,0,4,10,21,34.9,4.0,1.0
2018-11-02,Tobias Harris,7700,LAC,PF,@ ORL,,34.0,51.55,21,219.5,-165,111.5,111.5,63.56,21.94,37.5,4.87,W,26,8,10,0.8,1,2,0.5,4,4,1.0,0,7,7,2,0,0,0,2,21,3,32.4,4.0,1.0
2018-11-02,Boban Marjanovic,3600,LAC,C,@ ORL,,18.0,56.25,21,219.5,-165,111.5,111.5,45.2,20.67,22.61,6.28,W,23,4,7,0.5710000000000001,0,0,,2,6,0.333,3,8,11,2,0,0,2,2,10,4,24.2,5.0,1.0
