entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29332-15755,PF,Anthony,29332-12511,29332-18393,29332-9662,29332-20277,29332-9637,29332-20491,29332-55062,29332-14518,29332-49111,,,,
29332-49111,C,Joel,29332-19138,29332-12511,29332-9662,29332-20277,29332-9637,29332-20491,29332-14518,29332-9729,29332-49111,,,,
29332-55062,PF,Nikola,29332-66108,29332-18393,29332-9662,29332-20277,29332-9637,29332-20491,29332-9560,29332-14518,29332-49111,,,,
29332-66115,PG,Ben,29332-19138,29332-18393,29332-9662,29332-17230,29332-14522,29332-9637,29332-14518,29332-9729,29332-49111,Back,,,
29332-15557,C,Andre,29332-12511,29332-18393,29332-9663,29332-20277,29332-14522,29332-9637,29332-14518,29332-9729,29332-49111,,,,
29332-9560,PF,Blake,29332-19138,29332-18393,29332-9662,29332-17230,29332-14522,29332-9637,29332-14518,29332-9729,29332-49111,,,,
29332-80810,PG,De'Aaron,29332-19138,29332-18393,29332-9662,29332-20277,29332-14522,29332-20491,29332-14518,29332-9729,29332-49111,,,,
29332-14518,PF,Tobias,29332-66108,29332-18393,29332-9662,29332-20277,29332-9637,29332-20491,29332-9560,29332-14518,29332-49111,,,,
29332-42669,C,Julius,29332-19138,29332-18393,29332-9662,29332-20277,29332-9637,29332-20491,29332-9560,29332-9729,29332-49111,,,,
29332-9663,SG,Jrue,29332-19138,29332-18393,29332-9663,29332-9662,29332-9637,29332-20491,29332-14518,29332-9729,29332-42669,,,,
