PG,PG,SG,SG,SF,SF,PF,PF,C
30497-12355,30497-23740,30497-20640,30497-23670,30497-9646,30497-15904,30497-9688,30497-14512,30497-55059
30497-12355,30497-42677,30497-20640,30497-23670,30497-9646,30497-15904,30497-9688,30497-14512,30497-14514
30497-9475,30497-23740,30497-20640,30497-23670,30497-9646,30497-15904,30497-9688,30497-14512,30497-14514
30497-23740,30497-42677,30497-9714,30497-20640,30497-9646,30497-15904,30497-9688,30497-9962,30497-55059
30497-23740,30497-42677,30497-9714,30497-23670,30497-9646,30497-15904,30497-9688,30497-14512,30497-14514
30497-14507,30497-12355,30497-20640,30497-23670,30497-59318,30497-15904,30497-9688,30497-14512,30497-14514
30497-9475,30497-23740,30497-20640,30497-23670,30497-9646,30497-59318,30497-9688,30497-14512,30497-55059
30497-12355,30497-23740,30497-20640,30497-23670,30497-9646,30497-15904,30497-9688,30497-23407,30497-14514
30497-14507,30497-9475,30497-20640,30497-23670,30497-9646,30497-15904,30497-14512,30497-23407,30497-55059
30497-12355,30497-42677,30497-20640,30497-23670,30497-9646,30497-15904,30497-9688,30497-14512,30497-14514
