PG,PG,SG,SG,SF,SF,PF,PF,C
30702-9623,30702-9475,30702-15595,30702-20640,30702-12366,30702-9692,30702-9560,30702-42148,30702-14503
30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503
30702-9524,30702-42677,30702-15595,30702-20640,30702-15628,30702-9692,30702-9560,30702-42148,30702-14503
30702-9475,30702-42677,30702-40783,30702-15595,30702-15628,30702-9692,30702-9560,30702-42148,30702-14503
30702-9475,30702-42677,30702-40783,30702-20640,30702-9646,30702-9692,30702-9560,30702-23407,30702-14503
30702-9623,30702-9475,30702-15595,30702-20640,30702-15628,30702-12366,30702-9560,30702-23407,30702-14503
30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503
30702-9475,30702-42677,30702-15595,30702-20640,30702-9646,30702-9692,30702-9560,30702-55056,30702-14503
30702-9475,30702-42677,30702-40783,30702-15595,30702-9646,30702-9692,30702-42148,30702-55056,30702-14503
30702-9475,30702-42677,30702-15595,30702-20640,30702-12366,30702-9692,30702-9560,30702-42148,30702-58462
