PG,PG,SG,SG,SF,SF,PF,PF,C
30387-9535,30387-15843,30387-40201,30387-42733,30387-9646,30387-9636,30387-15755,30387-66236,30387-14503
30387-66108,30387-15843,30387-15595,30387-42733,30387-14513,30387-9636,30387-15755,30387-66236,30387-14503
30387-9535,30387-42677,30387-15595,30387-42733,30387-14513,30387-9636,30387-15755,30387-66236,30387-14503
30387-9535,30387-15843,30387-15846,30387-16261,30387-15628,30387-9636,30387-15755,30387-66236,30387-14503
30387-9535,30387-15843,30387-15846,30387-16261,30387-15628,30387-9636,30387-15755,30387-66236,30387-14503
30387-9535,30387-15843,30387-15846,30387-16261,30387-15628,30387-9636,30387-15755,30387-66236,30387-14503
30387-9535,30387-15843,30387-42733,30387-66114,30387-9646,30387-15628,30387-15755,30387-66236,30387-14503
30387-9535,30387-15843,30387-40201,30387-42733,30387-14522,30387-9636,30387-15755,30387-9688,30387-14503
30387-9535,30387-15843,30387-15595,30387-42733,30387-9646,30387-14513,30387-66236,30387-14512,30387-14503
30387-9535,30387-15843,30387-15595,30387-42733,30387-9646,30387-9636,30387-15755,30387-66236,30387-37931
