Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-27,Russell Westbrook,11200,OKC,PG,IND,,37.0,34.94,1,217.5,-275,112.0,1,79.8,31.18,57.0,5.09,W,37,6,15,0.4,2,4,0.5,3,4,0.75,1,10,11,12,2,1,2,0,17,8,55.2,1.0,1.0
2019-03-27,Shaquille Harrison,4800,CHI,PG,POR,,36.0,24.47,29,215.5,360,103.25,103.25,57.13,15.21,34.56,7.2,L,30,10,17,0.588,1,2,0.5,0,1,0.0,4,6,10,2,2,0,0,2,21,-16,42.0,1.0,1.0
2019-03-27,Wayne Selden,3600,CHI,SG,POR,,35.0,36.98,11,215.5,360,103.25,103.25,56.32,6.76,29.64,8.23,L,34,5,15,0.333,1,4,0.25,0,0,,3,9,12,4,1,0,2,3,11,-11,32.4,2.0,1.0
2019-03-27,Antonio Blakeney,3500,CHI,SG,POR,,30.0,20.88,8,215.5,360,103.25,103.25,44.98,13.44,26.87,7.68,L,32,3,11,0.273,0,2,0.0,4,6,0.667,1,2,3,4,0,0,1,2,10,-5,18.6,2.0,1.0
2019-03-27,Kevin Durant,9400,GSW,SF,@ MEM,,35.0,29.95,11,219.5,-500,114.5,114.5,64.14,22.47,42.48,4.52,W,35,12,13,0.923,1,1,1.0,3,3,1.0,1,8,9,5,2,0,2,2,28,30,50.3,3.0,1.0
2019-03-27,Bojan Bogdanovic,6400,IND,SF,@ OKC,,34.0,25.80,28,217.5,230,105.5,0.5,50.65,9.99,30.83,4.82,L,34,11,20,0.55,6,9,0.667,0,0,,0,2,2,4,0,0,2,1,28,-6,34.4,3.0,1.0
2019-03-27,Bobby Portis,6500,WAS,PF,@ PHO,,30.0,34.09,26,230.5,-118,116.0,-0.5,55.44,11.69,33.4,5.14,W,23,2,8,0.25,0,1,0.0,2,2,1.0,3,6,9,2,1,0,1,1,6,-7,21.8,4.0,1.0
2019-03-27,Kyle Kuzma,6300,LAL,PF,@ UTA,,34.0,29.96,12,217.0,1000,100.75,100.75,47.94,16.81,31.96,5.07,L,31,8,18,0.444,2,7,0.28600000000000003,3,4,0.75,0,2,2,0,0,2,0,1,21,-17,29.4,4.0,1.0
2019-03-27,Deandre Ayton,8300,PHO,C,WAS,,32.0,33.29,21,230.5,105,114.5, ,54.57,22.65,38.98,4.7,L,27,6,13,0.462,0,0,,2,3,0.667,2,8,10,1,0,2,2,4,14,-14,31.5,5.0,1.0
