Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-25,Eric Bledsoe,7700,MIL,PG,CHA,,31.0,50.28,16,229.5,-700,120.5,0.5,68.55,14.26,34.29,4.45,W,31,7,16,0.438,0,7,0.0,4,5,0.8,0,4,4,3,1,1,2,1,18,12,31.3,1.0,1.0
2019-01-25,Kemba Walker,8800,CHA,PG,@ MIL,,34.0,46.24,4,229.5,550,109.0,0.5,74.68,18.45,40.92,4.65,L,35,3,12,0.25,1,5,0.2,3,3,1.0,1,6,7,5,0,2,4,2,10,-7,27.9,1.0,1.0
2019-01-25,Lou Williams,6500,LAC,SG,@ CHI,,27.0,43.45,7,222.5,-175,113.5,113.5,58.61,6.51,29.32,4.51,W,32,9,19,0.474,2,6,0.333,11,13,0.846,0,10,10,10,1,1,3,0,31,3,61.0,2.0,1.0
2019-01-25,Devin Booker,8300,PHO,SG,@ DEN,,36.0,48.44,11,222.0,1000,103.5,103.5,73.56,17.26,40.89,4.93,L,30,9,19,0.474,2,4,0.5,15,16,0.938,0,4,4,2,0,0,4,2,35,-20,38.8,2.0,1.0
2019-01-25,Otto Porter,7100,WAS,SF,@ ORL,,34.0,32.42,2,217.5,130,107.25,0.25,62.89,9.63,31.46,4.43,W,32,3,12,0.25,2,5,0.4,2,2,1.0,0,6,6,1,1,0,1,2,10,1,20.7,3.0,1.0
2019-01-25,DeMarre Carroll,4700,BKN,SF,NYK,,30.0,41.23,28,221.5,-450,115.25,-1.75,49.72,6.42,24.87,5.29,W,24,1,4,0.25,0,1,0.0,5,8,0.625,2,2,4,1,0,0,1,0,7,-4,12.3,3.0,1.0
2019-01-25,Lauri Markkanen,7200,CHI,PF,LAC,,32.0,49.59,25,222.5,150,109.0,109.0,63.83,17.36,34.73,4.82,L,31,4,13,0.308,3,7,0.429,2,2,1.0,3,5,8,0,1,3,0,1,13,-13,34.6,4.0,1.0
2019-01-25,Bobby Portis,5300,CHI,PF,LAC,,30.0,60.65,29,222.5,150,109.0,109.0,65.61,6.07,32.82,6.19,L,34,9,20,0.45,0,3,0.0,0,0,,7,8,15,1,0,0,1,3,18,-2,36.5,4.0,1.0
2019-01-25,Mason Plumlee,4300,DEN,C,PHO,,30.0,60.61,28,222.0,-1600,118.5,118.5,77.46,11.08,38.75,9.01,W,25,6,9,0.667,0,0,,4,4,1.0,2,5,7,6,1,0,4,2,16,18,32.4,5.0,1.0
