Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-09,Ben Simmons,9300,PHI,PG,@ WAS,,34.0,46.48,29,228.5,-160,116.0,0.5,56.69,18.22,42.88,4.61,L,35,7,15,0.467,0,0,,1,4,0.25,3,7,10,8,2,0,7,1,15,-16,38.0,1.0,1.0
2019-01-09,Kyrie Irving,8400,BOS,PG,IND,,33.0,46.47,3,215.5,-275,111.25,1.25,54.83,21.43,40.29,4.8,W,24,5,9,0.556,1,2,0.5,1,1,1.0,1,1,2,2,1,0,3,0,12,16,17.4,1.0,1.0
2019-01-09,Donovan Mitchell,7900,UTA,SG,ORL,,37.0,49.4,14,208.0,-450,108.75,1.25,51.95,21.39,39.69,5.02,W,37,12,21,0.5710000000000001,4,7,0.5710000000000001,5,6,0.833,0,4,4,7,1,0,2,4,33,0,49.3,2.0,1.0
2019-01-09,Furkan Korkmaz,3800,PHI,SG,@ WAS,,30.0,39.16,26,228.5,-160,116.0,0.5,42.16,22.2,22.2,5.84,L,26,5,10,0.5,4,8,0.5,2,3,0.667,3,2,5,2,2,0,2,2,16,-6,29.0,2.0,1.0
2019-01-09,TJ Warren,6700,PHO,SF,@ DAL,,34.0,47.78,22,217.5,450,103.25,103.25,43.89,19.6,33.79,5.04,L,39,7,20,0.35,2,6,0.333,4,7,0.5710000000000001,1,6,7,1,0,0,2,2,20,-7,27.9,3.0,1.0
2019-01-09,Kelly Oubre,3700,PHO,SF,@ DAL,,30.0,36.8,16,217.5,450,103.25,103.25,43.03,20.34,24.87,6.72,L,33,6,14,0.429,0,4,0.0,2,4,0.5,0,1,1,1,2,1,3,2,14,-6,22.7,3.0,1.0
2019-01-09,Domantas Sabonis,7000,IND,PF,@ BOS,,32.0,50.29,4,215.5,240,104.25,0.75,54.57,27.74,36.6,5.23,L,27,6,9,0.667,0,0,,8,8,1.0,3,4,7,5,0,0,1,3,20,-22,34.9,4.0,1.0
2019-01-09,Maxi Kleber,3500,DAL,PF,PHO,,24.0,47.92,17,217.5,-550,114.25,114.25,35.58,17.83,21.51,6.15,W,34,4,7,0.5710000000000001,2,4,0.5,3,3,1.0,1,8,9,1,1,2,1,3,13,9,33.3,4.0,1.0
2019-01-09,Andre Drummond,9500,DET,C,@ LAL,,34.0,58.77,27,216.0,105,107.25,-0.25,57.45,21.68,46.63,4.91,L,32,2,12,0.16699999999999998,0,3,0.0,2,6,0.333,5,11,16,1,3,2,2,2,6,-4,39.7,5.0,1.0
