Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-12-31,Tyus Jones,4500,MIN,PG,@ NOP,,34.0,49.49,30,226.5,200,110.5,-1.5,52.69,28.13,29.21,6.49,L,38,6,11,0.545,1,2,0.5,2,2,1.0,1,1,2,13,1,0,0,0,15,3,39.9,1.0,1.0
2018-12-31,Jerian Grant,3500,ORL,PG,@ CHA,,27.0,43.21,23,210.5,300,101.0,-0.25,39.43,20.99,23.88,6.82,L,26,4,10,0.4,1,4,0.25,0,0,,0,2,2,5,1,0,0,1,9,-9,21.9,1.0,1.0
2018-12-31,Jeremy Lamb,6400,CHA,SG,ORL,,33.0,46.26,17,210.5,-350,109.5,0.75,48.1,20.78,34.93,5.46,W,9,4,4,1.0,0,0,,1,1,1.0,0,2,2,2,1,0,0,0,9,9,17.4,2.0,1.0
2018-12-31,James Harden,12600,HOU,SG,MEM,,39.0,45.28,1,201.0,-175,102.5, ,68.4,21.67,59.22,4.7,W,41,8,19,0.421,6,12,0.5,21,27,0.778,1,9,10,13,2,0,9,3,43,21,71.5,2.0,1.0
2018-12-31,Davis Bertans,3800,SAS,SF,BOS,,27.0,49.0,5,218.0,105,108.25, ,44.35,20.45,25.56,6.73,W,31,6,12,0.5,5,8,0.625,0,0,,2,3,5,0,1,0,1,3,17,17,25.0,3.0,1.0
2018-12-31,E'Twaun Moore,4700,NOP,SF,MIN,,34.0,37.75,23,226.5,-225,116.0,-1.5,41.44,21.0,25.61,5.45,W,33,7,13,0.5379999999999999,3,4,0.75,0,0,,1,1,2,3,0,0,3,1,17,-7,20.9,3.0,1.0
2018-12-31,John Collins,8000,ATL,PF,@ IND,,33.0,49.67,4,221.0,600,104.0,-0.75,59.57,23.7,38.16,4.77,L,37,8,15,0.5329999999999999,2,4,0.5,4,4,1.0,7,9,16,4,0,0,0,3,22,-3,47.2,4.0,1.0
2018-12-31,LaMarcus Aldridge,8000,SAS,PF,BOS,,33.0,49.0,5,218.0,105,108.25, ,55.29,24.14,38.08,4.76,W,36,13,23,0.565,0,0,,6,7,0.857,3,6,9,5,1,2,2,1,32,15,57.3,4.0,1.0
2018-12-31,Julius Randle,8300,NOP,C,MIN,,36.0,52.09,9,226.5,-225,116.0,-1.5,58.65,24.59,42.84,5.16,W,38,13,23,0.565,2,4,0.5,5,6,0.833,3,7,10,3,0,0,0,5,33,-6,49.5,5.0,1.0
