Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-14,Spencer Dinwiddie,5800,BKN,PG,MIA,,29.0,51.26,25,217.5,105,107.75,-0.75,52.99,20.16,28.97,4.99,L,29,6,12,0.5,1,5,0.2,5,7,0.7140000000000001,1,2,3,5,1,0,4,1,18,-24,28.1,1.0,1.0
2018-11-14,Tyus Jones,3800,MIN,PG,NOP,,24.0,60.81,30,235.5,105,117.0,117.0,38.3,18.43,19.16,5.04,W,11,0,0,,0,0,,0,0,,0,0,0,3,1,0,2,1,0,16,5.5,1.0,1.0
2018-11-14,Devin Booker,7600,PHO,SG,SAS,,37.0,50.52,24,212.5,210,103.25,0.25,71.7,22.21,40.97,5.39,W,37,5,14,0.35700000000000004,2,6,0.333,1,1,1.0,1,3,4,12,2,0,7,1,13,20,34.8,2.0,1.0
2018-11-14,Khris Middleton,7200,MIL,SG,MEM,,35.0,39.67,6,214.0,-500,112.0,-1.0,67.36,25.32,35.32,4.91,L,32,8,16,0.5,2,7,0.28600000000000003,7,7,1.0,1,4,5,3,0,0,2,1,25,-19,33.5,2.0,1.0
2018-11-14,Joe Ingles,6400,UTA,SF,@ DAL,,35.0,29.93,2,211.5,-214,108.25,-0.25,55.91,20.72,31.06,4.85,L,25,3,8,0.375,2,5,0.4,0,0,,1,2,3,2,0,0,2,1,8,-20,12.6,3.0,1.0
2018-11-14,Josh Richardson,7400,MIA,SF,@ BKN,,36.0,39.14,4,217.5,-118,109.75,-0.75,62.05,21.73,35.97,4.86,W,36,5,13,0.385,2,7,0.28600000000000003,3,4,0.75,1,4,5,5,0,0,3,4,15,17,25.5,3.0,1.0
2018-11-14,Anthony Davis,12300,NOP,PF,@ MIN,,38.0,57.43,21,235.5,-118,118.5,118.5,102.69,30.29,59.05,4.8,L,41,9,25,0.36,2,3,0.667,9,10,0.9,2,9,11,2,2,4,0,2,29,6,63.2,4.0,1.0
2018-11-14,Ed Davis,3900,BKN,PF,MIA,,27.0,53.21,15,217.5,105,107.75,-0.75,55.23,20.64,27.63,7.08,L,17,3,6,0.5,0,0,,2,2,1.0,4,5,9,1,1,0,1,3,8,-4,22.3,4.0,1.0
2018-11-14,Jonas Valanciunas,5600,TOR,C,DET,,23.0,50.8,9,223.0,-500,116.5,0.25,59.75,27.5,29.89,5.34,L,27,6,12,0.5,0,1,0.0,2,2,1.0,2,4,6,0,0,1,3,4,14,5,21.2,5.0,1.0
