entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
1602218047,30202-222517635,$250 NBA Small Swat,30202-20848,30202-18600,30202-9714,30202-15846,30202-9577,30202-58084,30202-9688,30202-42661,30202-14516,,1) Edit your lineup by inserting any player from this list into their appropriate position columns
1602218049,30202-222517635,$250 NBA Small Swat,30202-20848,30202-49675,30202-15595,30202-15846,30202-9577,30202-58084,30202-9688,30202-42661,30202-14516,,2) You can paste either the Player ID + Name OR ID from their respective columns
1602218051,30202-222517635,$250 NBA Small Swat,30202-49675,30202-18600,30202-9714,30202-15846,30202-9646,30202-9577,30202-9688,30202-42661,30202-58576,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited
1602218054,30202-222517635,$250 NBA Small Swat,30202-20848,30202-49675,30202-15595,30202-15846,30202-9577,30202-58084,30202-9688,30202-42661,30202-14516,,4) You can not use this form to create new entries
1602218058,30202-222517635,$250 NBA Small Swat,30202-49675,30202-18600,30202-9714,30202-15595,30202-16233,30202-9577,30202-9688,30202-42661,30202-14516,
1602218061,30202-222517635,$250 NBA Small Swat,30202-49675,30202-18600,30202-9714,30202-15846,30202-9646,30202-9577,30202-9688,30202-42661,30202-58576,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
1602218064,30202-222517635,$250 NBA Small Swat,30202-18600,30202-15843,30202-9714,30202-15846,30202-9646,30202-58084,30202-9688,30202-42661,30202-14516,,30202-9488:LeBron James,30202-9488,SF,LeBron,LeBron James,James,50.8,15,12100,LAL@MIA,LAL,MIA,,,,,
1602218065,30202-222517635,$250 NBA Small Swat,30202-49675,30202-18600,30202-9714,30202-15846,30202-9646,30202-9577,30202-66048,30202-42661,30202-14516,,30202-9646:Kevin Durant,30202-9646,SF,Kevin,Kevin Durant,Durant,47.017646340762866,17,11500,GS@SA,GS,SA,,,,,
