Player Name,Salary,Position,Projection
Kyle Lowry,8500,PG,75.44628
Kemba Walker,8500,PG,76.79634
Buddy Hield,6300,SG,56.88604
Tim Hardaway Jr.,6700,SG,60.4044
Gerald Green,3700,SF,43.809470000000005
Nikola Mirotic,7500,SF,64.6653
Markieff Morris,5500,PF,47.5658
Marvin Williams,4600,PF,45.2884
Karl-Anthony Towns,8500,C,74.6824
