Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-03,Ryan Arcidiacono,3900,CHI,PG,HOU,,25.0,47.86,18,223.0,300,107.25,-1.75,40.86,19.09,20.44,5.24,L,18,1,3,0.333,1,2,0.5,0,0,,0,1,1,3,2,0,1,2,3,4,13.7,1.0,1.0
2018-11-03,Tyler Johnson,4200,MIA,PG,@ ATL,,30.0,47.64,16,225.5,-235,115.5,-0.5,52.47,21.81,26.25,6.25,L,24,6,11,0.545,2,5,0.4,3,4,0.75,0,4,4,4,0,0,2,3,17,3,25.8,1.0,1.0
2018-11-03,Jordan Clarkson,4700,CLE,SG,@ CHA,,21.57,48.57,21,222.5,420,106.25,106.25,40.53,20.42,20.42,4.34,L,21,6,13,0.462,1,4,0.25,0,0,,0,0,0,0,3,1,0,1,13,-29,25.0,2.0,1.0
2018-11-03,Victor Oladipo,8900,IND,SG,BOS,,35.0,40.72,10,205.5,150,100.75,100.75,72.68,27.74,42.88,4.82,W,37,6,18,0.333,4,13,0.308,8,8,1.0,1,11,12,3,3,0,5,1,24,-3,46.9,2.0,1.0
2018-11-03,Nikola Mirotic,8300,NOP,SF,@ SAS,,32.0,47.92,14,227.5,110,112.75, ,63.88,27.12,35.08,4.23,L,36,9,16,0.563,2,6,0.333,2,2,1.0,0,16,16,1,0,0,0,1,22,0,42.7,3.0,1.0
2018-11-03,Justise Winslow,4700,MIA,SF,@ ATL,,30.0,40.79,23,225.5,-235,115.5,-0.5,49.73,20.53,26.94,5.73,L,37,5,11,0.455,2,4,0.5,3,4,0.75,6,4,10,8,2,2,5,3,15,-10,46.0,3.0,1.0
2018-11-03,Anthony Davis,12200,NOP,PF,@ SAS,,36.0,39.64,1,227.5,110,112.75, ,80.65,28.2,55.62,4.56,L,40,5,13,0.385,0,2,0.0,7,10,0.7,0,8,8,3,2,5,3,3,17,-5,49.1,4.0,1.0
2018-11-03,Kelly Olynyk,5900,MIA,PF,@ ATL,,28.0,60.13,23,225.5,-235,115.5,-0.5,50.42,20.45,30.43,5.16,L,14,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,1,2,0,-6,0.2,4.0,1.0
2018-11-03,Julius Randle,7100,NOP,C,@ SAS,,24.0,39.64,1,227.5,110,112.75, ,56.54,27.01,29.71,4.18,L,26,3,9,0.333,0,2,0.0,4,12,0.333,2,4,6,2,1,1,2,2,10,-14,24.2,5.0,1.0
