Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-03,Ryan Arcidiacono,3900,CHI,PG,HOU,,25.0,47.86,18,223.0,300,107.25,-1.75,40.86,19.09,20.44,5.24,L,18,1,3,0.333,1,2,0.5,0,0,,0,1,1,3,2,0,1,2,3,4,13.7,1.0,1.0
2018-11-03,Tyler Johnson,4200,MIA,PG,@ ATL,,30.0,47.64,16,225.5,-235,115.5,-0.5,52.47,21.81,26.25,6.25,L,24,6,11,0.545,2,5,0.4,3,4,0.75,0,4,4,4,0,0,2,3,17,3,25.8,1.0,1.0
2018-11-03,Donovan Mitchell,8200,UTA,SG,@ DEN,,37.0,37.64,1,210.0,165,102.75,0.25,64.94,23.31,40.26,4.91,L,32,7,22,0.318,0,7,0.0,2,2,1.0,0,5,5,2,5,0,0,2,16,-12,40.0,2.0,1.0
2018-11-03,Victor Oladipo,8900,IND,SG,BOS,,35.0,40.72,10,205.5,150,100.75,100.75,72.68,27.74,42.88,4.82,W,37,6,18,0.333,4,13,0.308,8,8,1.0,1,11,12,3,3,0,5,1,24,-3,46.9,2.0,1.0
2018-11-03,Carmelo Anthony,6200,HOU,SF,@ CHI,,29.0,51.81,23,223.0,-380,115.75,-1.25,52.52,24.39,26.42,4.26,W,32,8,14,0.5710000000000001,1,7,0.14300000000000002,0,1,0.0,0,7,7,0,0,0,0,3,17,7,25.4,3.0,1.0
2018-11-03,Nikola Mirotic,8300,NOP,SF,@ SAS,,32.0,47.92,14,227.5,110,112.75, ,63.88,27.12,35.08,4.23,L,36,9,16,0.563,2,6,0.333,2,2,1.0,0,16,16,1,0,0,0,1,22,0,42.7,3.0,1.0
2018-11-03,Larry Nance,6300,CLE,PF,@ CHA,,20.0,51.88,10,222.5,420,106.25,106.25,47.97,21.7,24.74,3.93,L,16,4,7,0.5710000000000001,0,0,,1,1,1.0,1,3,4,0,0,0,3,1,9,-18,10.8,4.0,1.0
2018-11-03,Domantas Sabonis,6300,IND,PF,BOS,,23.0,44.28,2,205.5,150,100.75,100.75,49.03,21.35,24.65,3.91,W,27,5,8,0.625,0,0,,2,2,1.0,2,7,9,5,0,0,1,5,12,-2,29.3,4.0,1.0
2018-11-03,Julius Randle,7100,NOP,C,@ SAS,,24.0,39.64,1,227.5,110,112.75, ,56.54,27.01,29.71,4.18,L,26,3,9,0.333,0,2,0.0,4,12,0.333,2,4,6,2,1,1,2,2,10,-14,24.2,5.0,1.0
