PG,PG,SG,SG,SF,SF,PF,PF,C
30870-66115,30870-66108,30870-20640,30870-14510,30870-16233,30870-15904,30870-15755,30870-20992,30870-17894
30870-14507,30870-12355,30870-20640,30870-14510,30870-16233,30870-15904,30870-15755,30870-20992,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-16233,30870-15904,30870-15755,30870-9688,30870-17894
30870-9524,30870-66108,30870-16261,30870-20640,30870-16233,30870-15904,30870-9688,30870-20992,30870-17894
30870-12355,30870-66108,30870-14510,30870-15636,30870-16233,30870-15904,30870-15755,30870-9688,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-12341,30870-15904,30870-15755,30870-20992,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-40199,30870-16233,30870-9688,30870-20992,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-40199,30870-16233,30870-9688,30870-20992,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-16233,30870-15904,30870-15755,30870-9688,30870-17894
30870-66108,30870-15542,30870-20640,30870-14510,30870-12341,30870-15904,30870-15755,30870-20992,30870-14503
