PG,PG,SG,SG,SF,SF,PF,PF,C
30027-9623,30027-66108,30027-20640,30027-9664,30027-9646,30027-70822,30027-20992,30027-23407,30027-55059
30027-9623,30027-15582,30027-20640,30027-9664,30027-9646,30027-15904,30027-20992,30027-23407,30027-55059
30027-66108,30027-12443,30027-24544,30027-20640,30027-9646,30027-15904,30027-20992,30027-23407,30027-55059
30027-9623,30027-66108,30027-20640,30027-42733,30027-9646,30027-70822,30027-20992,30027-23407,30027-55059
30027-9623,30027-66108,30027-40396,30027-9664,30027-9646,30027-15904,30027-20992,30027-23407,30027-55059
30027-9623,30027-15582,30027-9644,30027-20640,30027-15904,30027-70822,30027-20992,30027-23407,30027-55059
30027-9623,30027-15582,30027-20640,30027-9664,30027-9646,30027-15904,30027-20992,30027-23407,30027-55059
30027-9623,30027-66108,30027-20640,30027-9664,30027-9646,30027-70822,30027-9729,30027-23407,30027-55059
30027-9623,30027-66108,30027-20640,30027-9664,30027-9646,30027-15904,30027-9729,30027-20992,30027-40769
30027-9623,30027-66108,30027-24544,30027-20640,30027-9646,30027-70822,30027-20992,30027-23407,30027-40769
