PG,PG,SG,SG,SF,SF,PF,PF,C
30347-66108,30347-19456,30347-58460,30347-16261,30347-59318,30347-12368,30347-15755,30347-66048,30347-14503
30347-23740,30347-19456,30347-58460,30347-16261,30347-14522,30347-59318,30347-15755,30347-60021,30347-9473
30347-66108,30347-23740,30347-58460,30347-16261,30347-59318,30347-12368,30347-15755,30347-59358,30347-9473
30347-66108,30347-19456,30347-58460,30347-40201,30347-14522,30347-59318,30347-15755,30347-23407,30347-14503
30347-66108,30347-19456,30347-16261,30347-40201,30347-14522,30347-12368,30347-15755,30347-66048,30347-14503
30347-66108,30347-19456,30347-58460,30347-16261,30347-14522,30347-12368,30347-15755,30347-23407,30347-16301
30347-66108,30347-19456,30347-58460,30347-16261,30347-14522,30347-59318,30347-15755,30347-23407,30347-9473
30347-9535,30347-66108,30347-58460,30347-16261,30347-59318,30347-12368,30347-60021,30347-59358,30347-9473
30347-66108,30347-19456,30347-58460,30347-16261,30347-14522,30347-59318,30347-15755,30347-23407,30347-9473
30347-66108,30347-19456,30347-58460,30347-16261,30347-14522,30347-59318,30347-15755,30347-23407,30347-9473
