PG,PG,SG,SG,SF,SF,PF,PF,C
30436-9475,30436-42677,30436-9556,30436-23670,30436-9646,30436-15904,30436-15755,30436-9688,30436-58576
30436-9475,30436-42677,30436-16261,30436-9556,30436-9646,30436-15904,30436-15755,30436-23407,30436-58576
